Particulars, Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,,,,,,,,,,,"45,624,131",,,,,,,,"61,392,139",,,"80,467,817",,,,,,,152371504,213611661,,"213,611,661",,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,,,,,,,,,,,,,,"2,311,552",,,,,,,,"2,658,285",,,"4,575,374",,,,,,,8031117,8834229,,"8,834,229",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,"196,100",,,,,,,,-,,,"1,850,000",,,,,,,12500,10149433,,"10,149,433",,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,"37,855,785",,,,,,,,"53,848,168",,,"69,487,997",,,,,,,133703712,175764356,,"175,764,356",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,,,,,,,,,,,"36,452,121",,,,,,,,"52,334,710",,,"67,570,573",,,,,,,128778324,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,,,,,,,,,,,"1,403,664",,,,,,,,"1,513,458",,,"1,917,424",,,,,,,4925388,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,910",,,0,,,,,,,399483,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,"2,216,796",,,,,,,,,,,"1,180,586",,,,,,,3701160,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,"45,624,131",,,,,,,,"61,392,139",,,"80,467,817",,,,,,,152371504,14234254,,"213,611,661",,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,,,,,,,,,"4,229,400",,,,,,,,"6,810,820",,,"7,729,439",,,,,,,13125934,19204114,,"19,204,114",,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,,,,,,,,,,,"98,050",,,,,,,,,,,0,,,,,,,501665,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,"6,075,290",,,,,,,,"8,965,993",,,"12,889,815",,,,,,,15263156,17959047,,"17,959,047",,,,,,,,,,,,,,,,,,,,,
Loans and Advances,,,,,,,,,,,,,,,,,,,,,,,,,,"31,803,134",,,,,,,,"44,244,089",,,"58,457,110",,,,,,,109031405,149303944,,"149,303,944",,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,"2,758,935",,,,,,,,"2,601,291",,,"2,927,361",,,,,,,8205498,,,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,"256,320",,,,,,,,"788,064",,,"1,319,085",,,,,,,1631761,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
