Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,,,"16,349,165","17,115,744",,,,,,"25,134,941",,,"28,377,332",,"31,110,544","32,570,030",,"43,105,055","41,280,455","82,035,745","66,527,488","75,682,182",,"86,438,067","97,510,838","88,093,203",,"98,716,405","104,648,608",,,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,,,,,"16,129,553","2,000,000","2,000,000",,,,,,"2,000,000",,,"2,000,000",,"2,000,000","2,400,000",,"2,400,000","2,400,000","4,154,559","4,154,559","4,486,924",,"5,430,062","6,461,774","6,461,774",,"6,461,774","6,461,774",,,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,,,"410,399","255,683","200,777",,,,,,"634,979",,,"745,552",,"1,231,563","716,255",,"976,833","1,110,021","2,085,017","2,431,693","2,536,484",,"4,634,512","4,070,986","4,437,572",,"9,341,777","9,162,112",,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,"13,460,620",,,,,,,,,,,,,,,"30,000","500,000","598,368",,"500,000",,"500,000",,,,"500,000","500,000",,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,"13,460,620","10,000",,,,,,"100,000",,,"100,000",,,,,"70,000","438,000",,"73,013","2,148,503",,"1,140,337","2,474,370","2,351,489",,"1,879,502","2,400,977",,,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,,,,"14,129,405",,,,,,"21,949,115",,,"23,954,389",,"25,554,185","28,988,050",,"35,361,443","36,461,852","50,368,320","57,560,043","64,941,496",,"67,725,304","70,657,334","72,315,155",,"80,954,914","85,761,770",,,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,,"12,959,000","12,344,400","12,734,360",,,,,,"20,372,687",,,"21,647,117",,"10,177,002","25,906,165",,"30,101,083","34,056,419","40,007,058","55,079,581","61,477,219",,"65,298,287","66,522,985","69,435,785",,"77,699,366","66,522,985",,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,,"1,169,591","1,086,222","1,395,045",,,,,,"1,576,427",,,"2,307,272",,"15,377,183","3,081,885",,"32,616,006","2,405,433","10,361,262","2,480,462","3,464,276",,"2,427,017","4,134,349","2,879,370",,"3,255,548","3,255,548",,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,"117,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,,"871,407",,,,,,"316,378",,,,,,"404,409",,"3,404,642","784,143","23,991,218","1,045,157","779,702",,"6,507,410","13,211,936","1,868,688",,"34,387,637","3,406,483",,,,,,,,,,,,,,,,,,,,,,,,
