Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,"22,202,417.53",,"23,511,202.31","24,663,130.46","24,721,508.17","27,512,564.28","26,566,451.46","27,553,203.61","29,260,692.91","32,547,249.69",,"31,022,976.59","34,396,515.41",,,"41,568,312.22","43,212,311.21","46,287,530.56","47,098,459.79","47,822,742.00","52,030,666.54","54,698,344.05","58,708,160.25",,"66,014,324.09","78,063,647.29","81,262,809.65","84,332,382.79",,"95,768,091.25","91,754,091","91,592,646",,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,,,,"2,245,746.00","22,088,270.45","2,245,746.00","2,245,746.00","2,245,746.00","2,245,746.00","2,245,746.00","2,340,405.28","2,340,405.28","2,340,405.28","2,340,405.28","2,574,445.81","2,638,699.80",,"2,638,699.80","3,140,052.76","3,140,052.76","3,140,052.77","3,140,052.77","3,705,262.26","3,105,262.26","3,705,262.26","3,705,262.26","4,940,349.69","5,792,560.01","6,325,432.18","6,325,432.18","8,033,298.87","8,033,298.87","8,033,298.87","8,033,299","8,033,299",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,,"426,016.43","2,245,746.00",,,"413,142.84","580,754.16","600,390.18","412,337.85","638,526.67","730,312.43","851,834.77","687,179.46","874,895.41",,"1,166,271.99","838,998.12","1,030,336.93","1,278,153.00","1,502,944.01","1,096,743.76","1,337,035.56","1,755,758.43","2,006,816.57","2,437,366.33","1,910,438.78","3,126,014.60","3,459,058.34","2,116,952.68","2,660,399.22","3,292,953.55",,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,"1,395,320.00","534,747.75",,,,,,"131,400.04",,,,,,,,,,,"41,402,732.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,"17,869,530.44","213,120.00","141,920.00","541,600.00","541,600.00","22,050.00","152,210.95","24,395,708.97","87,200.00","220,348.78",,,,,,,,,"41,323,794.04",,,"9,000.00",,,,,"1,946,440.76","2,016,433.06",,"1,269,890.14","1,602,223","1,466,751",,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,"17,269,101.02","18,938,902.91","20,186,573.41","21,154,505.01","21,134,649.60","23,990,951.63","23,206,986.33","23,947,759.12","25,669,944.06","28,814,138.28","26,257,981.14","26,946,730.43",,,"34,332,436.25",,"38,159,616.05","41,014,582.91","78,938.14","42,306,181.93","46,278,908.56","48,353,057.96","52,418,088.84","55,006,021.38","56,107,652.69","65,865,251.32","68,597,356.08","71,060,891.26","74,200,724.56","81,312,968.94","76,336,823","76,727,057",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,"17,269,101.02","18,662,401.30","19,392,163.07","20,843,029.42","20,823,601.03","23,782,622.57","23,080,559.48","447,949.85","25,145,425.20","28,401,055.00","25,859,565.54","26,867,838.04","30,067,819.72",,"34,248,112.97","36,827,398.84","38,068,807.45","40,873,190.81","94,542.00","42,212,722.64","46,186,901.21","48,271,880.45","51,842,279.95","54,078,359.23","54,910,571.98","65,114,038.48","67,124,206.30","69,661,422.78","73,272,417.34","80,474,770.83",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,"600,429.42","276,501.61","294,410.34","311,875.59","311,048.57","208,330.06","126,426.85","69,350.87","524,518.86","413,083.28","398,415.60","78,892.39","86,648.39",,"84,323.28","101,586.64","90,808.60","141,392.10","958,188.83","93,459.29","92,007.35","81,177.51","575,808.89","927,662.15","1,197,080.71","751,212.84","1,473,149.78","1,399,468.48","928,307.22","838,198.11",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,"111,978.83","11,072.11","24,554.86","30,134.75","73,336.10","147,478.67","38,498.17","204,000.64","166,287.58","205,624.34","53,031.94","132,919.98","181,588.96",,"69,273.02","155,187.05","237,189.40","343,396.28",,"201,095.17","304,077.37","483,530.03","107,596.34","239,878.97","378,411.75","682,543.78","146,464.50","305,582.15",,"801,629.52",,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,"153,825.83",,"614,140.75",,"313,033.63","525,582.82","322,619.83","69,350.87",,"236,420.58","644,704.52","681,700.91","546,863.13",,"458,918.04","505,088.81","645,116.07","511,345.60",,"513,458.88","405,382.79","391,735.37","470,396.24","354,091.25","1,825,260.86","2,064,405.41","788,057.79","799,224.77",,"1,057,350.24","1,805,705","1,144,331",,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,,,,,,,,"22,088,270.45","23,511,202.31","24,663,130.46",,"27,512,564.28","26,566,451.46",,"29,260,692.91","32,547,249.69","30,147,957.66",,"34,396,515.41",,"38,665,599.10","41,568,312.22","43,212,311.21","46,287,530.56","47,098,459.79",,"52,030,666.54","54,698,344.05","58,708,160.25",,"66,014,324.09","78,063,647.29","81,262,809.65",,,"95,768,091.25","91,754,091","91,592,646",,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,"2,211,240.44","2,923,905.10","4,440,974.49","4,401,377","4,409,070.91","5,592,949.67","3,496,756.19","3,356,692.46","3,175,322.63","5,441,973.93","5,190,458.38","3,830,480.31","4,743,570.87",,"5,347,338.47","3,867,863.92","6,950,038.51","6,622,923.37","5,360,019.87","4,925,829.96","7,404,187.25","7,824,890.93","8,475,209.07","8,664,042.68","9,922,166.62","12,541,384.82","11,474,090.55","8,682,596.13","7,828,550.67","12,988,585.92",,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,"400,000.00","604,869.37","324,868.08","546,181.93","289,612.03","144,144.24","828,180.13","780,791.22","1,479,134.93","300,000.00","359,324.54","349,892.92","348,262.29",,"598,224.48","48,224.48","48,224.48","48,224.48","448,224.48","848,224.48","598,224.48","448,224.48","1,498,224.48","448,224.48","48,224.48","48,224.48","248,224.48","48,224.48",,"48,224.48",,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,"1,991,283.54","1,366,045.94","921,957.38","786,541.71","633,141.22","2,021,279.54","1,464,997.20","2,565,820.66","2,407,033.81","4,894,964.32","2,091,756.18","2,918,052.15","3,063,859.15",,"3,255,264.00","6,452,207.63","3,923,017.97","5,743,071.58","7,111,656.48","7,183,948.70","5,735,617.67","5,070,194.36","5,437,923.61","6,811,236.55","6,077,044.43","6,145,506.52","9,163,990.12","11,360,952.30","10,757,598.35","10,703,817.94","6,917,267","7,751,850",,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,,,"17,162,980.41","16,870,756.15","17,343,198.70","18,501,455.18","18,821,506.47","19,036,777.82","20,208,418.07","20,392,829.31","21,391,528.11","21,215,604.15","21,879,678.83","23,323,935.85","25,388,069.16",,"28,317,816.70","30,202,196.89","31,137,627.49","32,701,293.87","32,826,351.08","34,118,584.02","37,071,069.77","40,289,291.87","42,341,117.14","46,052,452.56","48,611,482.70","57,710,189.80","59,031,390.73","62,601,268.57","66,535,632.54","69,709,602.17",,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,,,"4,067,002.64","3,887,843.70","3,954,733.94","3,852,260.02","3,854,914.42","3,889,447.57","3,943,356.68","3,796,033.36","3,677,659.22","3,723,763.31","3,748,192.20","3,784,035.95",15.50,,,13.71,"3,863,409.56","4,233,204.13","4,418,573.93","4,570,118.81","4,604,340.87","5,636,911.31","6,024,284.77","5,980,052.73","5,721,133.45","6,844,644.52","6,758,617.77","7,162,915.81",11.01,"6,873,207.99",,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,"292,769.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,"677,732.53","719,490.24","719,413.40","723,723.66","727,152.38","754,433.34","920,527.26","819,430.39","898,558.78","983,702.78","1,073,705.16","1,028,651.79",,,"867,598.18",,"886,363.02","822,224.71","763,083.58","851,811.86","869,552.06","899,411.20","646,243.21","758,856.65","747,369.66","766,445.20","798,812.56","1,060,208.61",,"997,453.59",,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,"656,098.02","635,084.00","718,056.48","716,656.68","730,337.64","753,536.60","740,913.05","554,984.63","580,475.16","570,974.08","585,450.67","578,879.51",,,"438,566.34",,"386,738.79","383,340.14","417,128.90","411,076.69","400,754.17","599,591.11","590,768.97","573,913.92","560,639.22","551,116.35","542,383.29","530,986.03",,"437,831.48",,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,"2,079,353.93","2,038,039.81","2,031,859.10","2,119,109.79","2,110,743.23","2,082,228.38","1,959,663.76","2,133,968.85","1,917,202.38","1,915,445.58","1,730,985.79","1,872,195.63",,,"2,159,128.06",,"2,189,070.76","2,609,452.85","2,854,570.27","2,928,407.37","2,861,348.08","3,506,566.07","4,092,579.82","3,975,243.12","3,696,279.76","4,572,623.98","4,740,003.67","2,256,575.29",,"2,279,329.55",,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,,"773,999.54","715,846.39","692,422.61","567,057.63","543,786.17","779,914.94","668,869.09","689,399.23","714,448.29","782,881.94","904,987.49","1,100,280.76",,,"1,567,258.48",,"1,848,306.19","1,894,676.34","1,489,109.95","1,537,500.64","1,998,815.20","1,598,465.42","1,685,903.88","1,872,157.00","1,896,801.96","2,009,679.08","2,088,318.34","2,073,160.52",,"1,978,742.39",,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,,"2,391,753.21","2,274,695.05","2,422,797.58","1,755,488.96","1,923,362.24","2,159,551.15","2,311,033.00","2,146,554.55","2,197,298.34","2,348,974.61","2,639,106.77","2,727,343.63",,,"3,015,969.29",,"4,312,314.02","4,498,443.75","4,628,259.69","4,304,348.63","5,202,485.27","5,708,115.73","6,382,897.42","6,344,708.27","7,045,274.11","8,328,667.13","8,336,161.91","8,103,016.31",,"10,426,716.75",,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,"4,193,299.38","4,225,702.11","4,221,784.80",,"5,496,865.38","5,049,876.26","4,809,881.97","4,967,950.52","5,685,531.41","6,202,076.10","6,133,175.15","6,836,445.48",,,"8,257,404.34",,"9,116,705.15","9,724,890.72","9,681,402.37","9,538,594.40","10,192,687.54","11,120,131.54","11,577,327.94","15,425,512.90","16,435,755.29","21,030,018.11","20,549,520.04","20,452,334.70",,"22,348,793.83",,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,,"169,984.94",,"201,514.95","194,529.13","188,686.50","189,882.83","211,422.32","199,965.07","191,411.16","182,420.58","172,885.54","166,924.86","165,815.27",,"392,135.64","390,513.53","385,852.73","379,686.27","373,456.97","365,510.74","367,526.16","374,785.62","470,568.45","493,148.27","498,123.25","576,102.20","573,896.79","565,386.45",,"566,600.55",,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,"169,984.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,,"266,928.20","3,508,479.46","278,088.71","233,064.63","379,491.04","527,530.19","356,677.55","3,496,756.19","616,262.27","512,286.71","453,854.18","453,854.18","686,938.67",,"754,819.80","607,305.77","767,550.03","792,330.98","978,750.91","380,644.10","854,041.21","690,956.79","485,117.50","508,603.58","857,282.61","1,042,239.47","771,216.98","1,073,954.86",,"1,751,260.21","674,508","930,707",,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,,,"1,770,493.47","2,472,847.04","642,213.40",1324791.31,"1,990,041.84","2,769,165.34","643,073.18","1,344,721.24","2,025,635.51","2,786,218.40","660,558.27","1,394,482.34","2,067,518.43",,"757,325.25","1,513,721.17","2,261,275.83","3,251,873.38","836,080.92","1,698,128.69","2,555,106.98","3,556,635.23","948,680.50","2,049,552.26","3,418,037.69","5,208,608.68","1,862,369.91","3,847,259.04","5,987,446.06","8,455,885.02","2,480,531","4,819,231",,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,,,"1,297,053.96","1,366,045.94","508,187.64","1,010,917.16","1,519,921.57","2,057,204.86","454,603.88","856,799.30","1,265,468.03","1,744,271.20","483,368.37","906,527.95","1,335,073.07",,"426,715.85","861,785.12","1,311,176.41","1,854,852.16","528,753.19","1,004,250.64","1,439,639.18","1,968,130.40","568,429.47","1,241,394.41","2,102,491.46","3,304,226.37","1,410,775.21","2,804,743.66","4,293,059.33","5,893,775.41","1,510,242","3,047,028",,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,,,,"473,439.51",3.13.2,"134,025.76",3.13.2,"470,120.27","711,960.49","188,469.30","487,921.94",3.13.2,"1,041,947.20","177,189.90","487,954.39","732,445.36",,"330,609.40","651,936.05","950,099.42","1,397,021.22","307,327.73","693,878.05",3.13.2,"1,588,504.83","380,251.03","808,157.85",3.13.2,"1,904,382.31","451,594.70","1,042,515.38","1,694,386.73","2,562,109.61","970,289","1,772,203",,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,,,,,,"70,604.94",,"22,190.01","51,952.50","80,854.64","121,275.45","31,659.74","65,250.25","101,851.07","140,434.03","45,898.97","110,713.33","167,669.61",,"33,632.78","84,040.07","148,086.72","214,376.84","57,545.93","92,724.97","155,472.68","330,777.01","67,253.69","174,843.06","239,039.80","419,026.73","136,131.25","185,342.02",,"507,284.32","61,409","140,198",,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,,,"13,627.39",,"5,780.59",12375.95,"14,718.41","15,185.79","14,712.88","12,130.57","16,777.20","5,784.15","4,769.34","5,464.39","23,489.73",,"13,931.66","29,189.07","49,448.61","74,163.70","25,330.52","46,332.55","74,021.63","100,813.83","25,341.20","53,562.95","83,720.40","122,512.09","41,332.36","80,818.36",,"185,077.30",,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,,,,,,,"595,654.17",,"174,808.57","406,454.27","602,659.13","902,911.99","267,131.63","610,411.03","939,781.86","1,256,711.72","228,235.08","630,206.91","968,879.40",,"403,229.05","816,884.06","1,231,361.40","1,832,956.40","423,106.16","896,030.81","1,443,659.49","2,220,782.91","529,032.81","1,152,245.99","1,854,502.91","2,807,926.54","760,017.28","1,552,309.88","2,516,832.03","3,730,225.11","1,354,404","2,368,795",,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,,,,,,,"52,704.48","854,397.33","22,846.51",43471.2,"64,389.34","90,820.48","20,773.98","48,346.77","73,989.74","111,019.81","31,758.08","58,999.83","87,344.88",,"44,776.55","82,783.50","122,928.48","171,702.20","47,335.83","85,984.90","128,857.41","204,356.56","67,236.45","124,417.24","185,959.56","281,130.48","99,349.01","179,166.75",,"388,407.60",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,"95,619.68","634,926.69","37,475.29",77610.1,"121,522.09","187,868.64","43,785.85","92,176.75","144,200.29","210,478.52","50,506.90","101,482.90","154,663.68",,"51,529.78","104,090.35","164,136.65","250,837.22","47,371.58","100,976.20","166,176.67","257,300.63","48,341.57","108,922.30","170,173.89","294,042.97","70,809.27","160,195.20",,"387,977.05","88,819","180,071",,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,,,,,,,"447,330.01","191,477.08","114,486.77","285,373.02","416,747.70","624,222.87","202,571.80","469,887.51","721,591.83","935,213.39","145,970.10","469,724.18","726,870.84",,"306,922.72","630,010.21","944,296.27","1,410,416.98","328,398.75","709,069.71","1,148,625.41","1,759,125.72","413,454.79","918,906.45","1,498,369.46","2,232,753.09","589,859.00","1,212,947.93","1,997,503.69","2,953,840.46",,,,,,,,,,,,,,,,,,,,,,,
