Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,"6,293,859",,,"7,238,000",,,,"9,363,520",,,,"13,781,713",,"17,427,603",,,"21,970,597","23,376,656",,"29,402,804","31,491,397","35,621,141",,,"43,337,224","45,301,912",,"56,237,204","59,914,402",,62758043,"56,237,204","76,528,378",,"85,924,570","91,831,622",,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,"768,000",,,"806,400",,,,"2,016,000",,,,"2,016,000",,"2,016,000",,,"2,217,600","2,217,600",,"2,217,600","2,550,240","2,550,240",,,"3,060,288","3,060,288",,"4,022,032","4,210,990",,5305872,"4,022,032","8,001,255",,"8,001,255","8,001,255",,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,"129,651",,,"156,329",,,,"233,029",,,,"223,676",,"244,112",,,"292,740","400,798",,"660,309","414,082","561,331",,,"547,249","778,431",,"1,419,930","1,015,640",,1767908,"1,419,930","1,437,106",,"2,274,572","3,288,277",,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"370,000",,"370,000","1,000",,"370,000","370,000","370,000",,"370,000","370,000",,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,"656,000",,,"444,800",,,,"658,000",,,,"88,250",,"437,623",,,"855,088","355,000",,"898,268","1,168,484","1,385,041",,,"3,333,405","1,348,057",,"3,281,940","3,281,940",,834971,"3,281,940","11,404",,"1,803,500","358,950",,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,"4,628,512",,,"5,760,495",,,,"6,356,737",,,,"11,178,734",,"14,470,732",,,"18,102,641","19,889,934",,"24,841,663","26,590,007","30,147,440",,,"35,436,664","39,096,257",,"46,344,181","48,691,269",,53320761,"46,344,181","64,132,106",,"71,515,213","79,183,347",,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,"4,080,500",,,"5,541,427",,,,"6,287,791",,,,"11,126,467",,"14,321,555",,,,"19,091,084",,"23,499,402",,"28,163,387",,,,"37,112,305",,"44,200,388",,,,"44,200,388",,,,"678,107",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,"548,012",,,"219,069",,,,"68,947",,,,"52,267",,"149,177",,,,"798,850",,"1,342,261",,"1,984,052",,,,"1,983,953",,"2,143,793",,,,"2,143,793",,,,"85,705,143",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,"1,367",,,,,,,,,,,,,,,,,,,,,,"23,393",,"9,414",,,,"9,414",,,"4,541","4,041",,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,"69,975",,,,"99,753",,,,"275,052",,"259,136",,,,"513,324",,"784,963",,"977,089",,,,"625,485",,"789,708",,,,"789,708",,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,"6,293,859",,,,,,,,,,,,,"17,427,603",,,"21,970,597","23,376,656",,,"31,491,397","35,621,141",,,"43,337,224","45,301,912",,,"59,914,402",66829720,62758043,"56,237,204","76,528,378",,"85,924,570","92,558,086",,,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,"455,653",,,"1,017,235",,,,"1,051,270",,,,660,,"240,234",,,"364,420",,,"364,420",,,,,,,,,"9,915,477",,,"670,504","6,910,608",,,"670,504",,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,"643,784",,,"495,610",,,,"916,653",,,,"2,108,792",,"2,577,449",,,"3,098,630","3,164,745",,"3,715,503","4,187,137","4,058,191",,,"7,744,240","8,125,364",,"10,743,074",,,7925523,"10,743,074","9,752,872",,"12,925,405","15,851,215",,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,"4,488,099",,,"5,092,099",,,,"6,371,324",,,,"9,530,238",,"12,993,467",,,"15,456,492","17,170,783",,"20,411,444","22,833,968","25,893,543",,,"30,333,380","33,290,739",,"40,441,857","44,608,156",,48596841,"40,441,857","57,288,532",,"64,322,096","68,663,692",,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,"890,935",,,,"1,489,744",,,,"1,068,377",,"962,072",,,,"834,595",,"931,294",,"1,665,224",,,,"2,801,108",,"3,985,379",,,4925231,"3,985,379",,,"5,585,712","5,585,712",,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,,,"203,392",,"227,464",,,,"196,066",,"136,114",,"250,985",,,,"433,419",,"531,304",,,,"531,304",,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
