Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,"17,564,464","18,060,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119471262,,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,"952,200","952,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8464385,,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,"277,366","331,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4471086,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,"227,770","227,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203520,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,"2,036,300","327,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972289,,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,"13,605,437","15,984,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101414042,,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,"13,435,688","15,500,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101012658,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,"169,749","484,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401384,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,"69,094","4,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,"17,564,464","18,060,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,"1,598,702","1,777,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9165632,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,"69,070","484,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1751200,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,"2,426,001","2,176,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19585421,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,"13,471,067","13,330,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84760515,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
