Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,748,512",,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,989,283","3,220,697","3,336,481","3,976,047","5,301,396","5,301,395","5,453,212","7,017,698","8,152,558","8,152,556","8,152,556","8,152,556","8,152,556","8,152,556",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000","100,000","100,000",,"80,000",,"60,936,564",,"85,703","986,920","523,733","524,620","624,696",,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,263,661","37,224,577","41,282,795","51,650,280","54,083,006","57,300,456","57,779,907","59,201,928","58,705,000",,"63,309,430","67,986,527","74,128,689","74,831,187",,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,323,429","36,247,986","40,275,814","50,390,677","52,712,186","55,734,110","56,299,213",,,"61,477,604",,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"940,232","976,591","1,006,981","1,259,603","1,370,820","1,566,346","1,480,694",,,"1,687,595",,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"412,041","89,115",,,"570,495",,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"835,609","821,902","722,064","764,972",,,"2,015,019","2,303,902","5,974,289","2,258,072","2,189,759","2,346,040",,"4,592,328",,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,687,767","42,298,037","46,712,510","58,971,251","62,456,352","65,945,012","68,234,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","100,000",,,"100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,201,994","6,694,047","7,478,161","8,172,422","7,989,489","9,211,217","7,720,517","7,337,394","12,841,937","11,994,188","12,496,751","13,537,418","9,092,015","9,137,971",,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,930,304","2,234,193","2,264,634","2,898,192","2,877,674","3,050,641","3,276,977","3,703,270","3,596,756",,"3,546,810","3,564,842",,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248,495","307,326","366,835","615,469","682,610","619,192","624,600","609,721","454,210","522,090",,"515,016",,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"608,419","715,531","691,536","1,394,254","1,437,652","1,567,773","1,617,473","2,069,277","1,984,963","2,054,553",,"2,034,964",,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"853,397","956,642","1,139,876","1,730,266","2,028,741","2,298,768","2,282,140","469,00","2,526,132","2,114,369","1,834,684","1,916,943",,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,764,496","2,854,284","3,054,918","3,658,974","4,399,891","4,642,688","4,967,955","6,002,252","6,761,837","7,224,374","7,601,462","8,511,180",,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,751,357","5,134,330","5,956,826","10,069,746","10,872,895","12,652,245","13,943,161","13,666,110","14,070,478","14,050,685",,"15,711,417",,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"304,890","303,554","304,062","409,792","447,280","466,133","551,403","950,021","602,297","625,871","688,793","733,022",,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,358",,"206,583","161,440","161,440",,,"119,254",,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"507,701","1,003,522","770,563","941,960","1,228,546","888,260","1,552,361","1,598,092","964,393","1,142,640","1,345,929","1,646,224","1,891,945","2,117,367",,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"280,665","1,446,717","2,198,173","3,095,549","1,059,793","2,253,853","2,253,853","5,323,149","1,687,295","3,575,501","5,417,325","7,573,097","2,202,284","4,520,171",,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"409,073","798,726","1,177,626","1,591,977","544,135","1,150,673",,"3,107,907","1,163,849","2,284,711","3,467,675","4,758,259","1,365,199","2,759,201",,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"280,665","647,991","1,020,547","1,503,572","515,658","1,103,180","1,103,180","2,215,242","925,445","1,290,790","1,949,650","2,814,839","837,085","1,760,970",,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,248","111,305","188,995","279,039","89,307","182,813","182,813","330,942","77,822","166,873","246,095","334,954","88,370","200,298",,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,354","54,783","82,164","115,336","34,027","68,188","68,188",,,"88,582","151,095","214,022",,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"388,615","871,226","1,383,818","2,060,220","679,680","1,445,556","1,449,000","2,894,500","708,070","1,691,782","2,552,160","3,661,798","1,118,415","2,301,900",,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,063","162,300","244,315","354,752","112,238","207,943",,"400,900","400,400","312,843","473,687","698,315",,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,910","171,586","274,597","427,789","110,734","225,743",,"364,197","131,059","300,089","460,316","721,500","178,867","391,349",,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"214,642","537,340","864,906","1,277,678","456,708","1,011,870","1,011,870",,,"1,078,850","1,618,157",,,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,880,538",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,"1,145","1,359","20,468","24,230","744,730","44,154","4,944","15,980","18,095","27,375","96,180","155,338",,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,858","174,746","282,016","556,317","72,341","113,307","113,307","194,699","279,724","232,049","415,483","448,657",,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"193,733","580,545","930,212","1,510,035","397,755","958,114","958,114",,"328,082","1,090,384",,"2,233,795",,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,528","155,338","133,535","141,981",,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"935,046","1,502,474",,,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,829","51,994","84,024","136,846","36,160","87,101","84,074","107,300","39,150","85,004","136,589","190,164",,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,802","363,954","588,171","951,754","253,116","609,709","609,709","1,188,806","209,142",,,"1,331,155",,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,11.27,11.00,11.98,11.91,12.17,12.89,15.23,14.32,14.42,14.57,14.42,12.99,13.04,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.30,2.28,1.24,1.69,1.40,1.00,1.37,1.49,1.65,1.45,1.28,1.12,1.26,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78,8.84,8.60,8.67,8.79,8.78,9.33,10.01,11.691,11.68,11.61,11.77,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09,4.92,4.68,4.52,4.36,4.60,5.22,6.00,7.30,7.32,7.40,7.47,7.70,,,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.54,76.74,,,75.47,77.56,76.02,,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.11,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.32,18.13,18.01,15.49,15.83,18.05,15.44,12.71,8.44,11.58,11.99,11.85,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/D Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,7.45,6.86,6.86,6.79,7.57,9.47,11.19,10.821,10.96,11.34,11.39,10.97,10.63,,,,,,,,,,,,,,,,,,,,,
CCD Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.64,77.90,,,,,,,,,,,,,,,,,,,,,,,,
Credit Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.82,136.56,122.13,160.81,125.52,142.41,138.49,148.33,141.63,114.72,127.19,144.75,171.05,,,,,,,,,,,,,,,,,,,,,,
