Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,3320963.0,3194561.0,3504515.0,3644846.0,3340210.0,3652226.0,3846306.0,4185782.0,3261974.0,3779076.0,4375384.0,4813778.0,4002759.0,4633125.0,5274461.0,5686669.0,4696945.0,5202468.0,6085632.0,6869602.0,6066040.0,5190960.075,5325987.259,5796006.031,6116985.95,6790001.798,5670966.635,6080706.759,5986630.811,6198834.933,6588789.341,6952623.632,7154346.379,7544894.397,6472136.45,7353753.114,7426425.805,13457609.7,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,606428.0,627374.0,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,688450.0,192500.0,,1400033.0,,,,,,,1000000.0,,1350053.0,,40000.0,311405.0,1404500.0,,40000.0,,,,,,,,,,,,,,,,,,,2090265.961,,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,59767196.0,62917185.0,64674848.0,68912484.0,67025508.0,68307233.0,73523334.0,77529981.0,81137740.0,80877838.0,87323146.0,93226213.0,91098628.0,92890828.0,92881114.0,96136781.0,92972795.0,96324191.0,99743045.0,102459114.0,106107324.0,108582107.1,109390482.2,115354807.5,112679085.0,116274482.6,125096979.3,128720746.5,129717593.5,132208163.9,140848614.8,142122886.1,165391999.0,165122544.8,168177158.5,170398206.9,175843875.9,264080419.5,,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.0,,,92551.0,,,,40942.0,10266.0,,,130293.0,18642.0,,,92945.0,13962.0,,,,,126353.02,119344.357,167107.334,94312.58,270364.565,96016.544,100478.165,95362.284,109459.221,101754.246,104991.988,109229.927,104467.905,88759.997,41156.753,43497.127,28093.736,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,2476402.0,3451171.0,2815559.0,2931477.0,3297058.0,3057707.0,3610648.0,3609990.0,3569671.0,3987007.0,3382423.0,3290081.0,3251567.0,3297543.0,3210023.0,3852708.0,3512730.0,3488907.0,3413374.0,5588057.0,8028416.0,2785105.278,2698182.324,2909460.164,3726389.021,3357343.036,3644360.056,3442622.983,3484216.313,3707990.235,3278372.724,3900373.787,4578958.325,4466150.377,5192330.623,5632895.309,6011156.042,8860198.251,,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,70114713.0,73753417.0,74992922.0,80979391.0,78095476.0,79449866.0,84912988.0,89299395.0,93078796.0,93743066.0,101180098.0,107024722.0,106797969.0,107913120.0,108497222.0,113172132.0,111315061.0,113730095.0,117956580.0,123656730.0,129349410.0,132459875.5,133295794.2,144318003.6,142495930.1,147752172.1,156687158.9,162367083.0,165830015.8,172754542.5,179645363.0,190827854.1,209050305.0,219526002.6,217380413.6,213408793.8,215888088.0,336926047.9,,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,43957460.0,45715752.0,46449329.0,50548652.0,52944631.0,55500982.0,55428007.0,57494720.0,58997068.0,65288179.0,69100890.0,72183928.0,75567818.0,78083492.0,77654974.0,80788349.0,82757606.0,85456212.0,86846646.0,94240786.0,98836632.0,97857944.05,97593660.14,102447740.0,102450971.2,110963619.7,106651426.7,104380091.7,114541099.2,127129314.7,132060348.6,145224919.4,158475379.7,158267080.0,155805724.8,160418223.2,161274939.0,253491710.7,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,2372978.0,3528870.0,4744599.0,1087063.0,2226787.0,3384674.0,4626793.0,1149115.0,2371728.0,3596250.0,4974339.0,1334006.0,2865154.0,4692774.0,6936742.0,2137024.0,4506780.0,6871036.0,9630075.0,2811404.0,5572143.0,2979258.613,3084971.678,3146490.296,3030662.471,3076757.231,2867639.182,2775235.002,2368442.048,2515028.9,2725758.074,2950864.75,3535167.328,4714544.729,5501644.878,5676937.291,5651742.308,8088334.864,,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,1195824.0,1733624.0,2248798.0,496686.0,970284.0,1450691.0,1956513.0,451865.0,816326.0,1152812.0,1565896.0,507824.0,1060478.0,1923181.0,3173334.0,1361566.0,2637273.0,3960452.0,5403047.0,1498599.0,3078705.0,1719260.589,1796059.933,1823558.193,1769285.515,1807846.711,1945741.303,1831626.557,1543701.093,1558772.133,1642616.701,1833816.518,2723564.558,3262460.227,3732211.626,3862527.716,3802747.963,5209149.293,,,,
