Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,1540421.0,1556878.0,1556878.0,1479530.0,1686878.0,1909350.0,2177952.0,2399634.0,1966602.0,2209004.0,2508390.0,2805114.0,2743823.0,3058640.0,3450511.0,3875708.0,3257700.0,3585724.0,3987554.0,4447904.0,3710897.0,4090986.0,4513643.0,4885712.0,5249415.0,4901548.0,5086835.0,5869615.0,6383001.0,4607236.0,5433543.0,5883759.0,6678253.0,5190410.0,6782365.0,7805466.0,8634742.0,7581148.0,6122256.0,7100565.0,6967132.0,7267496.0,7817659.0,8144903.0,8079137.0,8475277.0,9423366.0,9148153.0,8629458.0,8304931.0,8114313.0,9092936.0,8991982.0,9900985.0,9862829.0,,,,
debenture and bond,,,,,,,,,,300000.0,300000.0,1300000.0,500000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,,,,,468845.0,468845.0,468845.0,468845.0,468845.0,468845.0,468845.0,468845.0,1068845.0,1068845.0,1060045.0,468845.0,1060045.0,1060045.0,1068844.0,1068845.0,1068845.0,1068845.0,1068845.0,1068845.0,1068845.0,1068845.0,1068845.0,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,295600.0,,318800.0,404600.0,404600.0,,,482000.0,,,82250.0,,,,,402360.0,,,,,,,,,,,,2500.0,5000.0,7500.0,12500.0,12500.0,16676.0,23176.0,23527.0,26713.0,745359.0,762497.0,,,,,,,,,,,,,,2556000.0,81000.0,46000.0,66000.0,,,,
deposits,,,,,,,,,,33457506.0,34802841.0,34333197.0,36932310.0,37101355.0,37139528.0,38232855.0,41127914.0,43955869.0,45066483.0,45983008.0,50006100.0,50050860.0,49222747.0,51293441.0,57720465.0,58693277.0,59922282.0,62764383.0,62108136.0,66164773.0,70019793.0,71056827.0,83093790.0,76017766.0,76045765.0,79818425.0,93735481.0,89155098.0,90436607.0,92811441.0,95094461.0,99371205.0,103299183.0,106944082.0,4608136.0,120339181.0,124177926.0,124542022.0,129550539.0,134744985.0,141195515.0,140062709.0,143545475.0,156549579.0,150182622.0,155655693.0,160220257.0,163941720.0,165217641.0,161796435.0,172739185.0,173844552.0,180792914.0,186158814.0,,,,
income tax liability,,,,,,,,,,75189.0,34327.0,20012.0,1136.0,11130.0,22634.0,17749.0,26900.0,103570.0,27845.0,86985.0,9297.0,139579.0,64113.0,71916.0,23933.0,174236.0,18942.0,9000.0,,148502.0,31222.0,57813.0,,145084.0,54402.0,39333.0,39333.0,197403.0,6440.0,13803.0,13803.0,214276.0,70622.0,,,,,77264.0,77264.0,313596.0,164372.0,525453.0,140976.0,127370.0,127370.0,127370.0,423325.0,410464.0,410464.0,410464.0,91825.0,122131.0,,,,,,
other liabilities,,,,,,,,,,1861766.0,1493822.0,1484883.0,1587894.0,1382810.0,1558070.0,1197304.0,1224305.0,1430046.0,1380843.0,1798049.0,2306839.0,2483810.0,2837975.0,3659677.0,2293289.0,2495841.0,2581020.0,3042672.0,2377239.0,3300380.0,8415865.0,8414183.0,8848125.0,3580006.0,9831260.0,8841583.0,11422593.0,10220450.0,11652097.0,10085105.0,9707079.0,9712359.0,17171618.0,8433940.0,14302616.0,6667648.0,19019332.0,15290643.0,18546681.0,5773610.0,26576584.0,24528862.0,20426683.0,6682031.0,23780477.0,18468076.0,27029490.0,11693050.0,18256507.0,19849108.0,21241050.0,7976540.0,35988108.0,18852685.0,,,,
total assets,,,,,,,,,,39028477.0,39218335.0,38974189.0,41982805.0,42242959.0,42209189.0,43205466.0,46840364.0,49147657.0,50320056.0,51976282.0,56518986.0,57179198.0,56944600.0,60236671.0,66545726.0,67011138.0,68498053.0,72175693.0,71323364.0,75930784.0,85164098.0,86533073.0,100033860.0,88198504.0,94644424.0,97867615.0,114841637.0,109780409.0,112657152.0,114031664.0,117507740.0,123176848.0,134930717.0,131359622.0,146162965.0,145562639.0,160716612.0,159315637.0,168684737.0,161226497.0,187955267.0,188234657.0,185018806.0,184518133.0,197170267.0,199138135.0,211646308.0,200263828.0,209484555.0,208944095.0,224300219.0,215486119.0,248350770.0,237897198.0,,,,
loan and advancements,,,,,,,,,,25881126.0,28684027.0,28703719.0,28156400.0,28375987.0,31344191.0,31221627.0,31661843.0,32690155.0,36269343.0,35340244.0,36616832.0,37809620.0,42192683.0,41854467.0,44197763.0,45116426.0,47965162.0,50643091.0,48450305.0,53553179.0,54701753.0,56494785.0,55363519.0,51323624.0,55040200.0,56494785.0,68911543.0,69530035.0,12610124.0,73550546.0,78284679.0,81859369.0,84736492.0,86810483.0,93991587.0,103318127.0,105927470.0,108965139.0,112006277.0,116036527.0,120962992.0,120373993.0,119052872.0,122441120.0,120200148.0,127690234.0,135167548.0,144375697.0,152845298.0,153260718.0,155047381.0,157256853.0,165760749.0,168897996.0,,,,
interest income,,,,,,,,,,644189.0,1373783.0,2172703.0,3102451.0,986192.0,797780.0,1271667.0,1795151.0,451476.0,2393658.0,1443861.0,2086664.0,573749.0,1179807.0,1903494.0,2757742.0,653696.0,1301532.0,2021644.0,2918815.0,1205662.0,1382108.0,2088032.0,2879435.0,1173498.0,2426247.0,3540847.0,5057077.0,1401827.0,2828193.0,4577252.0,6748565.0,2205818.0,4478760.0,7299774.0,49464.0,3068910.0,6206662.0,3265365.0,3485511.0,3589647.0,3582366.0,1443885.0,3247725.0,3169884.0,2741130.0,2696690.0,2911706.0,3025113.0,3363112.0,4114371.0,5104447.0,5314639.0,5455314.0,5722667.0,,,,
interest expense,,,,,,,,,,341313.0,688713.0,1078991.0,1322190.0,501145.0,1198180.0,1814114.0,4331026.0,731930.0,1473702.0,2198447.0,2873335.0,587724.0,1105987.0,1630295.0,2179182.0,614545.0,1189522.0,1711543.0,2258737.0,493487.0,998483.0,1502487.0,2116993.0,514064.0,978001.0,1375236.0,1828493.0,490930.0,1061560.0,1902289.0,3009549.0,1174877.0,2380718.0,3674953.0,5233688.0,1758285.0,3535580.0,1830160.0,1955112.0,2157127.0,2112405.0,2092567.0,2283679.0,2146586.0,1873719.0,1773052.0,1765852.0,1933207.0,2328055.0,2735663.0,3184141.0,3429185.0,3670522.0,3805664.0,,,,
net interest income,,,,,,,,,,302876.0,685070.0,1093772.0,1529661.0,484047.0,797780.0,1271667.0,1795151.0,451476.0,919956.0,1443861.0,2086664.0,573749.0,1179807.0,1903494.0,2757742.0,653696.0,1301532.0,2021644.0,2918815.0,712176.0,1382108.0,2088032.0,2879435.0,659434.0,1448246.0,2165611.0,3228585.0,910897.0,1766633.0,2674962.0,3739016.0,1030941.0,2098042.0,3624821.0,4924773.0,1310625.0,2671082.0,1435205.0,1530399.0,1432519.0,1469961.0,1443885.0,964047.0,1023298.0,867411.0,923637.0,1145854.0,1091906.0,1035057.0,1378708.0,1920307.0,1885454.0,1784791.0,1917003.0,,,,
net fee and commission income,,,,,,,,,,55756.0,114069.0,168817.0,208123.0,58795.0,120077.0,182710.0,203468.0,45855.0,108176.0,168295.0,233570.0,74266.0,143878.0,204239.0,266821.0,67599.0,134294.0,198886.0,254882.0,89377.0,167603.0,225816.0,303619.0,61847.0,119257.0,198090.0,285937.0,78553.0,167706.0,249442.0,346180.0,89592.0,172147.0,417976.0,245309.0,247097.0,474656.0,183797.0,261516.0,224288.0,256522.0,319169.0,215953.0,186640.0,170916.0,217961.0,192648.0,206910.0,259784.0,231487.0,333704.0,261815.0,219184.0,267607.0,,,,
