Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,54813.0,54816.0,48927.0,152121.0,135561.0,195751.0,221039.0,289630.0,165067.0,212979.0,280318.0,592517.0,654193.0,531249.0,647359.0,930536.0,1084078.0,982736.0,1938936.0,2230464.0,1580558.0,1898970.0,2169513.0,2366024.0,1477909.0,1927117.0,2202866.0,2565015.0,1990622.0,2483389.0,3145293.0,4150592.0,2811625.0,3420093.0,3239979.0,4637000.0,5783504.0,4577364.0,2739654.72,3215166.232,4073703.728,7585890.368,9241623.979,8518987.48,9416295.931,7918041.389,8107900.321,8407606.172,8944063.662,9610303.764,10309722.03,10693206.96,12194254.44,18807678.42,19627395.22,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,723900.0,784600.0,952610.0,339160.0,393330.0,826393.0,497545.0,401789.0,15660.0,,165602.0,87321.0,74880.0,105553.0,94143.0,107043.0,189221.0,336289.0,167014.0,143661.0,893624.0,142511.0,89565.0,103318.0,70086.0,2514674.0,2761078.0,2400000.0,,1100000.0,78451.0,363765.0,667600.0,3663471.0,1552487.0,200000.0,2297296.0,3899825.0,1992468.515,2079559.63,4581023.015,3606571.643,3573845.642,3914493.367,903139.365,2116340.9,1959861.05,2086940.861,3008867.487,3055029.843,2604555.138,3513138.132,1323311.971,3941232.435,3995028.968,,,,
deposits,,,,,,,,,,11437018.0,13038917.0,13444069.0,15031548.0,14943785.0,14449633.0,14705942.0,15066490.0,16323954.0,17498446.0,18947604.0,26933768.0,28103842.0,29365782.0,30335172.0,34111466.0,35355206.0,36975765.0,49399403.0,52292058.0,53894763.0,55202615.0,57737170.0,60175984.0,63093539.0,63821198.0,64689228.0,74635634.0,79507539.0,84046017.0,85749696.0,101124969.0,105102190.0,100415422.0,102827912.0,106831709.0,111896326.0,113742449.0,117640262.1,120857969.0,129966684.4,197889045.7,202681233.9,212949111.6,225340495.1,235457327.6,245803478.4,270114842.7,269462839.8,274285805.6,271657502.0,280058542.9,282161928.3,406290700.6,412474430.3,,,,
income tax liability,,,,,,,,,,18132.0,10008.0,29546.0,4931.0,37667.0,56766.0,67604.0,,,44980.0,73840.0,,,,,,71605.0,174625.0,41467.0,385823.0,91944.0,228089.0,343261.0,427413.0,131789.0,324233.0,439561.0,591219.0,176543.0,374166.0,618397.0,875350.0,149062.0,408927.0,623441.0,924950.0,,,787027.321,1173675.921,327095.886,971794.012,1401355.126,1328560.105,451481.532,1002787.633,1543593.348,1940186.246,543423.894,1134381.755,1667942.315,2428362.225,533908.034,1366454.407,1842212.14,,,,
other liabilities,,,,,,,,,,286003.0,347788.0,581803.0,241918.0,764143.0,431878.0,631786.0,673082.0,718556.0,820457.0,680524.0,998660.0,1854227.0,2126547.0,1424042.0,2098439.0,1902834.0,1643404.0,2634782.0,2706929.0,2345003.0,2521437.0,3008758.0,2515710.0,3056288.0,3293565.0,7501970.0,3819109.0,5096121.0,3996755.0,4317796.0,6572934.0,7446457.0,5580207.0,5828582.0,5831149.0,4286374.0,4020981.0,2388745.72,2522597.332,3423862.812,4984241.059,4973735.968,3819586.904,5050497.196,5913656.185,4823256.951,5349509.073,10534569.1,6604008.105,7008322.264,7278083.898,8333354.146,12958067.3,9989288.893,,,,
total assets,,,,,,,,,,13562178.0,15584617.0,16451031.0,17243028.0,17747836.0,17459569.0,17623916.0,17930991.0,18823237.0,20178314.0,21749340.0,31197078.0,33271954.0,34779488.0,35153273.0,40065622.0,41421082.0,43293677.0,58951807.0,62313673.0,64261817.0,65450039.0,68805589.0,71045925.0,74437291.0,78488505.0,84206499.0,90627981.0,94371656.0,100605533.0,101609015.0,121652930.0,125558244.0,122873003.0,124161722.0,129574081.0,133654036.0,137062107.0,147236169.3,151229846.0,166709096.6,266054868.3,268721512.7,277083719.9,289504536.1,306451618.7,325317478.7,351007610.8,356997805.8,363538020.7,360181933.8,365783857.2,362634893.5,509987053.5,513891721.8,,,,
loan and advancements,,,,,,,,,,9935752.0,11898069.0,12247435.0,12008775.0,12805039.0,12910088.0,12892359.0,12779175.0,13442150.0,14857508.0,15212014.0,20764481.0,22968612.0,23916581.0,24907037.0,26991614.0,28595963.0,30116182.0,41284747.0,43001398.0,45534760.0,47563852.0,49939954.0,50226650.0,52101687.0,54984978.0,57341984.0,60841364.0,67164474.0,71516372.0,73135215.0,81171884.0,89143312.0,88557435.0,89749559.0,94025520.0,100848641.0,104616757.0,109423294.3,115645552.5,125362497.0,200421121.6,204723477.3,199166632.4,205940226.5,215864041.5,236574126.8,243549368.6,268500289.7,273285696.9,277203653.5,275387570.7,278531497.3,383191369.0,381011422.5,,,,
interest income,,,,,,,,,,280354.0,593572.0,998278.0,1465260.0,489515.0,976127.0,1458819.0,1857553.0,534914.0,1047078.0,1601449.0,2966892.0,775372.0,1559294.0,2352657.0,3205206.0,858508.0,1759963.0,2655970.0,3809521.0,1158058.0,2294772.0,3448960.0,4660495.0,1174693.0,2402287.0,3626918.0,4988277.0,1423185.0,3007510.0,5050508.0,7452050.0,2692313.0,5500777.0,8327831.0,11567657.0,3237242.0,6564734.0,3442264.534,3821454.367,3986852.344,4917097.929,6107934.199,5968589.807,5973663.412,5385727.732,5310557.54,5493464.946,6410905.855,7156715.136,8026790.88,9455950.478,9857704.082,10336308.51,14690683.22,,,,
interest expense,,,,,,,,,,184385.0,409166.0,667437.0,962010.0,312920.0,622418.0,941831.0,1182000.0,369224.0,743191.0,1139225.0,2037418.0,492802.0,927965.0,1355985.0,1826785.0,504568.0,970192.0,1425601.0,2052545.0,596092.0,1140766.0,1718055.0,2371095.0,587949.0,1077645.0,1553323.0,2082373.0,596239.0,1317745.0,2373427.0,3810308.0,1985569.0,3740695.0,5671540.0,7663697.0,2010157.0,4128232.0,2085637.792,2277265.923,2356736.202,2859152.929,3578593.02,3704977.155,3298810.405,3136461.703,3054899.169,3252950.727,3913000.868,4565955.555,5220494.367,6015286.455,6517653.263,6871793.31,9292080.29,,,,
