Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3652318.0,4127075.0,4695325.0,5138446.0,3907705.0,4569252.0,9884244.0,10620532.0,8400063.0,9299557.0,10092513.0,11966239.0,9118381.0,9965124.0,10978222.0,11733474.0,15794148.0,12075064.0,10556402.0,10955360.0,10837039.0,10092409.0,11566687.0,11405356.0,12005183.0,12154530.0,12950115.0,14270157.0,14234453.0,14122145.0,14380301.0,14709216.0,15131758.0,,,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,1800000.0,1800000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1550000.0,1250000.0,1250000.0,1250000.0,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407821.0,318804.0,288750.0,263116.0,274548.0,783549.0,280636.0,250480.0,1049775.0,255409.0,241089.0,241324.0,242967.0,1438272.0,2692048.0,762666.0,1370062.0,1582673.0,,,,,,,,,,,,3547500.0,3648000.0,3825000.0,2752500.0,,,,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74938731.0,79925467.0,81165151.0,90630660.0,95897811.0,98067810.0,112632377.0,108604530.0,112746030.0,116603841.0,119796795.0,125476380.0,131052822.0,129695747.0,130032857.0,139984528.0,141163966.0,142067853.0,141994242.0,149336508.0,151256195.0,149942120.0,156752753.0,166338554.0,184734271.0,166334696.0,165948007.0,174525590.0,170750893.0,173657405.0,179885038.0,184778724.0,192297694.0,,,,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132099.0,5409.0,6884.0,3432.0,78292.0,1464.0,5084.0,,240237.0,60599.0,10661.0,,228033.0,27476.0,42034.0,268726.0,,,827303.0,852192.0,809344.0,865739.0,886570.0,965958.0,1044056.0,1300863.0,1316158.0,1799337.0,1514089.0,1520073.0,1357808.0,1132627.0,1051109.0,,,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726464.0,3341738.0,2995511.0,7198391.0,3730600.0,3253746.0,21863231.0,3142442.0,12727171.0,6984095.0,7628691.0,6313019.0,8963955.0,5555415.0,6649588.0,8600009.0,5583249.0,6073006.0,6178172.0,3815754.0,3818978.0,4396906.0,4057034.0,3708087.0,4257211.0,5258344.0,5571651.0,6542356.0,7707340.0,4693471.0,5186343.0,8816791.0,6087665.0,,,,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89426147.0,94289697.0,95709057.0,109555249.0,111784656.0,114568594.0,153458044.0,131423493.0,145419887.0,143460113.0,148045341.0,154787342.0,161782594.0,158956970.0,162604781.0,172806051.0,175807025.0,175671843.0,179300411.0,186976580.0,187910090.0,189137864.0,196786340.0,204323462.0,224868971.0,212828615.0,218330978.0,230772920.0,235540000.0,233680410.0,239140389.0,247790339.0,254241935.0,,,,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59818119.0,63744668.0,66149034.0,67690199.0,74110818.0,77482671.0,84374373.0,87009792.0,94445281.0,96709906.0,101946234.0,106683877.0,107968136.0,113671155.0,118860752.0,122388438.0,124608346.0,127416902.0,128156576.0,127520390.0,134592088.0,137200273.0,143162811.0,140377575.0,144228357.0,142859119.0,160982035.0,161986657.0,168835827.0,173827886.0,173461996.0,165129087.0,175657349.0,,,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373686.0,2777577.0,4228889.0,5793434.0,1442802.0,3194683.0,4893848.0,6808711.0,1899862.0,4043556.0,6424193.0,9385518.0,3223172.0,6420116.0,9757988.0,13487574.0,3751680.0,7644899.0,3808827.0,3567899.0,3905128.0,3869054.0,3835868.0,3657291.0,4008856.0,3330999.0,3192133.0,3265260.0,3361287.0,3662743.0,4393616.0,5501768.0,5890290.0,,,,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668168.0,1336255.0,2021713.0,2807166.0,787713.0,1519910.0,2178861.0,2850423.0,767713.0,1665341.0,2857502.0,4441059.0,1881278.0,3704187.0,5602743.0,7719205.0,2156785.0,4292444.0,2198463.0,2306325.0,2357499.0,2312801.0,2343053.0,2408582.0,2354610.0,1960239.0,1856561.0,1946683.0,2063497.0,2507572.0,2878024.0,3434253.0,3735577.0,,,,,,
net interest income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705518.0,1441322.0,2207176.0,2986268.0,655089.0,1674773.0,2714987.0,3958288.0,1132149.0,2378215.0,3566691.0,4944459.0,1341894.0,2715929.0,4155245.0,5768369.0,1594895.0,3352455.0,1610364.0,1261574.0,1547629.0,1556253.0,1492815.0,1248709.0,1654246.0,1370760.0,1335572.0,1318577.0,1297790.0,1155171.0,1515592.0,2067515.0,2154713.0,,,,,,
