Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,498566.0,591883.0,662588.0,757975.0,800532.0,635167.0,696001.0,885658.0,905506.0,982658.0,941520.0,828374.0,1112426.0,1127739.0,1258353.0,1169283.0,567761.0,716598.0,786272.0,887658.0,974325.0,1139907.0,1003133.0,1388260.0,1501686.0,1643566.0,1143499.0,2112466.0,2740780.0,2590947.0,2812200.0,1794861.1,3954897.0,4332841.0,2163705.93,2149711.011,2241780679.0,2241780.679,3050049.312,3823882.514,3595456.281,3503963.068,3805164.192,3890352.246,3942438.078,4271992.994,4678323.122,4617917.392,5036566.462,12066549.81,10486558.04,,,,
debenture and bond,,,,,,,,,,,,,,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,490900.0,972350.0,748985.0,660925.0,520557.0,78126.0,26945.0,5403.0,,,,,,,288000.0,201952.0,122570.0,160387.0,2456.0,328000.0,,350000.0,292910.0,,184200.0,1107335.0,1076648.0,7217.0,352655.0,323776.0,1467594.0,,2524741.0,1140405.0,,,,,,,,,,,,,,,,,,,,,
deposits,,,,,,,,,,,,,,16784422.0,16042037.0,16636573.0,16986279.0,18006627.0,20091092.0,20665627.0,21985198.0,22542701.0,23423356.0,23923568.0,25318569.0,25899464.0,27401862.0,27424123.0,27578376.0,29640596.0,29884768.0,31224317.0,33421911.0,34738471.0,34531231.0,34821620.0,37950525.0,40356967.0,39946389.0,39035512.0,52071282.0,54648930.0,57680957.0,61841742.0,59546335.52,72498235.0,75309867.0,68854311.4,73201353.71,78302898866.0,78302898.87,85506710.0,116547033.2,117026018,122728828.1,127696585.9,148694070.8,155182644.2,159821637.2,165403677.6,176767665.6,173976523.0,299691753.5,303286788.3,,,,
income tax liability,,,,,,,,,,,,,,,,,,1541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20755.15,,,12887.84,#VALUE!,109673028.0,109673.028,100205.915,#VALUE!,#VALUE!,23334.642,47493.496,48416.79,69010.879,59902.878,123949.371,108346.98,62977.487,140898.549,96183.062,,,,
other liabilities,,,,,,,,,,,,,,699663.0,288420.0,383974.0,311084.0,239920.0,276355.0,785732.0,735106.0,965630.0,994161.0,1068730.0,997766.0,1060511.0,1205081.0,1341941.0,1154490.0,1306348.0,1181786.0,1344964.0,1117472.0,1153332.0,1148436.0,1116931.0,1003823.0,1370777.0,1536520.0,1192845.0,2478802.0,2301740.0,1824693.0,2385387.0,1963702.05,1164902.0,920715.0,1054735.336,1585598.313,1012278039.0,1012278.039,2109018.435,2114966.127,1473417.749,1923028.127,1830950.659,2702994.416,2268822.498,2654928.669,2656555.26,2174199.641,4209802.498,8952067.672,6602897.136,,,,
total assets,,,,,,,,,,,,,,20180351.0,19601491.0,20317119.0,20601262.0,21454176.0,23084539.0,24178104.0,25615166.0,26417638.0,27403974.0,27937617.0,28973041.0,29676201.0,31338482.0,31916218.0,31932433.0,34068956.0,34375221.0,35789691.0,38186723.0,39297809.0,39601255.0,39933760.0,43041775.0,46112797.0,46932977.0,45714495.0,62639263.0,66013600.0,68389870.0,74476420.0,100289643.74,87305831.0,88867223.0,92590817.72,100289643.7,110103984663.0,110103984.7,124415905.4,153916672.2,162031072.2,168123087.7,183906017.1,199752350.7,201720187.0,203656636.0,207681515.1,211131474.5,214566486.2,371182706.5,369838666.6,,,,
loan and advancements,,,,,,,,,,,,,,14855630.0,14935380.0,15113710.0,14666309.0,15569380.0,16211290.0,16822933.0,17877540.0,19015383.0,19175278.0,19761617.0,20119789.0,20864133.0,21510540.0,22331275.0,22808503.0,23846139.0,25289247.0,26699294.0,27070390.0,27467481.0,27505974.0,28695897.0,30111445.0,32411102.0,33659893.0,34486276.0,45195171.0,47471234.0,50924405.0,56849368.0,62375510.4,67824218.0,70772203.0,72239404.3,76186364.69,80567642257.0,80567642.26,92756722.13,114888918.6,115194086,119968046.7,134734347.4,143122253.4,157381204.8,161801337.5,161650428.4,159216074.8,161457624.7,285230842.1,285777054.2,,,,
interest income,,,,,,,,,,,,,,495643.0,1067297.0,456470.0,2251469.0,557249.0,1129900.0,1740570.0,2441571.0,603838.0,1175406.0,1788145.0,2464307.0,583183.0,1167345.0,1779860.0,2410762.0,545070.0,1148213.0,1742797.0,2405354.0,607161.0,1271620.0,1897429.0,2692489.0,674901.0,1441067.0,2334466.0,3596442.0,1416602.0,2932188.0,4686942.0,2068916.088,2247788.0,4429156.0,2305744.112,2487901.552,2638781580.0,2638781.58,2710886.991,2685956.378,3327685.069,3065698.21,3116373.113,3417012.779,3749785.761,4148084.416,4954961.35,5700131.836,5935386.698,6884176.645,10311551.08,,,,
interest expense,,,,,,,,,,,,,,397438.0,777794.0,1159497.0,1566552.0,390412.0,795060.0,1193633.0,1622492.0,392036.0,743917.0,1094530.0,1486282.0,425549.0,815550.0,1192733.0,1575312.0,365292.0,714103.0,1072107.0,1507365.0,429247.0,806914.0,1146949.0,1517056.0,412377.0,886024.0,1520680.0,3596442.0,1059856.0,2110517.0,3345250.0,1426083.72,1419599.0,2891607.0,1589714.008,1694248.122,1714743951.0,1714743.951,1775951.286,1803499.357,2010173.303,1869409.522,1786366.341,2007253.008,2458175.205,2803666.306,3143574.215,3732388.715,3951477.921,4599377.586,7055107.49,,,,
net interest income,,,,,,,,,,,,,,98206.0,289502.0,456470.0,684917.0,166836.0,334840.0,546937.0,819079.0,211802.0,431489.0,693616.0,978025.0,157634.0,351795.0,587127.0,835450.0,179779.0,434110.0,670690.0,897989.0,177914.0,464706.0,750480.0,1175433.0,262524.0,555043.0,813786.0,1297165.0,356747.0,821671.0,1341692.0,642832.37,699840.0,1314992.0,716030.104,793653.43,924037629.0,924037.629,934935.705,882457.021,1317511.766,1196288.688,1330006.772,1409759.771,1291610.557,1344418.111,1811387.135,1967743.121,1983908.777,2284799.059,3256443.592,,,,
