Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,410399.0,255683.0,268797.0,281830.0,272755.0,390325.0,430871.0,531846.0,634979.0,904568.0,633716.0,745552.0,871090.0,1231563.0,716255.0,856781.0,976833.0,1110021.0,2085017.0,2431693.0,2536484.0,4196960.0,4634512.0,4070986.0,4437572.0,4769307.0,9341777.0,9162112.0,8848972.0,8932320.0,9379327.0,2451341.0,3547043.0,4738877.0,5280661.0,6365740.0,5873676.0,5460741.0,5191165.0,4549537.0,5474935.0,5443141.0,5334258.0,5517827.0,6587714.0,7006381.0,7731022.0,8095154.0,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,497200.0,10000.0,,,,,,100000.0,,,,100000.0,,,,70000.0,438000.0,,,773013.0,2148503.0,1531657.0,1140337.0,2474370.0,2351489.0,4057788.0,1879502.0,2400977.0,2344056.0,7067635.0,6795532.0,2937060.0,3758194.0,355867.0,615885.0,322729.0,274129.0,389009.0,35796.0,2804148.0,4862876.0,1982847.0,632470.0,2646293.0,5790718.0,3067191.0,2219552.0,1543983.0,,,,
deposits,,,,,,,,,,,,,,,,,12799494.0,13460620.0,14129405.0,14913361.0,15965434.0,15957123.0,17049764.0,19492079.0,21949115.0,20016500.0,22093653.0,23954389.0,26271819.0,25554185.0,28988050.0,33401578.0,35361443.0,36461852.0,50368320.0,57560043.0,64941496.0,65585352.0,67725304.0,70657334.0,72315155.0,72001150.0,80954914.0,85761770.0,85045772.0,86484363.0,88773299.0,94766302.0,99210426.0,123504238.0,127916039.0,130329335.0,133248271.0,142193605.0,144361328.0,157299463.0,166165008.0,175453447.0,183817071.0,187234974.0,186883072.0,182190322.0,193730976.0,198957049.0,,,,
income tax liability,,,,,,,,,,,,,,,,,,18391.0,26060.0,32034.0,27934.0,42785.0,75126.0,117819.0,117819.0,45237.0,6320.0,6320.0,6320.0,14477.0,14477.0,14477.0,24136.0,24439.0,28181.0,30610.0,33843.0,,,52889.0,51424.0,72143.0,80399.0,87325.0,83744.0,,,725911.0,1023404.0,92222.0,33902.0,72023.0,53565.0,284472.0,150264.0,232561.0,23026.0,368831.0,67927.0,29154.0,169062.0,397733.0,179735.0,294934.0,,,,
other liabilities,,,,,,,,,,,,,,,,,422460.0,604469.0,871407.0,629401.0,780158.0,676394.0,834595.0,956830.0,316378.0,2091107.0,1790012.0,1671071.0,1466847.0,2310320.0,404409.0,478771.0,3404642.0,784143.0,23991218.0,1045157.0,995902.0,1518986.0,6507410.0,13211936.0,1868688.0,1928181.0,3382532.0,3406483.0,3278549.0,3229120.0,4519412.0,4840359.0,2185565.0,3082705.0,2313532.0,3595581.0,3388690.0,2980577.0,2902418.0,3517226.0,3934459.0,3957051.0,4148274.0,4741729.0,6598545.0,5718204.0,6354844.0,5816990.0,,,,
total assets,,,,,,,,,,,,,,,,,16129553.0,16349165.0,17115744.0,17856626.0,19046281.0,19066627.0,20390356.0,23198574.0,25134941.0,25057413.0,26523701.0,28377332.0,30616076.0,30217350.0,32570030.0,37721608.0,43105055.0,41280455.0,82035745.0,66527488.0,75682182.0,78763017.0,86438067.0,97510838.0,88093203.0,89901790.0,98716405.0,104648608.0,107827487.0,115091546.0,118838276.0,138754159.0,139615339.0,172142811.0,177864705.0,180019938.0,183277942.0,192100723.0,205398067.0,227951214.0,236360107.0,240742615.0,249842300.0,252293762.0,261346541.0,265093498.0,274726323.0,279784079.0,,,,
loan and advancements,,,,,,,,,,,,,,,,,11343092.0,11429933.0,14429333.0,12356273.0,12468479.0,14295718.0,14771461.0,15894233.0,15894233.0,16187398.0,17413134.0,19603616.0,20467041.0,21167598.0,21116511.0,26587254.0,27288891.0,27652154.0,43362120.0,49083045.0,93001774.0,56060407.0,59979361.0,61620005.0,62716177.0,64430302.0,72550081.0,75750859.0,77313408.0,84452778.0,87130580.0,92607093.0,94296896.0,117113456.0,121370466.0,123294234.0,123050641.0,136157681.0,146587863.0,157829600.0,160304892.0,175928112.0,182657897.0,188535483.0,186298831.0,190171835.0,194366712.0,196456468.0,,,,
interest income,,,,,,,,,,,,,,,,,1492385.0,418249.0,536388.0,1265179.0,1720201.0,436179.0,862062.0,1329677.0,1837998.0,482113.0,976796.0,1484660.0,2014295.0,577541.0,1074672.0,1665759.0,2329233.0,640286.0,2563140.0,2899893.0,4178700.0,1274777.0,2695213.0,4392378.0,6364668.0,2050561.0,4252557.0,445270047.0,9197319.0,2713162.0,5481040.0,2901096.0,3179634.0,3377895.0,3924125.0,4005522.0,3692634.0,3651656.0,3551065.0,3691424.0,3811826.0,4135640.0,4451531.0,5305719.0,6272331.0,6549455.0,6848428.0,7027842.0,,,,
interest expense,,,,,,,,,,,,,,,,,1048253.0,319313.0,319319.0,940512.0,1255186.0,265766.0,506414.0,766953.0,1075648.0,307979.0,606983.0,902911.0,1205082.0,319313.0,552325.0,883029.0,1341441.0,393035.0,1757050.0,1460704.0,2072152.0,641485.0,1353707.0,2387634.0,3576452.0,1372525.0,2751265.0,443005376.0,6004379.0,1679211.0,3365508.0,1735396.0,1923038.0,2075836.0,2313278.0,2355137.0,2404390.0,2191480.0,1910249.0,2108707.0,2297990.0,2569813.0,3021594.0,3470879.0,4023750.0,4373563.0,4523748.0,4696073.0,,,,
