Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,,,,,,,,,2544713.0,3043898.0,3280583.0,2703935.0,2891330.0,2369010.0,2575362.0,2789506.0,2907222.0,3074690.0,2305830.0,2563300.0,2873859.0,2187598.0,2647956.0,3065267.0,3491800.0,2362061.0,2656444.0,8031117.0,3234188.0,5096951.0,4411258.0,4057596.128,3882669.504,4532948.146,5083416.832,6098827.203,5891675.303,6762681.603,6965917.08,7522200.598,7451172.524,8475793.904,9033120.691,10014484.58,10008774.51,11280717.72,13161879.5,14458293.74,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,3500000.0,3500000.0,3500000.0,5423932.0,5319818.0,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,,,,,,,,184897.0,196100.0,196800.0,,,2450000.0,,,,,1400000.0,2200000.0,1850000.0,2400000.0,1550000.0,,500000.0,4416130.0,2159263.0,12500.0,742269.0,1250579.0,10149433.0,1289592.202,,,,,,,,,,,,,,,,,,,,
deposits,,,,,,,,,,,,,,,,,,,,,,,,,39908774.0,37855785.0,38441092.0,40569954.0,44982855.0,46884946.0,48092210.0,49235425.0,53477184.0,53848168.0,58318343.0,64146038.0,69487997.0,72478708.0,79071616.0,78994431.0,86679130.0,103647682.0,120231730.0,133703712.0,151199986.0,168159153.0,175764356.0,154519008.5,177368823.1,178927637.9,179384920.7,187505935.9,201350720.9,232242107.9,268718602.2,277504706.8,289293739.7,280705644.4,297752715.2,299110673.6,292756561.3,307709846.2,308613448.9,317280569.3,,,,
income tax liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10532.0,79910.0,73541.0,23208.0,,97068.0,30404.0,,,185800.0,245168.0,399483.0,9998.0,,,978664.385,458776.755,1064297.894,763019.78,991747.504,1638305.154,814562.814,535898.224,342661.76,336889.823,683623.511,557548.649,563836.146,267772.251,934773.495,720302.969,328856.165,,,,
other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,1586173.0,2216796.0,2292676.0,887932.0,792622.0,1241260.0,1165027.0,1197460.0,991073.0,1231086.0,1405960.0,1257456.0,1180586.0,1218598.0,1191679.0,1465779.0,1357690.0,1325869.0,3133240.0,3701160.0,5203555.0,7938809.0,9132568.0,16631808.57,2103741.38,2406275.955,2562693.033,2626692.148,7071166.733,5006997.066,5958290.758,6503372.499,5777781.152,6412507.417,4792985.783,5108065.301,7468232.689,6226921.292,7765355.439,7019447.002,,,,
total assets,,,,,,,,,,,,,,,,,,,,,,,,,46536111.0,45624131.0,46522703.0,46473372.0,51478358.0,56103500.0,54990884.0,56380675.0,60544295.0,61392139.0,67698690.0,74385018.0,80467817.0,84701623.0,90811305.0,90383469.0,99221217.0,120468658.0,139956962.0,152371504.0,171921113.0,195900532.0,213611661.0,230108527.2,220181542.6,227005143.6,227418995.7,237259892.0,256850893.0,293034013.2,327687607.7,355182218.3,361961849.7,397141745.4,368126643.8,370682440.8,380973673.3,381155876.9,379269317.2,384275926.7,,,,
loan and advancements,,,,,,,,,,,,,,,,,,,,,,,,,31559547.0,31803134.0,31838530.0,33292198.0,36311344.0,37464735.0,39405371.0,41763516.0,42166475.0,44244089.0,46271552.0,52498344.0,58457110.0,61014317.0,66422745.0,67254521.0,71583360.0,86741927.0,102222495.0,109031406.0,120666391.0,139264589.0,149303944.0,151026106.9,152482469.4,165853080.7,167708609.0,180239365.0,178216032.3,207165192.4,237482168.5,271463653.2,275147984.1,295465322.1,292797009.8,294070383.3,285140292.9,291087840.0,284574060.8,292934212.7,,,,
interest income,,,,,,,,,,,,,,,,,,,,,,,,,4205190.0,999763.0,2004802.0,2957913.0,3995005.0,972242.0,815028.0,1222529.0,3917792.0,1025608.0,2073755.0,3163693.0,4421136.0,560074.0,1153847.0,1847886.0,6905855.0,599385.0,5559338.0,9104388.0,13261944.0,4814449.0,9656182.0,5040440.924,5124766.984,5319195.443,5200737.652,5357679.873,5646942.771,5376821.894,5683925.493,7051638.561,7400029.941,7946364.898,8601469.331,9269599.475,10530466.94,10666651.49,10145149.85,10022647.65,,,,
interest expense,,,,,,,,,,,,,,,,,,,,,,,,,2435916.0,598901.0,1148077.0,1648682.0,2196783.0,564454.0,1123473.0,1679044.0,2340288.0,652456.0,1232626.0,1786999.0,2444176.0,706292.0,1542056.0,2818096.0,4357559.0,1909469.0,4008135.0,6433992.0,9335099.0,2951662.0,6048565.0,3231359.288,3298879.751,3353944.024,3281268.343,3450657.916,3312680.141,3214196.994,3490945.418,3866560.788,4349689.49,4799127.62,5690320.737,5909253.309,6617619.629,6960791.677,6977331.156,6866512.809,,,,
