Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,426016.43,2245746.0,298267.29,312339.4,413142.84,580754.16,600390.18,412337.85,638526.67,730312.43,851834.77,687179.46,874895.41,1083556.5,1166271.99,838998.12,1030336.93,1278153.0,1502944.01,1096743.76,1337035.56,1755758.43,2006816.57,2437366.33,1910438.78,3126014.6,3459058.34,2116952.68,2660399.22,3292953.55,3976041.0,4221208.0,2333806.383,2609448.248,3209062.858,3196731.253,5450805.019,4795693.61,5466544.058,4947637.361,5063710.291,5064437.456,5761269.167,5952291.602,6491889.458,6506955.386,7712419.041,8359026.209,8896729.577,,,,
debenture and bond,,,,,,,,,,,,,,,,,534747.75,,,,,600390.18,131400.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,1395320.0,213120.0,141920.0,541600.0,541600.0,22050.0,152210.95,24395708.97,87200.0,220348.78,,,,,,,,,41402732.18,,,9000.0,,,,,1946440.76,2016433.06,760834.11,1269890.14,1602223.0,1466751.0,,,,,,,,,,,,,,,,1302500.0,1310000.0,,,,
deposits,,,,,,,,,,,,,,,,17869530.44,18938902.91,20186573.41,21154505.01,21134649.6,23990951.63,23206986.33,23947759.12,25669944.06,28814138.28,26257981.14,26946730.43,30514468.11,34063198.54,34332436.25,36928985.2,38159616.05,41014582.91,78938.14,42306181.93,46278908.56,48353057.96,52418088.84,55006021.38,56107652.69,65865251.32,68597356.08,71060891.26,74200724.56,81312968.94,76336823.0,76727057.0,68657820.25,77040074.37,78594931.55,80353534.96,114733185.4,119441613.6,124508448.7,130995217.7,140520318.9,154149965.4,159229251.1,158930952.5,156027918.1,160203350.8,158983689.2,164464758.3,166391725.1,,,,
income tax liability,,,,,,,,,,,,,,,,111978.83,11072.11,24554.86,30134.75,73336.1,147478.67,38498.17,69350.87,166287.58,205624.34,53031.94,132919.98,181588.96,271017.31,69273.02,155187.05,237189.4,343396.28,94542.0,201095.17,304077.37,483530.03,107596.34,239878.97,378411.75,682543.78,146464.5,305582.15,530827.29,801629.52,,,,,,,335766.043,,,17531.253,38070.651,49368.548,151675.323,,,,101810.117,,,,,,
other liabilities,,,,,,,,,,,,,,,,153825.83,144681.67,614140.75,378405.2,313033.63,525582.82,322619.83,204000.64,358329.32,236420.58,644704.52,681700.91,546863.13,457928.54,458918.04,505088.81,645116.07,511345.6,958188.83,513458.88,405382.79,391735.37,470396.24,354091.25,1825260.86,2064405.41,788057.79,799224.77,710527.79,1057350.24,1805705.0,1144331.0,1145237.568,1319704.544,1486569.699,1277058.891,1688823.077,1760627.693,1364080.305,1620993.635,1840200.843,1584870.159,2023037.916,1452491.795,839054.357,2180045.807,2303934.887,2976883.515,3247792.873,,,,
total assets,,,,,,,,,,,,,,,,22202417.53,22088270.45,23511202.31,24663130.46,24721508.21,27512564.28,26566451.46,27553203.61,29260692.91,32547249.69,30147957.66,31022976.59,34396515.41,38514400.69,38665599.1,41568312.22,43212311.21,46287530.56,47098459.79,47822742.0,52030666.54,54698344.05,58708160.25,62977708.12,66014324.09,78063647.29,81262809.65,84332382.79,86896611.84,95768091.25,91754091.0,91592646.0,91378678.0,102426299.0,106883380.2,109656188.9,149450348.3,152219666.4,155684796.8,162283937.4,173815268.9,190550902.4,196985480.1,201867671.9,201902625.0,209735912.0,207037276.6,212167287.0,213654363.8,,,,
loan and advancements,,,,,,,,,,,,,,,,17162980.41,16870756.15,17343198.7,18501455.18,18821506.47,19036777.82,20208418.07,20392829.31,21391528.11,21215604.15,21879678.83,23323935.85,25388069.16,27231857.12,28317816.7,30202196.89,31137627.49,32701293.87,32826351.08,34118584.02,37071069.77,40289291.87,42341117.14,46052452.56,48611482.7,57710189.8,59031390.73,62601268.57,66535632.54,69709602.17,72332717.0,72604017.0,72868686.82,75531238.91,82174381.1,84181670.81,115739626.7,114577174.7,117958272.5,124305943.7,133884117.1,141474367.7,149906352.0,176395028.7,161615003.1,154839715.3,154734040.7,156551081.3,158765536.8,,,,
interest income,,,,,,,,,,,,,,,,1770493.47,2472847.04,642213.4,1324791.31,1990041.84,2769165.34,643073.18,1344721.24,2025635.51,2786218.4,660558.27,1394482.34,2067518.43,2871084.16,757325.25,1513721.17,2261275.83,3251873.38,836080.92,1698128.69,2555106.98,3556635.23,948680.5,2049552.26,3418037.69,5208608.68,1862369.91,3847259.04,5987446.06,8455885.02,2480531.0,4819231.0,2389804.253,2624810.767,2719806.129,2768747.462,3130683.67,3591183.965,3540385.697,3320221.937,3411628.058,3740498.752,3895155.564,4246272.396,4984320.231,5391175.792,5713242.784,5584831.287,5943054.611,,,,
interest expense,,,,,,,,,,,,,,,,1297053.96,1366045.94,508187.64,1010917.16,1519921.57,2057204.86,454603.88,856799.3,1265468.03,1744271.2,483368.37,906527.95,1335073.07,1811203.22,426715.85,861785.12,1311176.41,1854852.16,528753.19,1004250.64,1439639.18,1968130.4,568429.47,1241394.41,2102491.46,3304226.37,1410775.21,2804743.66,4293059.33,5893775.41,1510242.0,3047028.0,1560477.127,1628516.069,1659301.021,1664642.534,1954436.038,2314230.862,1989549.064,1956007.836,1920257.591,2194808.941,2493268.804,2883933.316,3113409.154,3546875.421,3827914.747,3933109.372,4007531.393,,,,
net interest income,,,,,,,,,,,,,,,,473439.51,692383.72,134025.76,313874.05,470120.27,711960.49,188469.3,487921.94,760167.48,1041947.2,177189.9,487954.39,732445.36,1059880.94,330609.4,651936.05,950099.42,1397021.22,307327.73,693878.05,1115467.8,1588504.83,380251.03,808157.85,1315546.23,1904382.31,451594.7,1042515.38,1694386.73,2562109.61,970289.0,1772203.0,829327.127,996294.698,1060505.108,1104104.928,1176247.632,1276953.103,1550836.633,1364214.101,1491370.467,1545689.811,1401886.76,1362339.079,1870911.076,1844300.371,1885328.037,1651721.915,1935523.218,,,,
net fee and commission income,,,,,,,,,,,,,,,,37982.33,46310.33,12812.21,28251.77,36965.81,54490.27,32281.71,45108.27,60986.11,80114.64,9915.55,26074.8,45274.7,71656.47,25055.21,51718.87,83726.65,147394.64,32901.98,63095.24,98697.38,200687.24,56186.89,115682.15,216196.48,362005.41,130958.97,243634.12,375155.67,475753.0,322705.0,456393.0,130897.829,124513.264,437847.505,146680.858,97642.736,150718.36,593294.709,206041.086,236369.668,264026.542,381825.927,243653.371,222822.525,164791.879,369955.273,189550.553,233930.037,,,,
