Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,,,,,,,,,,,,,,,,,,145690.0,169610.0,210513.0,277678.0,188328.0,262497.0,354635.0,455391.0,548626.0,661221.0,716457.0,522510.0,617535.0,721719.0,798507.0,935658.0,548728.0,794880.0,1019097.0,2169414.0,1096387.0,1452980.0,2035151.0,2337663.0,1755301.0,2131425.0,2489443.0,3083646.0,3775586.0,4135712.0,2433633.939,2596726.528,2949338.021,2938653.839,3546975.944,3477445.569,4072528.031,3860545.499,3786198.835,3628478.89,4671240.143,4553298.319,4755060.432,5093323.294,6646607.356,7078171.014,7606935.924,,,,
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrowings,,,,,,,,,,,,,,,,,,39100.0,82200.0,,,,,,,,,,,,1300000.0,6321.0,,,80000.0,100000.0,,,80000.0,,,,85703.0,986920.0,523733.0,524620.0,624696.0,,,,,1213500,1202500,30000.0,32500.0,1500.0,10000.0,11500.0,5500.0,26000.0,2462580.0,115830.0,68640.0,1218480.0,,,,
deposits,,,,,,,,,,,,,,,,,,15524374.0,16446028.0,17655939.0,18756490.0,20582722.0,22157741.0,22170577.0,23270617.0,26010545.0,25329557.0,26093309.0,26616403.0,27724468.0,29210859.0,29843111.0,33486669.0,35263661.0,37224577.0,41282795.0,51650280.0,54083006.0,57300456.0,57779907.0,60936564.0,60427816.0,63165199.0,65067969.0,67986527.0,74128689.0,74831187.0,71915609.98,75212384.16,77314600.17,81561208.42,86064387.25,89837680.31,91326441.12,92122717.9,100790520.7,105556182.8,128016262.2,128865055.3,127942188.6,131247879.3,125195265.1,131311508.5,131534577.4,,,,
income tax liability,,,,,,,,,,,,,,,,,,,16521.0,34051.0,63980.0,19261.0,54126.0,93614.0,137358.0,39958.0,88213.0,116887.0,132006.0,40878.0,111911.0,144820.0,191493.0,50486.0,155981.0,252073.0,410538.0,108479.0,261304.0,370786.0,412041.0,89115.0,254479.0,408766.0,570495.0,,,#VALUE!,#VALUE!,106730.804,#VALUE!,#VALUE!,#VALUE!,95959.302,133217.516,160827.952,154562.706,199289.808,167893.97,170071.35,29977.99,8816.279,18055.458,9292.031,,,,
other liabilities,,,,,,,,,,,,,,,,,,377175.0,367443.0,324931.0,270675.0,529868.0,408665.0,339496.0,395924.0,601467.0,576807.0,574539.0,352906.0,534237.0,386181.0,1131339.0,534356.0,835609.0,821902.0,722064.0,764972.0,1867084.0,1628877.0,2015019.0,2303902.0,5974289.0,2258072.0,2189759.0,2346040.0,7111803.0,4592328.0,1376004.507,1441094.879,1587583.322,1721479.25,1666641.545,2274104.336,1987093.901,1979309.409,2312431.024,2863977.651,2453156.339,2182238.297,2252126.778,3047226.341,3511504.756,3620967.724,3255343.858,,,,
total assets,,,,,,,,,,,,,,,,,,18101339.0,19096803.0,20240433.0,21383823.0,23335180.0,24898029.0,24973322.0,26274289.0,29215595.0,28670798.0,29516192.0,29860475.0,31266546.0,34113877.0,34314145.0,37591864.0,39687767.0,42298037.0,46712510.0,58971251.0,62456352.0,65945012.0,68234362.0,73145837.0,76431039.0,76074691.0,79326209.0,84038174.0,93748512.0,92387405.0,91682188.48,94764894.94,98485884.93,103559254.9,110316575.4,116858904.2,120396994.9,121464694.7,133194462.1,137917355.1,158023735.1,166698385.4,160650898.0,169330156.7,165650613.5,165701640.2,163113714.0,,,,
loan and advancements,,,,,,,,,,,,,,,,,,12445520.0,13126762.0,14002985.0,14380599.0,16955638.0,17257301.0,17790267.0,17730592.0,20569760.0,20129919.0,20132179.0,20030432.0,21522355.0,23353006.0,24463699.0,26381079.0,28199694.0,30105626.0,33774421.0,42865019.0,46451497.0,49223675.0,50866104.0,51730919.0,54491770.0,56241791.0,57943765.0,60545839.0,66593455.0,67753770.0,69857861.08,70028163.11,73815314.04,77086061.04,82860637.63,83435440.71,87440333.03,88989379.46,95704115.82,102400012.1,117935784.8,124520518.5,124830686.4,123128719.6,122202761.9,121492150.3,122072652.6,,,,
interest income,,,,,,,,,,,,,,,,,,489042.0,879355.0,1393233.0,1985331.0,475580.0,1014540.0,1567784.0,2240203.0,592116.0,1225014.0,1803951.0,2423847.0,541987.0,1147972.0,1739462.0,2402657.0,689738.0,1446717.0,2198173.0,3095549.0,1059793.0,2253853.0,3620648.0,5323149.0,2089294.0,3575501.0,5417325.0,7573098.0,2202284.0,4520171.0,2319646.404,2409443.849,2560759.321,2419276.795,2562003.157,2521211.755,2383773.219,2189884.584,2065618.442,2339585.321,2660664.503,3182234.572,3760529.579,4414071.725,4476356.47,4577158.368,4365646.803,,,,
interest expense,,,,,,,,,,,,,,,,,,319074.0,661173.0,1030725.0,1410696.0,315045.0,619311.0,923908.0,1251304.0,369859.0,703475.0,1015004.0,1328712.0,306461.0,595348.0,909579.0,1296357.0,409073.0,798726.0,1177626.0,1591977.0,544135.0,1150673.0,1993220.0,3107907.0,1163849.0,2284711.0,3467675.0,4758259.0,1365199.0,2759201.0,1391537.99,1448407.25,1451479.422,1462890.393,1608335.053,1630325.131,1450383.755,1294082.093,1303803.665,1381913.94,1728454.289,2267473.183,2528753.08,2876572.982,3030021.015,3084881.061,3071231.961,,,,
