Particulars, Q1 2068, Q3 2068, Q1 2070, Q4 2070, Q3 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q2 2073.PDF
Interest income,,,"762,350",,,3.13.2,"247,251",,"1,439,189","2,106,548",,"1,439,189","2,788,216","2,050,562","1,501,292","2,264,671","9,123,885","5,481,040",,,,,,,,,,,,,,,,,,
Interest expense,,,,,,,,,,,,"1,344,340",,"1,372,525",,,"6,000,116","3,365,508",,,"2,075,836",,"2,355,137","2,404,390","2,191,480",,,,,"3,021,594","3,470,879","4,023,750","4,373,563",,,
Net interest income,"439,090",,"762,350",,,3.13.2,"247,251",,"1,439,189","2,106,548",,"1,439,189","2,788,216","678,036","1,501,292","2,264,671","3,123,769","2,115,532",,,,,,,,,,,,,,,,,,
Fee and commission income,,,,,,,,,,,,,,,,,"495,946","274,062",,,"252,317",,"222,647","149,012","381,623",,,,,"390,056","472,437",,,,,
Fee and commission expense,,,,,,,,,,,,,,,,,"62,708","41,260",,,,,,,,,,,,,,,,,,
Net fee and commission income,,,,,,,,,,,,,,,,,,,,,"252,317",,"222,647","149,012","381,623",,,,,"390,056","472,437",,,,,
"Net interest, fee and commission income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,819,993","2,307,277",,,,,
Net trading income,,,,,,,,,,,,,,,,,,,,,"109,299",,"123,742","67,007","77,705",,,,,"72,578","59,249","43,743","65,667",,,
Other operating income,,,,,"80,052,",,"33,067",,"165,523","225,825","146,222","236,332","288,030","91,832","197,301","358,427","785,458","567,649",,,,,,,,,,,,,,,,,,
Total operating income,,"280,563",,"808,437",,,,,"1,879,766","1,879,766",,"2,483,942","3,425,349","997,125","2,125,006","3,212,241","4,342,465","2,915,983",,,"1,733,301",,"2,052,702","1,594,818","1,979,131",,,,,"2,053,095","2,413,263","2,539,551","2,894,594",,,
Impairment charge/(reversal) for loans and other losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,449","104,630",,,,,
Net operating income,,,,,,,,,,,,,,,,,"492,406","2,802,280",,,"1,107,358",,"1,216,447","1,397,779","1,962,393",,,,,"2,016,646","2,517,893","2,761,666","2,452,075",,,
Operating expense,,,"192,659",,,"288,112","64,415",,"324,234","480,266","305,789","485,941","712,032","169,674","368,724","572,344","791,969","438,931",,,,,,,,,,,,,,,,,,
Personnel expenses,,,,,,,,,,,,,,,,,"1,158,626","758,051",,,"474,074",,"466,674","447,607","556,714",,,,,"643,076","699,803","735,521","752,631",,,
Other operating expenses,,,"192,659",,,"288,112","64,415",,"324,234","480,266","305,789","485,941","712,032","169,674","368,724","572,344","791,969","438,931",,,"182,749",,"272,708","271,122","213,657",,,,,"270,608","282,944","412,343",,,,"162,533"
Depreciation & Amortisation,,,,,,,,,,,,,,,,,,,,,"50,040",,"65,858","66,467","66,531",,,,,"67,915","78,778","96,245",,,,
Operating Profit,,,,,,"769,149","821,840","499,","678,389","1,166,981",,,,"599,765","1,319,723","1,977,755",,,,,,,,,,,,,,,,,,,,
Non-operating income,44473,,368,,,,"15,470",19.273,"31,914","54,556","53,192","48,013","57,798",839,"104,472","106,872","119,617",,,,,,,,"2076,",,,,,,,,,,,
Profit before income tax,,,,,,,,,,,,,,,,,,,,,"986,885",,"400,551","608,460","1,118,796",,,,,"1,036,104",,"1,472,089",,,,
Income tax expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,989",,,
Current Tax,,,,,,,,,,,,,,,,,,,,,,,"29,940","56,070","61,458",,,,,"1,695","57,966","99,226",,,,
Deferred Tax,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,31,30,,"30,","31,","30,",,,,,"30,","30,",",",",",,,
Profit for the period,,,,,,,,,,,,,,,,,,,,31,30,,"30,","31,","30,",,,,,"30,","30,",",",",",,,
Earnings per share,,,,,,,,,,,,,,,"26,,",26,,,,,,,,,,,,,,,,,,,,
Basic earnings per share,,,,,,,,,,,,,,,,,,,,,33.72,,19.58,17.63,21.50,,,,,19.64,20.31,21.14,20.34,,,
Diluted earnings per share,,,,,,,,,,,,,,,,,,,,,33.72,,19.58,17.63,21.50,,,,,19.64,20.31,21.14,20.34,,,
Equity holders of the Bank,,,,,,,,,,,,,,,,,,,,,"852,224",,"236,290","438,203","779,990",,,,,"728,710","1,031,845","1,137,184","857,647",,,
Non-controlling interest,,,,,,,,,,,"10,151",,,"4,339",,,"149,960","126,921",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",
Profit for the period,,,,,,,,,,,,,,,,,,,,31,30,,"30,","31,","30,",,,,,"30,","30,",",",",",,,
