Assets, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q2 2073, Q3 2073, Q4 2073, Q2 2074, Q1 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2074.PDF
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,"20,445,916,102","20,200,055,268","13,864,942,030",",","12,529,881,230","12,661,266,837","19,396,125,649","17,703,176,456","25,751,151,869","28,446,273,848","39,401,025,607","22,697,579,112","10,993,488,170","32,029,869,045",3,2,2,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,"13,441,144,297","16,097,915,246","10,075,620,979",,"6,899,221,455","18,721,482,611","22,013,200,732","28,377,184,020","12,091,979,926","9,072,897,671","17,854,280,963","8,255,716,067","9,380,482,072","12,521,711,192",1,1,1,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,"5,333,140,000",,"3,368,981,398","383,950,000",,,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,"7,941,518,934",,"7,083,198,253","5,636,246,706","4,492,254,280","4,712,487,440","5,170,173,600",,,,"586,999,840","5,359,380,480",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,"60,875","26,552,467","37,467,994",,"25,019,198","177,251,810","9,440,000","12,929,668","312,846,947","12,815,074","10,511,704","7,851,704","6,711,704","162,822,000",1,"1,920,000",1,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,"7,235,556,729",,"11,751,163,408","11,070,985,723","9,649,875,259","7,693,341,400","7,935,947,101",,,,"13,394,059,140","10,849,444,435",,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,1,"147,059,184,288",1,50,"168,488,201,614","167,145,046,556","197,515,317,109","229,788,827,149","263,527,706,132","265,080,442,297","286,373,523,533","284,057,143,086","280,676,324,117","274,290,848,447",2,2,2,
Investment securities,,,,,,,,,,,,,,,,,,,,,1,,"20,706,386,240","29,544,449,034","31,008,470,963","28,885,754,777","29,259,635,080",,,,"46,828,619,944","39,834,507,956",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,"3,345,414,141",,,,"74,193,649","4,963,423,066","3,615,237,180","3,628,089,180","28,297,575","277,536,859","296,218,884","296,218,884","296,218,884","8,931,004","8,931,004","135,460,759","135,460,759",
Investment in subsidiaries,,,,,,,,,,,,,,,,,,690000.0,,,,,"1,264,500,000","1,264,500,000","1,264,500,000","1,264,500,000","1,264,500,000",,,,"1,264,500,000","1,264,500,000",,,,
Investment property,,,,,,,,,,,,,,,,,,,,,"317,898,112",,"436,987,108","496,064,382","824,215,484","1,076,080,229","1,302,234,855",,,,"982,891,295","722,531,322",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,"2,354,675,862","2,620,458,235","2,837,477,722",",","3,027,191,885","3,272,187,181","3,202,693,486","3,135,194,426","3,172,190,084","3,172,498,089","3,168,767,132","3,109,226,597","3,117,494,895","3,200,832,990",3,3,3,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,"112,253,345",,"114,943,929","115,836,335","109,798,581","99,510,873","102,222,735",,,,"121,576,572","172,472,618",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,"234,898",,,,"3,232,381",,,,,,,,,,,,,
Other assets,"2,007,048",2,2,1,"974,925",1,"1,063,787","1,337,095","1,011,602",8,"1,225,509",9,"1,169,277","1,500,169","1,392,506","2,903,909",,,,,"2,309,071,172",,"2,751,290,296","3,046,652,775","4,812,621,612","6,203,121,252","6,527,832,440","5,590,028,795","5,160,633,749","4,441,133,262","4,593,793,051","7,179,702,306",8,"9,335,555,633","9,207,880,260","1,356,603"
