Particulars, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q2 2074, Q1 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2074.PDF
Total Capital and Liabilities ( 1.1 to 1.7),"46,536,111",4,4,4,5,5,"54,990,884","56,380,675","60,544,295",6,"67,698,690",7,,"84,701,623","90,811,305","90,383,469","120,468,658","71,921,113","213,611,661",,,,,,,,,,,,,,,,,,"99,221,217"
Reserve and Surplus,,,,,,,"2,575,362","2,789,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,"500,000","500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,"1,289,592,202",,,,,,,,,,,,,",",",",,",",
Deposits,,,,,,,,,,,,,,,,,,,,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",,",",
Domestic Currency,"38,791,852",3,3,3,4,4,"46,697,708","47,935,495","52,181,479",5,"55,663,424",6,,"70,835,152","76,914,599","77,300,686","102,006,689",,,,,,,,,,,,,,,,,,,,"85,270,229"
Foreign Currency,"1,116,923",1,1,1,,1,,,,,,,,,,"1,693,746",,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,3,,,,,,,1,7,"73,541",2,,"97,068","30,404","30,404","185,800",,,,,,,,,,,,,,,,,,,,
Other Liabilities,"1,586,173",2,2,8,"792,622",1,"1,165,027","1,197,460","991,073",1,"1,405,960",1,,"1,218,598","1,191,679","1,465,779","1,325,869",,,"14,621,047,657",,,,,,,,,,,,,,,"711,902,915",,"1,357,690"
Investments,,,,,,,,,,,,,,,,,,,,"786,672,055",",",",",",",",",",",",",",",",",,,",",",",",",",",2,",",
Loans and Advances ,"31,559,547",3,3,3,3,3,,,"42,166,475",4,"46,271,552",5,,"61,014,317","66,422,745","67,254,521","86,741,927",,,"30,098,185,584",,,,,,,,,,,,,,,,,"71,583,360"
Real Estate Loan,"3,627,212",2,2,2,2,2,,,,2,"2,550,367",2,,,,"3,381,765","4,185,492",,,,,,,,,,,,,,,,,,,,"3,708,648"
Residential Real Estate Loan,,"256,320","455,978","490,463","583,531","537,308",,,"742,811","788,064","833,454","903,623",,,,,,,,,,,,,,,,,,,,,,,,,"2,051,257"
Business Complex & Residential Apartment Construction Loan,"1,089,416","481,088","904,883","910,688","919,709","852,262",,,"281,501","341,090","212,994","226,287",,,,,,,,,,,,,,,,,,,,,,,,,"173,746"
Other Real Estate Loan (Including Land purchase & Plotting),"1,658,117","1,884,425","884,027","1,173,924","1,295,866","1,274,878",,,"1,510,673","1,317,931","1,328,998","1,211,109",,,,,,,,,,,,,,,,,,,,,,,,,"1,288,072"
Margin Type Loan,"172,314",1,2,8,1,2,,,,,,,,,,"2,271,346",,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,,,,,,"8,356,892,005",,,,,,,,,,,,,,,1,,
-,,,,,,,,,,,,,,,,,,,,"8,795",,,,,,,,,,,,,,,0.84%,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,"1,648,306",,,,,,,,,,,,,,,,,,,
Interest Expense,"2,435,916",5,1,1,2,5,,,"2,340,288",6,"1,232,626",1,,"706,292",,"2,818,096","1,909,469",,,,,,,,,,,,,,,,,,,,"4,357,559"
Net Interest Income ( 3.1-3.2),"1,769,274","400,862",8,1,"1,798,223","407,788","815,028","1,222,529","1,577,504","373,152","841,129",1,,"560,074","1,153,847","1,847,886","599,385",977,,,,,,,,,,,,,,,,,,,"2,548,296"
Other Operating Income,"119,735",1,"32,613",1,"195,445",6,"131,543","202,178","266,713",6,"129,433",2,,"105,436","243,833","400,183","179,020",,"204,364",,,,,,,,,,,,,,,,,,"574,201"
Foreign Exchange Gain/Loss,"128,012",1,"61,001","96,022","131,966",2,,,"126,403",4,"78,802",1,,"48,579","88,740","136,169","71,286","225,041",,,,,,,,,,,,,,,,,,,"184,896"
Total Operating Income,"2,187,747",4,1,1,2,5,"1,063,639","1,612,274","2,102,243",5,"1,120,238",1,,"745,281","1,562,342","2,489,894","901,844","5,118,636",,,,,,,,,,,,,,,,,,,"3,455,133"
Other Operating Expenses,"423,412",8,1,2,"383,982",9,"203,822","316,728","449,456",1,"218,385",3,"507,843","131,377","288,930","477,227","140,768",547.051,"645,430",,,,,,,,,,,,,,,,,,"753,431"
Operating Profit before provision,"1,407,892",2,7,1,1,3,"655,258","989,237","1,231,010",2,"669,268",1,,"416,455","897,536","1,427,109","537,875","2,181,699",,,,,,,,,,,,,,,,,,,"1,849,975"
Non Operating Income/Expenses,"9,133",4,"3,100","8,737","7,353",1,,,1,3,"4,891",8,"22,882","32,397","55,060","25,455","19,895",,,,,,,,,,,,,,,,,,,,"33,489"
Write back of provision for possible loss,"28,056",1,"78,983",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,"974,263",2,6,9,1,2,"566,680","904,871","1,089,588",2,"795,649",1,",","409,415","1,147,146","1,748,096","437,174",,,,,,,,,,,,,,,,,,,,"2,160,048"
Extra Ordinary Income/Expenses,,,,,,,,,,3,,,,,,,"107,764",,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,"974,263",2,6,9,1,2,,,"1,092,627",2,"788,953",1,"1,694,142","410,215","1,133,634","1,789,476","437,174","71,460",,,,,,,,,,,,,,,,,,,"2,311,878"
Provision for Staff Bonus,"88,569",2,"55,051","89,616","118,134",2,"51,516","82,108",9,2,"71,723",1,"154,013","37,292","103,058","162,680","39,813",,,,,,,,,,,,,,,,,,,,"210,171"
Net Profit/Loss ,"619,986",,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,2.41%,2.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.55%,,
Net Interest Spread,3.81%,3.68%,4.20%,4.37%,,3.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,76.16%,78.71%,,,,,,,,,,,,,,,,85.12%,,
Earning Per Share(Annualized),,,,36.18%,35.24,26.69,27.13,28.83,2,23.68,27.18,2,,17.9,24.8,26.06,13.47,,,,,,,,,,,,,,,,,,,,22
Return on Equity(Annualized),12.77%,10.83%,13.78%,16.68%,15.66%,12.27%,,,,,,,,,,18.7%,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19%,,
