Particulars, Q2 2071, Q3 2071, Q2 2072, Q3 2072, Q3 2073, Q1 2074, Q2 2074, Q4 2074, Q1 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Capital Fund to RWA,10.27%,1,,10.55%,,11.05%,11.02%,72.48%,12.66%,,,,,,,,,,,,,,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,3.32%,3.12%,2.95%,,,,,,1.61%,1.23%,1.21%,1.20%,1.68%,1.98%,3.48%
Total Loan Loss Provision to Total NPL,85.85%,91.25%,,,,94.14%,89.06%,,92.81%,,,,,,,,,,,,,,,,,
Cost of Funds,4.23%,3.98%,,366%,,,,,,6.18%,6.16%,6.15%,6.29%,6.18%,6.06%,4.89%,5.01%,4.96%,4.70%,5.23%,6.16%,6.77%,6.44%,7.58%,8.60%,8.40%
Credit to Deposit Ratio,70.24%,76.97%,,,,71.10%,75.05%,,69.00%,75.82%,74.25%,77.81%,74.70%,73.74%,66.96%,72.79%,66.43%,74.42%,73.21%,82.64%,81.90%,82.11%,78.35%,84.32%,88.30%,84.80%
Base Rate,8.22%,7.79%,703%,6.60%,63%,10.51%,9.80%,97%,10.62%,9.16%,9.36%,9.24%,9.45%,8.98%,8.32%,7.39%,7.24%,7.06%,6.88%,7.63%,8.68%,9.29%,9.24%,10.51%,11.44%,11.07%
Interest Rate Spread,,,,,,,,,,4.88%,4.70%,5.15%,4.83%,5.32%,3.57%,4.37%,3.64%,3.50%,3.65%,3.38%,3.27%,3.87%,4.32%,3.98%,4.34%,5.16%
Return on Total Assets ,,,,,,,,,1.17%,,,,,,,,,,,,,,,,,
Return on Equity ,4.19%,15.95%,,,,,11.54%,,9.69%,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,158.45,143.54,149.41,156.16,162.22,140.12,
