Particulars, Q2 2071, Q3 2071, Q1 2074, Q2 2074, Q1 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest received,,,,,,"568,026,544","269,429","258,984","258,984","372,393","764,781","260,151","516,448","834,100","1,205,109","416,646","837,683","1,365,591","2,070,439","853,045","1,408,666","2,161,135"
Fees and other income received,,,,,,"548,243,083","742,479","268,465","490,086","653,561","936,310","346,210","640,023","936,123","1,265,818","445,930","775,902","1,056,310","1,558,358","502,579","829,363","1,471,516"
Dividend received,,,,,,"20,302,738","23,064","1,170","1,170","25,602","16,131","15,348","16,464","29,455","29,455","8,249","7,610","22,334","22,349","29,777","73,382","71,906"
Receipts from other operating activities,,,,,,"109,476,874","560,555","164,494","329,982","485,588","444,853","456,308","1,127,872","1,651,630","1,606,114","5,004","184,380","214,750","216,039","10,422","288,077","47,031"
Commission and fees paid,,,,,,"50,385,129","74,401","25,149","48,582","70,001","105,843","27,695","58,048","115,337","190,514","20,021","51,219","97,011","181,014","35,049","48,177","121,876"
Cash payment to employees,,,,,,"888,505,877","1,398,229","571,285","1,007,434","1,542,216","2,103,403","472,627","908,624","1,331,292","1,792,891","521,912","942,196","1,386,462","1,898,588","558,585","1,016,651","2,516,605"
Other expense paid,,,,,,"615,114,388","1,001,627","174,495","437,220","695,325","1,238,156","181,864","491,855","790,772","1,197,926","242,637","522,639","827,832","1,329,393","285,762","591,223","965,664"
Due from Nepal Rastra Bank,,,,,,"925,156,556","496,525","2,838,567","1,947,744","651,280","11,997,110","5,360,456","3,173,380","7,182,080","4,231,566","5,213,740","3,248,790","1,979,023","2,449,738","5,007,848","2,605,336","1,002,540"
Placement with bank and financial institutions,,,,,,"2,170,410,511","2,180,411","35,000","35,000","35,000","769,053",,"265,000","335,000","330,000","330,000","355,750","583,549","340,454","255,296","454,299","454,299"
Other trading assets,,,,,,"3,797,486","91,923","76,731","72,523","121,656","442,643","203,631","212,810","305,780","237,857","45,209","744,288","947,359","985,606","197,489","180,510","193,392"
Loan and advances to bank and financial institutions,,,,,,"585,454,560","750,043","163,879","150,022","357,626","34,268","957,824",,,"3,487,145","1,070,629","93,866","432,683","749,353","736,367","844,612","1,324,931"
