Particulars, Q3 2068, Q2 2069, Q3 2069, Q4 2069, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest received,,,,,,,,,,,,,,,,,,,,,,,"8,042,008,074","11,320,007,255","2,857,806,361","5,700,911,090","11,300,485,855","2,398,994,076","4,534,586,408","6,629,309,257","8,908,061,569","2,414,227,498","5,118,495,582","8,372,031,637","12,155,845,837","3,969,271,725","8,224,763,038","12,810,956,227"
Fees and other income received,,,,,,,,,,,,,,,,,,,,,,,"716,793,873","1,314,993,881","248,010,805","690,035,042","1,179,892,732","291,258,472","630,447,605","1,061,433,808","1,421,163,766","400,911,707","879,624,422","1,258,188,431","1,635,515,094","411,537,730","826,836,344","1,212,789,809"
Dividend received,,,,,,,,,,,,,,,,,,,,,,,"3,036,598","4,786,451",,,"4,723,451",,,,,,,,,,,
Receipts from other operating activities,,,,,,,,,,,,,,,,,,,,,,,"302,709,772","215,427,518","86,018,515",7,"25,316,626","4,041,986","11,578,785","17,618,029","20,401,612","9,733,840","12,237,666","21,584,524","8,304,555","394,140","4,247,592","5,536,366"
Interest paid,,,,,,,,,,,,,,,,,,,,,,,"4,797,753,407","6,551,844,005","1,816,635,882","3,555,430,101","7,208,663,813","1,777,390,429","3,193,678,693","4,430,934,182","5,815,652,054","1,489,509,702","3,244,234,285","5,284,487,953","7,655,123,765","2,546,638,266","5,297,522,175","8,300,552,993"
Commission and fees paid,,,,,,,,,,,,,,,,,,,,,,,"55,732,658","119,625,851","27,014,788","60,648,073",,"27,014,788","46,025,089","72,526,243","81,516,439","26,564,459","45,009,681","83,372,678","75,838,475","23,168,009","43,537,042","72,340,078"
Cash payment to employees,,,,,,,,,,,,,,,,,,,,,,,"1,124,871,018","1,667,423,744","434,796,317","799,468,072","1,543,583,712","399,847,011","736,666,814","1,108,964,637","1,480,160,986","399,527,746","811,824,505","1,215,696,428","1,629,502,989","450,361,254","897,656,153","1,338,390,818"
Other expense paid,,,,,,,,,,,,,,,,,,,,,,,"849,001,415","854,061,139","197,148,940","799,362,390","1,587,111,577","246,913,917","541,139,248","895,059,479","1,225,152,785","337,254,462","730,423,292","1,164,885,054","1,696,759,809","425,894,625","835,151,647","1,253,749,532"
Operating cash flows before changes in operating assets and liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"663,092,128","1,208,373,084","1,754,641,213","580,846,541","1,187,787,515","1,921,443,336","2,761,988,124","940,099,652","1,988,076,448","3,071,904,033"
(Increase)/Decrease in operating assets,,,,,,,,,,,,,,,,,,,,,,,"14,772,819,210","17,364,557,082","883,271,723","4,230,173,460","4,436,282,424","4,159,166,542",,,,,,,,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,"1,210,906,997","3,659,491,832","5,274,470,608","5,417,675,092","1,728,833,754","4,464,546,443","4,364,403,912","3,512,376,398","4,307,545,798","25,054,816","575,542,650","70,264,027","1,246,948,528","444,435,081","76,305,879","1,208,554,737"
Placement with bank and financial institutions,,,,,,,,,,,,,,,,,,,,,,,"1,202,400,000","3,097,781","11,000,000","1,702,419,000","211,000,000","2,819,292,017","6,003,496,262","4,708,039,338","30,500,000","5,000,000","41,500,000","41,500,000","41,500,000","5,990,890,106","5,577,552,404","9,068,799,554"
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,"2,791,128","3,366,249","12,776,711","36,000,000","5,000,000","12,776,711","7,444,575","14,195,380","15,000,000","5,045,343","9,764,634","5,842,818","4,872,213","430,414","12,751,130","12,079,035"
Loan and advances to bank and financial institutions,,,,,,,,,,,,,,,,,,,,,,,,"1,386,187,312","416,731,174","420,940,579","566,973,665","300,225,892","656,466,735","2,126,533,853","221,197,112","966,596,470","842,570,193","821,132,162","667,134,595","91,348,329","193,515,544","14,069,047"
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,"13,430,728,252","11,936,921,851","6,585,817,093","9,908,387,685","5,495,834,179","2,747,524,588","1,190,046,548","6,253,384,992","7,576,095,379","8,294,666,303","11,880,319,279","11,753,894,732","8,995,031,204","6,951,191,751","15,879,161,199","15,464,075,352"
Other assets,"917,990","1,072,108","1,332,807","1,662,261",1.0,"1,692,199",1,"818,576","877,687","963,414","912,660","1,074,794","993,608","1,513,092","1,228,782","1,354,618","2,551,637","1,745,572","1,798,103","2,286,629","1,398,538",1.0,"738,063,927","381,615,619","846,582,647","717,479,712",,"680,979,482","92,988,633","654,096,762","335,281,550","548,109,978","931,883,759","963,199,181","865,996,329","986,307,387","1,010,263,868","1,098,793,191"
Increase/(Decrease) in operating liabilities,,,,,,,,,,,,,,,,,,,,,,,"16,752,505,809","14,392,040,495","4,237,223,377","7,942,547,000","11,427,162,092","4,293,028,362",,,,,,,,,,
Due to bank and financial institutions,,,,,,,,,,,,,,,,,,,,,,,"992,965,000","565,565,000","2,813,002,341","1,477,152,341","404,098,781","2,305,362,545","5,777,466,122","7,822,194,790","4,227,776,122","131,364,868","1,855,171,548","3,643,275,000","1,626,275,000","3,117,400,000","1,267,400,000","2,000,083,851"
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,"1,085,901,398","761,421,088","517,527,902","157,629,458","761,421,088","200,000,000","2,393,318,000","4,665,513,428","4,265,513,428","950,442,888","3,960,231,336","8,188,483,128","2,962,016,872","1,497,703,184","953,996,556","953,996,556"
Deposit from customers,,,,,,,,,,,,,,,,,,,,,,,"15,859,538,910","13,646,361,964","1,781,978,709","6,719,186,161","12,514,454,294","1,915,549,062","7,166,255,251","9,250,036,182","4,182,321,206","2,498,307,586","6,590,676,607","8,281,417,153","13,398,072,714","7,706,463,140","14,248,565,070","20,628,833,804"
Borrowings,,,"1,750,027",,,"28,313","7,552",,"702,778","702,778","30,017","403,038","3,168,855","2,500,400","4,184,700","5,807,200","8,584,160","4,843,350","5,309,655","2,709,590","2,510,080",2.0,"1,584,121,730",,,,,,,,,,,,"3,853,806,893","155,765,284","143,343,492","4,140,493,563"
Other liabilities,"918,032",,,,,,,,,,,,"1,136,041",,,,,"1,571,888",,"1,797,033","1,909,725",2.0,"800,030,501","549,822,443","159,770,229","96,162,044","78,227,667","127,883,245","459,038,816","116,036,969","358,711,685","672,585,788","271,690,779","13,075,450","1,488,405,757","129,986,956","82,500,062","363,056,118"
Net cash flow from operating activities before tax paid,,,,,,,,,,,,,,,,,,,,,,,"4,216,740,255","687,857,764","4,070,191,408","4,898,258,576","9,064,752,341","387,303,618","1,463,567,688","3,353,709,006","4,669,680,030","3,989,971,394","8,424,045,616","12,813,549,831","14,151,993,491","6,372,518,564","12,253,012,067","21,452,190,842"
Income taxes paid,,,,,,,,,,,,,,,,,,,,,,,"729,957,433","1,080,390,228","20,778,892",,,,,,,,,,,,,
Net cash flow from operating activities,,,,,,,,,,,,,,,,,,,,,,,"4,216,740,255","687,857,764","4,070,191,408","4,898,258,576","9,064,752,341","387,303,618","1,463,567,688","3,353,709,006","4,669,680,030","3,989,971,394","8,424,045,616","12,813,549,831","14,151,993,491","6,372,518,564","12,253,012,067","21,452,190,842"
Purchase of investment securities,,,,,,,,,,,,,,,,,,,,,,,"295,846,172","623,673,367","15,000,000","100,716,024","3,040,009,218","4,057,670,881","4,381,730,595",,"8,910,703,918","358,919,772","1,743,804,907","2,240,556,783","2,249,316,361","226,268,690","897,000,195","1,778,462,591"
Receipts from sale of investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,"100,690,599",,,"100,690,599","1,312,939,121",,,,"13,008,425","13,294,531",,,"13,008,425"
Purchase of property and equipment,,,,,,,,,,,,,,,,,,,,,,,"127,715,090","272,211,834","3,782,430","108,526,900","188,435,096",,"65,868,152","102,319,454","154,591,346","68,607,208","175,860,072","280,305,780","370,006,762","179,169,999","303,219,968","375,589,117"
Receipt from the sale of property and equipment,,,,,,,,,,,,,,,,,,,,,,,,"9,750,970",,"22,974,314","43,406,794","3,782,430","3,750,550","13,499,814","9,529,287","8,375,703","8,375,703","22,096,657","22,683,562","198,201","223,151","213,572"
Purchase of intangible assets,,,,,,,,,,,,,,,,,,,,,,,"5,219,312","777,778","25,031","452,000",,"25,031","452,000",,"4,779,100",,,,"4,033,818",,,
Interest received,,,,,,,,,,,,,,,,,,,,,,,"8,042,008,074","11,320,007,255","2,857,806,361","5,700,911,090","11,300,485,855","2,398,994,076","4,534,586,408","6,629,309,257","8,908,061,569","2,414,227,498","5,118,495,582","8,372,031,637","12,155,845,837","3,969,271,725","8,224,763,038","12,810,956,227"
Dividend received,,,,,,,,,,,,,,,,,,,,,,,"3,036,598","4,786,451",,,"4,723,451",,,,,,,,,,,
Net cash used in investing activities,,,,,,,,,,,,,,,,,,,,,,,"425,611,758","880,570,002","11,192,539","14,686,013","3,185,715,520","4,072,456,918","4,443,848,196","1,224,119,481","9,060,545,076","298,688,266","1,911,289,276","2,485,757,481","2,587,378,848","405,240,488","1,199,997,012","2,153,838,135"
Receipt from issue of debt securities,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,033,888,000",,,"2,033,888,000","2,033,888,000",,,,,,"2,397,288,932","2,397,593,913"
Repayment of debt securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,000,000","400,000,000","2,396,991,603",,"400,000,000"
Receipt from issue of shares,,,,,,,,,,,,,,,,,,,,,,,"428,665,201","425,594,517",,,,,,,,,,,,,,
Dividends paid,,,,,,,,,,,,,,,,,,,,,,,"868,218,726","868,218,726",,"392,211,166","874,254,270","7,437,165","17,810,981","311,270,275","314,994,137","4,341,317","37,883,570","173,076,449","175,005,310","3,553,618","259,301,179","697,756,466"
Interest paid,,,,,,,,,,,,,,,,,,,,,,,"4,797,753,407","6,551,844,005","1,816,635,882","3,555,430,101","7,208,663,813","1,777,390,429","3,193,678,693","4,430,934,182","5,815,652,054","1,489,509,702","3,244,234,285","5,284,487,953","7,655,123,765","2,546,638,266","5,297,522,175","8,300,552,993"
