Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2074.JPG, Q2 2074.JPG, Q3 2074.JPG, Q3 2075.JPG, Q4 2073.JPG
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,370,333","9,803,045",,"8,835,832","7,759,121","7,946,968","7,421,300","7,830,656","9,646,948","14,232,730","5,940,934","6,132,754","7,863,408","5,664,105","8,775,450","9,383,349","10,428,537","7,532,963","16,681,416","11,438,096",,,,,,,,"8,106,217",
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,428,830","23,304,569","7,730,184","18,184,032","21,927,772","19,972,675","12,044,663","18,509,727","9,346,072","28,838,572","6,512,428","5,662,691","5,968,654","11,105,032","6,378,340","16,604,660","7,564,543",,,,,,,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,489,232","548,500","869,250","7,966,750","4,281,628",,"3,458,461","5,289,375","11,873,350","3,444,700","5,586,560","1,398,890","731,700","2,875,500","3,889,575","3,707,850","3,933,000",,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,475","54,102",,"15,269","1,441,591","14,537","69,895","97,412",,,,"79,510","6,354","21,075","9,751",,,,,,,,,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,643,671","7,437,355","6,498,322","6,632,832","5,774,879","6,857,500","6,516,616","6,708,184","7,314,696","7,486,024","8,859,551","10,199,267","9,976,043","9,573,311","9,275,463","7,833,387","8,000,878",,,,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,321,468","104,568,922","109,538,205","114,330,160","114,599,114","112,195,372","115,924,504","113,491,964","120,375,538","127,681,524","135,516,146","142,646,031","143,284,675","145,474,070","147,981,390","157,927,362","160,897,118",,,,,,,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,641,672","21,510,727","24,684,122","29,187,802","28,055,112","28,813,510","27,122,095","43,172,947","39,809,750","31,460,033","32,895,151","35,356,730","34,172,030","39,270,163","34,538,458","39,183,940","38,977,366",,,,,,,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,775","67,975",,,,"234,114","83,519","64,755","130,742","442,820","244,356","399,836","462,631","513,719","180,071","368,470","642,489",,,,,,,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242,689",,,,,,,,,,,,,,,,,,,,,,,,,,,279.775,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"295,630","311,838","314,441","355,691","355,691","368,845","379,023","401,379","435,277","502,316","502,316","544,278","621,839","707,316","713,660","713,660","713,660",,,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,203","21,040","21,040","21,040","21,040","21,040","2,203","2,203","2,203","2,203","2,203","2,203","2,203","2,203","2,203","2,203","2,203",,,,,,,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,869,815","2,088,848","2,096,595","2,093,488","2,094,270","2,093,440","2,144,295","2,144,902","2,159,337","2,737,913","2,711,135","2,717,904","2,713,130","2,756,670","2,736,418","3,548,543","3,533,160",,,,,,,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,926","38,323","40,960","43,226","43,779","45,151","46,136","40,668","39,162","32,837","30,232","28,883","27,497","23,076","26,446","36,434","37,382",,,,,,,,09.905,
