Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2074.JPG, Q2 2074.JPG, Q3 2074.JPG, Q3 2075.JPG, Q4 2073.JPG
Capital Fund to RWA,,,,,,,,,,,,,,10.96%,10.96%,11.95%,12.07%,10.37%,10.30%,10.98%,11.08%,11.13%,11.09%,11.59%,13.21%,11.79%,11.71%,11.92%,12.89%,,11.54%,12.04%,13.32%,14.78%,14.49%,,12.79%,13.22%,13.25%,,,,,,14.56%,,,,,,,12.62%,13.32%,,,,,,,,,,,,,,,,14.85%,15.46%,15.68%,12.57%,13.88%
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20%,,,,,,,0.20%,0.22%,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.80%,682%,,,,,,,,,,,,,,,,,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61%,,,,,,,6.39%,6.11%,,,,,,,,,,,,,,,,,,,6.23%,
Credit to Deposit Ratio,,,,,,,,,,,,79.36%,,72.71%,79.70%,76.34%,71.85%,70.62%,76.02%,73.18%,69.84%,70.88%,,77.91%,71.84%,74.00%,,,75.06%,,78.92%,79.17%,69.47%,67.18%,72.15%,,76.24%,76.97%,76.60%,,,,,,,77.32%,,,,,,75.05%,68.57%,,,,,,,,,,,,,,,,76.94%,76.91%,75.84%,76.23%,70.89%
Base Rate,,,,,,,,,,,,,,,,,,,,,,,7.04%,7.03%,7.16%,7.06%,6.77%,6.39%,6.40%,,6.01%,6.09%,6.14%,5.59%,5.17%,,486%,5.02%,5.48%,,,,,,8.45%,8.80%,,,,,,8.34%,8.05%,,,,,,,,,,,,,,,,7.68%,7.91%,7.84%,8.22%,7.03%
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13%,3.59%,,,,,,,,,,,,,,,,,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,1033,1144,1380,1593,1591,1590,2210,2205,2631,,1982,2133,2120,3079,2291,,3385,3666,1925,,,,,,663,,,,,,,612,675,,,,,,,,,,,,,,,,1353,1243,907,,2080
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81%,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,32.41,33.07,35.83,35.83,33.13,32.98,35.50,36.92,32.62,31.98,34.33,36.62,29.83,28.85,30.61,32.98,,28.90,29.83,29.50,21.07,22.27,,25.56,24.18,23.15,,,,,,21.60,,,,,,,17.07%,13.45%,,,,,,,,,,,,,,,,23.50,17.51,18.88,,24.12
Net Worth Per share,,,,,,,,,,341.4,,,200.0,256.25,270.54,294.53,314.33,259.68,279.36,303.67,327.76,271.37,291.03,315.51,342.06,280.86,299.07,321.38,346.94,,302.79,323.74,342.18,360.21,286.90,304.26,323.81,339.73,207.79,,,,,,178.43,,,,,,,216.99,219.84,,,,,,,,,,,,,,,,229.99,210.65,164.66,,220.04
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2488.88,,,,,,1816.91,,,,,,,"2,051.61","2,096.15",,,,,,,,,,,,,,,,2596.04,2040.96,1680.99,,2519.24
