Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,"15,584,617",,,"17,747,836","17,459,569","17,623,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,574,081","127,677,895",,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,"54,816",,,"135,561","195,751","221,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,"400,000",,"400,000","400,000",,"400,000","400,000",,,"400,000","400,000",,"400,000",,,,,,"400,000","400,000","400,000",,"400,000","400,000",,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,"826,393",,,,"15,660",,,,,,,,,,,,,,,,,,,,,"78,451","363,765","667,600",,,,,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,"14,449,633",,,,"17,498,446",,,,,,,,,,,,,,,"63,093,539",,,,,,,,"105,102,190",,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,"12,688,687",,,"14,689,813","14,083,299","14,341,400",,1,"16,879,104",,,"27,414,398",,"29,331,792","32,936,269",,"35,497,197","47,901,245",,,"54,163,974","56,774,492",,,,,,,"80,394,854","82,719,427","99,750,592","102,481,984",,"09,5","105,088,745",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,"350,230",,,,"366,334","364,542",,"265,697","619,342",,,"689,444",,"1,003,380","1,175,197",,"1,478,568","1,498,158",,,"1,038,641","962,678",,"1,036,381",,,,,,"3,030,259","3,030,259","2,620,206",,"1,227,660","1,742,964",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,"10,008",,,"37,667","56,766","67,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,"347,788",,,"764,143","431,878","631,786",,"718,556","820,457",,,"1,854,227",,"1,424,042","2,098,439",,"1,643,404","2,634,782",,,"2,521,437","3,008,758",,"3,056,288",,,,,"3,996,755",,"4,289,402","7,446,457",,"4,689,379,","5,831,149","4,286,374",,,,,,,,,,,,,,,,,,,,,,
