Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Capital Fund to RWA,,,,,,,,,,10.79,10.92,,11.18%,10.58%,10.69%,10.73,10.92%,11.68%,11.43%,11.51%,14.61,,,1,12.66,12.13,11.43%,10.66%,10.38%,11.01%,10.43%,11.12%,12.47%,12.57%,12.59%,12.49%,12.23%,11.29%,13.81%,16.30%,17.48%,16.63%,15.67%,,15.60%,,,,,,,,,,,,,,,,,,,,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47%,0.43%,0.55%,,,0.35%,0.36%,0.37%,0.45%,0.33%,,0.38%,,,,,,0.45%,0.45%,0.54%,0.42%,0.76%,0.51%,0.62%,0.50%,0.57%,0.87%,0.84%,1.30%,1.41%,2.37%,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,162.58,168.04,,283.81%,92.86%,68.26%,72.25,54.57%,49.39%,45.21%,44.59%,85.91%,,,111.28%,79.38%,80.54%,79.58%,88.98%,92.93%,84.11%,103.01%,110.02%,251.22%,300.89%,324.98%,252.58%,247.64%,252.46%,372.89%,370.28%,358.95%,301.54%,389.08%,,335.32%,,,,,,,,,,,,,,,,,,,,,,,
Cost of Funds,,,,,,,,,,,6.61%,,7.20%,8.64%,8.88%,8.87%,9.13%,9.32%,9.38%,9.01%,,,,6.58%,6.58%,6.77%,6.28%,5.99%,5.80%,4.98%,4.59%,4.65%,4.68%,4.42%,4.16%,3.86%,3.44%,3.75%,3.79%,4.26%,4.82%,7.17%,7.59%,,7.61%,7.99%,,,,,7.64%,7.35%,6.71%,6.15%,5.54%,5.10%,5.29%,5.66%,6.78%,7.56%,7.75%,8.42%,8.84%,8.60%,,,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.13%,78.92%,77.64%,,,,78.72%,77.65%,73.81%,76.94%,78.53%,80.39%,80.12%,88.10%,88.21%,89.13%,86.16%,86.44%,85.18%,81.87%,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,10.13%,10.26%,9.77%,8.84%,,,,,7.57%,7.69%,7.04%,6.59%,5.91%,6.18%,6.30%,6.98%,8.30%,10.29%,10.48%,10.67%,,11.06%,11.21%,,,,,10.26%,9.97%,9.21%,8.31%,7.56%,7.09%,7.26%,7.63%,8.79%,9.63%,9.93%,10.36%,11.39%,11.31%,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24%,5.41%,4.36%,4.33%,4.19%,4.04%,3.82%,3.38%,2.87%,4.19%,4.33%,4.19%,4.25%,4.18%,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,0.50,,,,0.02%,,0.04%,,,0.04%,,,,0.34%,0.48%,,0.58%,1.10%,1.09%,1.80%,1.52%,1.24%,1.24%,1.34%,1.53%,1.47%,1.49%,1.48%,1.70%,1.95%,1.87%,1.56%,1.20%,,1.42%,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.91%,20.25%,17.68%,16.23%,16.04%,14.27%,12.13%,9.93%,,11.82%,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
