Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,058,148",6,8,"4,751,271,104","5,488,796,975","8,912,616,022",8,"9,181,470,755",5,8,"11,881,240,279","16,471,992,030",6,"10,772,276,615",8,"9,109,134,172","7,902,526,046","8,515,489,244","6,268,640,481","11,802,661,509",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,746,594,883","6,037,591,370","5,994,450,992",5,"5,736,290,702",9,"11,729,341,483",8,5,7,5,8,"6,110,466,303","5,730,448,535","6,553,094,831","9,889,239,323","7,775,570,067",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"197,590,197","124,874,233",1,9,1,"11,972,844,047","14,925,603,481","13,906,708,921","13,771,229,907","16,399,607,509",5,"102,294,965",1,1,1,1,"5,054,021",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,240,858","110,711,362","103,325,209","124,774,414","145,178,276","178,081,148","314,890,800","325,004,996","300,875,722","253,950,104","194,491,646","213,012,025","179,736,650","158,762,749",1,1,"159,326,147",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,167,325,182","3,395,452,086",,,,,,,,,,,,,,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,384,798,782","104,769,776,371","108,691,611,300","118,370,914,755","124,394,651,654","123,454,315,433","127,052,658,431","138,377,248,381","153,066,309,255","158,550,906,036","173,183,089,824","176,890,898,412","177,383,238,356","178,764,609,157","179,945,174,576","177,613,550,833","181,502,125,045",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,558,707",,,"14,039,473,449",1,1,"19,905,981,756",2,"22,827,665,018","26,210,776,273","26,486,336,592","27,352,220,398","41,761,121,395","38,614,701,072","32,353,114,259","42,973,492,346","57,591,637,732","50,725,127,461","47,926,509,734","57,619,465,229",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"171,172,996","178,416,114","155,614,886","265,061,324","167,785,303","315,020,547","100,513,515","359,755,583","309,636,974","275,154,560","275,154,560","197,565,177","424,689,706","249,216,582",2,4,"567,804,948",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51000,5,5,"51,000,000","51,000,000","51,000,000","51,000,000","51,000,000","51,000,000","51,000,000","51,000,000","51,000,000","51,000,000","51,000,000","51,000,000","51,000,000","51,000,000",5,5,"51,000,000",,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154,637,535","123,350,704","123,350,704","136,607,745","136,607,745","136,607,745","136,607,745","136,607,745","165,057,745","291,042,098","291,042,098","339,291,965","216,284,527","213,307,612",2,2,"312,871,374",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,103,750",,,"1,206,707,371","1,303,844,846","1,316,568,168",1,"1,344,693,491",1,1,1,1,1,1,1,"1,695,549,578","3,084,304,509","3,136,618,649","3,245,466,056","3,275,948,377",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,741,493","34,537,435",3,"30,673,516",7,"102,314,936","95,999,031","85,272,983","79,574,021","81,767,169","76,337,470","70,371,300",6,7,6,1,"149,522,704",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"939,895",,,,,,,,,,,,,,,,,,,,
Other assets,,,,,,,"230,331","308,879","178,914","451,211",4,4,"222,454",4,"307,107","436,444",2,"356,421",5,,"669,663","751,654","875,704","809,504","772,564","1,366,232","1,338,827","1,364,084","1,516,345","1,477,164","1,212,218","1,360,786","1,069,193",1,"1,353,041","1,037,691","2,010,342","2,465,566","1,415,484","1,830,216","1,446,131",,"1,873,429",2,"2,619,263",1,2,"528,873,326","1,858,264,648","1,665,578,579",1,"2,454,975,089",2,1,1,2,3,2,2,"2,708,385,663","4,242,441,253","3,533,280,884","4,640,151,109","3,877,376,166",,,,
Total Assets,,,,,,,"15,259,251",5259261,"18,060,979","18,503,217","20,966,456",2,"22,772,378",2,"24,742,444","25,027,186",2,"24,522,385","26,077,989",,"29,579,199","29,150,454","30,819,121","31,385,889","33,670,547","34,785,114","36,928,824","38,003,649","41,022,909","42,035,545","44,912,070","48,068,357","50,655,110",5,"55,467,234","60,474,607","91,176,838","81,884,441","86,881,198","87,640,869","74,421,344",,"100,514,119",1,"119,471,262",1,"127,876,645",1,"144,836,238,443","160,565,355,454","169,479,015,569","179,700,953,697","183,033,448,585","198,489,400,421","211,171,481,466","230,276,144,041","245,534,085,965","242,427,000,908","238,502,778,106","247,760,352,271","264,754,378,244",2,2,"274,307,967,423",,,,
Liabilities,,,,,,,"15,259,251","17,564,464","18,060,979","18,503,217","20,966,456",2,"22,772,378",2,"24,742,444","25,027,186",2,"24,522,385","26,077,989","26,709,689","29,579,199","29,150,454","30,819,121","31,385,889","33,670,547","34,785,114","36,928,824","38,003,649","41,022,909","42,035,545","44,912,070","48,068,357","50,655,110",5,"55,467,234","60,474,607","91,176,838","81,884,441","86,881,198","87,640,869","74,421,344",,"100,514,119",1,"119,471,262",,,,,,,,,,,,,,,,,,,,,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,174,679,369","8,422,830,375","6,079,550,632",9,1,6,4,4,3,7,9,5,"4,082,715,143","7,234,641,506","8,978,928,823","6,132,319,639","9,200,983,615",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"807,281,968","984,061,065","359,697,114","950,216,637","933,547,530","20,054,195","15,806,114",4,6,5,"14,152,646,809",9,"19,752,194,753","24,965,102,753","17,820,667,435","4,401,361,474","4,613,071,417",,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"197,590,197","124,874,233",1,9,1,"11,972,844,047","14,925,603,481","13,906,708,921","13,771,229,907","16,399,607,509",5,"102,294,965",1,1,1,1,"5,054,021",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,221,140,969","114,537,392,939","117,901,449,457","126,020,101,140","129,894,504,620","139,172,356,368","149,250,939,242","157,518,951,016","172,053,126,359","180,438,924,523","183,236,565,251","188,525,694,174","188,871,195,175","191,156,475,501","192,818,491,324","204,731,982,624","212,134,246,223",,,,
Borrowing,,,,,,,"1,289,026","2,036,300","327,600","650,000","1,450,000",1,"345,000",7,"1,714,550","1,505,000",4,"45,000",7,"45,000","45,000","108,900","103,900","180,000","787,466","285,347","161,500","67,000","106,415","35,000","12,000","60,000","65,000",1,"189,350","250,000","505,714","660,000","600,000","504,014","910,000",,"445,752","859,894",,,1,,,,,,,,,,,"963,600,000","949,600,000","975,200,000","1,022,800,000","1,022,800,000","1,022,800,000","7,202,250,000",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,"92,720,296",,,,,,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,752,357",3,2,,,,,,,,,,,,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,737,556","81,873,344","6,434,590","100,479,843",8,"130,430,588","442,146,299","766,626,535",1,"897,542,147","621,298,103","784,163,724","620,208,895","243,985,287",1,3,"228,896,444",,,,
Other liabilities,,,,,,,"402,273","396,297","231,812","304,992",2,4,"260,880",3,"427,612","704,447",3,"575,393",4,"488,240","610,823","734,330","911,081","779,695","871,561","1,588,062","1,633,165","1,623,512","1,239,532","1,360,527","1,267,275","1,130,588","653,946",1,"1,150,827","1,077,684","2,945,744","2,968,201","2,955,649","2,901,285","1,120,443",,"2,098,624",2,"2,798,820",3,2,"2,298,259,544","2,411,961,514","2,335,194,630",3,"3,421,476,394",3,3,3,4,5,4,3,"3,822,539,539","6,151,830,764","5,408,076,854","6,955,363,751","5,883,940,245",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,366,079,000","2,966,079,000","5,466,079,000",5,"5,466,079,000",5,8,8,8,8,8,8,"7,662,559,000","11,662,559,000","11,662,559,000","11,662,559,000","11,662,559,000",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"129,404,198,237","144,808,059,443","154,396,086,319","164,339,747,293","166,704,666,310","180,924,530,171","192,494,172,699","209,958,224,328","224,867,258,913","221,449,971,729","216,678,103,155","225,814,837,634","242,456,754,417",2,2,"250,930,809,994",,,,
Equity,,,,,,,,,,,,13.95%,14.42%,14.60%,13.02%,14.43%,13.47%,6.49%,8.95%,9.25%,14.25%,3.69%,9.54%,15.36%,18.34%,15.20%,17.68%,16.92%,24.03%,18.33%,19.61%,20.52%,20.29%,17.56%,23.03%,23.12%,14.30%,20.66%,18.84%,15.80%,19.91%,,13.85%,14.16%,14.56%,15.07%,,,,,,,,,,,,,,,,,,,,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,887,604,540","8,887,604,540","8,887,604,540",9,"9,787,767,142",9,9,9,"10,962,299,199","10,962,299,199","10,962,299,199","12,524,426,835","12,524,426,835","12,524,426,835","12,524,426,835","14,089,980,190","14,089,980,190",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,091,505","122,091,505","122,091,505",1,"122,091,505","122,091,505",,,,,,,,,,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,501,867,809","1,743,423,903","2,308,829,391",1,"482,642,448",1,1,1,1,1,1,"937,859,356","1,102,651,175","1,694,559,205","1,292,635,744",1,"376,418,238",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,300",5,5,"4,092,931,260","4,485,440,235","4,238,588,132",3,"4,897,686,088",5,5,7,8,8,8,8,"8,110,393,122","7,866,394,278","8,519,889,657","8,905,548,579","9,456,595,462",,,,
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,604,495,114","15,238,560,183","15,557,113,568","14,895,775,583",1,"16,130,840,302","17,356,292,903","18,478,578,970","20,107,514,790","20,444,929,835","20,778,666,855","21,615,197,364",2,2,"22,336,952,236","23,170,296,640",2,,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,"47,734","47,392","46,343","1,095","46,991","49,180","48,486","2,325","52,840","55,009","56,749","9,519",5,"54,259","56,821","147,044","58,817","71,539","137,943","14,990",,"118,079","138,478","50,293",,,1,"193,480,023","200,182,443",1,"193,110,726",1,2,1,2,2,1,2,"208,043,505","212,243,509","193,330,107","204,815,680","207,000,016",,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,604,495,114","15,238,560,183","15,557,113,568","14,895,775,583",1,"16,130,840,302","17,356,292,903","18,478,578,970","20,107,514,790","20,444,929,835","20,778,666,855","21,615,197,364",2,2,"22,336,952,236","23,170,296,640",2,,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"144,836,238,443","160,565,355,454","169,479,015,569","179,700,953,697","183,033,448,585","198,489,400,421","211,171,481,466","230,276,144,041","245,534,085,965","242,427,000,908","238,502,778,106","247,760,352,271","264,754,378,244",2,2,"274,307,967,423",,,,
