Particulars, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q3 2069, Q4 2069, Q2 2070, Q3 2070, Q4 2070, Q2 2071, Q3 2071, Q1 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Total Capital and Liabilities ( 1.1 to 1.7),"16,172,328","17,013,656","17,920,838","17,057,442","16,172,328","19,061,587","18,798,308","20,354,298",,,"29,325,516","29,455,484",,,,"42,198,243","36,531,823","54,257,336","56,053,088","63,082,112",1.8,"65,090,828","67,257,779","71,872,658","75,470,544","77,691,023",,"81,500,550",,,,,,,,,,,,,,,,,
Reserve and Surplus,"131,007","249,569","139,962","342,645",,"204,305","232,505","355,093",,,,,,,,"1,215,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,"500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,799,466","2,799,481","2,799,466",,"2,799,466","2,799,466",,,,,,"45,500,000","45,500,000","45,500,000","67,500,000","91,000,000","23,500,000"
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Domestic Currency,"11,849,975","12,023,258","13,017,033","12,848,217",,"15,306,005","14,923,017","16,945,245",,,,,,,,"34,933,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,"630,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,"16,813","16,813",,,,,,"6,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,"763,036","613,806","902,411","431,466",,"842,590","1,043,009","447,753",,,,,,,,"1,243,760",,,,,,,,,,,,,"47,753,636","45,070,386","245,581,484","114,920,730","186,031,688","14,606,243","138,523,564",1*,"58,753,561","261,920,211","567,022,093","56,072,312","146,333,798","1,184,179,793","1,031,999,235","565,021,114","700,906,174"
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4*,"6,469,963","84,994,892","5,109","44,959,018","1,599,183","59,113,008","46,086,903","89,529,136","18,358,373","41,567,709","41,823,150","69,018,515","3,778,769",1*,"136,651,009"
