Particulars, Q2 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest income,"644,189",1373763,"272,763","986,192","1,995,960","3,085,781","4,331,026","1,183,406","919,956","3,642,308","4,959,998","1,161,473","2,285,794","3,533,789","4,936,924",1*,"2,491,054","3,733,187","5,177,552","2,380,591","3,590,519","4,996,428","1,173,498","2,426,247",,"5,057,077","1,401,827","2,828,193","4,577,252","6,748,565","37,356",788,"10,026,891","3,068,910","6,206,662",,,,,"3,536,452",,,,,,,,,,,,
Interest expense,,,,,"1,198,180","1,814,114","2,535,876","731,930","1,473,702","2,198,447","2,873,335","587,724","1,105,987","1,630,295","2,179,182",6*,"1,189,522","1,711,543","2,258,737","998,483","1,502,487","2,116,993","514,064","978,001",,"1,828,493","490,930","1,061,560","1,902,289","3,009,549","1,174,877","2,380,718","5,233,688","140,614","583,908",,,,,"2,092,567",,,,,,,,,,,,
Net interest income,,"05,257","1,529,661",,"797,780","1,271,667","1,795,151","451,476","919,956","1,443,861","2,086,664","573,749","1,179,807","1,903,494","2,757,742","653,696","1,301,532","2,021,644","2,918,815","1,382,108","2,088,032","2,879,435","659,434",28,2.165.611,,,,,,"37,356",788,"4,793,204",,"2,671,082",,,,,"1,443,885",,,,,,,,,,,,
Fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"375,614","270,195","524,786",,,,,"347,159",,,,,,,,,,,,
Fee and commission expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130,306","23,098",,,,,,"27,990",,,,,,,,,,,,
Net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"245,309",,"474,656",,,,,"319,169",,,,,,,,,,,,
"Net interest, fee and commission income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,763,054",,,,,,,,,,,,
Net trading income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,869",,,,,,,,,,,,
Other operating income,35418,"99,435",99435,"21,988","49,312","70,666","148,062","33,898","75,830","116,023","179,822","54,529","105,766","163,798","249,385",4*,"100,499","199,368","309,475","143,149","282,060","389,007","73,019",,7*,,,,,,"125,734","284,788","642,933","44,994","184,284",,,,,"18,407",,,,,,,,,,,,
Total operating income,"407,026",,127.376,"463,307","984,348","1,556,226","2,192,940","565,525","1,163,863","1,802,602","2,609,735","717,186","1,478,512","2,337,353","3,372,853","778,144","1,572,705","2,469,629","3,550,200","1,725,544","2,645,256","3,659,335","823,644","1,780,782","2,788,844","4,187,295","1,125,294","2,287,976","3,374,597","4,744,352",,,"5,942,151",,"3,330,021",,,,,"1,850,330",,,,,,,,,,,,
Impairment charge/(reversal) for loans and other losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,288",,,,,,,,,,,,
Net operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,892,810","1,482,718","3,218,985",,,,,"1,832,042",,,,,,,,,,,,
Operating expense,"56,644","223,007","293,807",,"174,123","243,925","383,112","74,687","204,849","291,991","467,293","85,490","235,313","329,661","509,488",9*,"240,153","346,339","544,296","257,420","360,248","555,221","103,019","255,299",,"603,529","119,886","319,634","443,462","680,913",,,"807,531","166,698","372,070",,,,,,,,,,,,,,,,,
Personnel expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,370,468","411,197",,,,,,"428,668",,,,,,,,,,,,
Other operating expenses,"56,644","223,007","293,807",,"174,123","243,925","383,112","74,687","204,849","291,991","467,293","85,490","235,313","329,661","509,488",9*,"240,153","346,339","544,296","257,420","360,248","555,221","103,019","255,299",,"603,529","119,886","319,634","443,462","680,913",,,"807,531","166,698","372,070",,,,,"159,991",,,,,,,,,,,,
Depreciation & Amortisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,273",,,,,,,,,,,,
Operating Profit,"291,721","626,354",,"340,290","703,198","1,142,545","1,516,697","402,556","798,119","1,273,514","1,790,392","538,009","1,075,740","1,710,558","2,401,556",5*,"1,102,734","1,768,033","2,494,039","1,225,315","1,928,972","2,416,603","539,005","73,971",,1*,,"0,486,793","2,446,589",,4*,"1,775,805","4,097,003",,,,,,,"1,204,110",,,,,,,,,,,,
Non-operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,376",,,,,,,,,,,,,,,,,,,
Profit before income tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,165,766","4,351,584","986,954","2,156,899","3,360,939",,"478,235","1,374,148","2,153,495","2,616,780","826,961","1,198,457","2,166,177","3,637,227","1,231,767","2,268,575","3,522,949"
Income tax expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5*,,,,,,,,,,,,
Current Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361,212","234,114",,,,,,,,,,,
Deferred Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,366",,,,,,,,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842,828",,,,,,,,,,,,
Condensed Statement of Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4*,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842,828",,,,,,,,,,,,
Other Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,275",,",*",",*",",*",",*",148,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Total Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842,976",,,,,,,,,,,,
Earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",*",,,,,,,,,,,,
Basic earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.03,,,,,,,,,,,,
Diluted earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.86,,,,,,,,,,,,
Equity holders of the Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842,828",,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842,828",,,,,,,,,,,,
