Assets, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079
Cash and cash equivalent,,,,,,,,,,,,,,,,"7,553,661",,,,,,,,,,,,,,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,5*,"5,474,725","6,527,589","5,371,159","4,871,000","14,321,971","14,322,187","8,520,359","6,708,338","7,405,490","5,528,729","5,218,249","6,500,699","5,637,282","8,013,004"
Derivative financial instruments,,,,,,,,,,,,,,,,,,"351,545","436,888","76,318","282,327","436,888","133,977","205,245","222,433","133,977",3*,"36,747",2*,5*,"36,747",2*
Other trading assets,,,,,,,,,,,,,,,,,,"111,641","110,351","82,042","85,273","70,533","82,187","58,474",6*,7*,9*,7*,"83,105",8*,7*,6*
Loans and advances to customers,,,,,,,,,,,,,,,,,,"124,028,747","123,001,709","130,035,990","132,603,835","138,188,989","135,457,513","139,022,451","138,019,616",1*,1*,1*,"165,164,420",1*,1*,1*
Current tax assets,,,,,,,,,,,,,,,,,,"529,269","495,993","146,855","372,666","22,801","748,928","488,181","336,696","423,068","573,151","205,814",2*,"340,273","328,708","328,708"
Investment in subsidiaries,,,,,,,,,,,,,,,,"171,500",,,,,,,,,,,,,,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,"1,356",%.,"67,100","92,519","144,137","136,512","131,737","126,106","116,233","107,605","105,936","114,436","103,994","93,918",8*,7*,6*
Deferred tax assets,,,,,,,,,,,,,,,,,,,,0*,,,,,,,,,,,,
Other assets,"662,413","820,414","918,419","1,319,959","811,032","1,034,133",9*,"933,605",1*,1*,"1,453,918","1,425,438",1*,"1,590,767","1,522,301","5,715,397",,,,,,,,,,,,,,,,
Total Assets,"89,426,147","94,289,697","95,709,057",1*,1*,"114,568,594",1*,"131,423,493",1*,1*,"148,045,341","154,787,342","161,782,594","158,956,970","162,604,781","174,151,220",,"179,300,411","186,976,580","187,910,090","189,137,864","196,786,340","204,323,462","224,868,971","212,828,615","218,330,978","230,772,920","235,540,000","233,680,410","239,140,389","247,790,339","254,241,935"
Liabilities,"89,426,147","94,289,697","95,709,057",1*,"111,784,656","114,568,594",1*,"131,423,493",1*,1*,,"154,787,342","161,782,594","158,956,970",,"172,806,051",,,,,,,,,,,,,,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,"959,821","940,267","6,695","1,890,432","1,866,132","2,723","2,723","4,388,446","5,558,956","3,575,647","9,039,631","7,026,294","7,470,865","6,470,865","4,109,225"
Derivative financial instruments,,,,,,,,,,,,,,,,,,"351,545","436,888","76,318","282,327","436,888","133,977","205,245","222,433","133,977",3*,"36,747",2*,5*,"36,747",2*
Deposits from customers,,,,,,,,,,,,,,,,,,"141,994,242","149,336,508","151,256,195","149,942,120","156,752,753","166,338,554","184,734,271","166,334,696",1*,1*,1*,"173,657,405",1*,1*,1*
Borrowing,"407,821","318,804","288,750","263,116","274,548","783,549",2*,"250,480",1*,2*,"241,089","241,324",2*,"1,438,272","2,692,048","762,666",,,,,,,,,,,,,,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1*
Provisions,,,,,,,,,,,,,,,,"6,474,358",,,,,,,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,"827,303","852,192","809,344","865,739","886,570","965,958","1,044,056","1,300,863","1,316,158","1,799,337","1,514,089","1,520,073","1,357,808","1,132,627","1,033,933"
