Particulars, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079
Interest income,"1,373,686","2,777,577","4,228,889","5,793,434","1,442,802","3,194,684",4*,"6,808,710",1*,4*,"6,424,193","9,385,518",3*,"6,420,115","9,757,988","13,655,133",,,,,,,,,,,,,,,,,
Interest expense,"668,168","1,336,255","2,021,713",,"787,713","1,519,910","2,178,861","2,850,423","767,713","1,665,341","2,857,502","4,441,059","1,881,278",,"5,602,743","7,719,205",,,,,,,,,,,,,,,,,
Net interest income,"705,518","1,441,322","2,207,176","2,986,268","655,089","1,674,773",2*,"3,958,288",1*,2*,,"4,944,459",1*,"2,715,929","4,155,245","5,935,928",,,,,,,,,,,,,,,,,
Fee and commission income,,,,,,,,,,,,,,,,"1,091,286","255,340",,,,,,,,,,,,,,,,
Fee and commission expense,,,,,,,,,,,,,,,,"197,397","207,134",,,,,,,,,,,,,,,,
Net fee and commission income,,,,,,,,,,,,,,,,"6,829,817",799,,,,,,,,,,,,,,,,
Other operating income,"43,940","113,256","170,032","246,628","63,906","123,866",2*,"354,493",1*,1*,"280,449","410,257","83,843","186,070","289,825","1,109,441",4*,"144,177",,,,,,,,,,,,,,,
Total operating income,"977,506","2,006,809","3,087,717","4,205,394","985,817","2,324,680",3*,"5,486,787",1*,3*,,"6,885,567",1*,"3,745,786",,"7,939,259",,"4,452,795",,,,,,,,,,,,,,,
Net operating income,,,,,,,,,,,,,,,,"8,055,274",,,,,,,,,,,,,,,,,
Operating expense,"132,456","267,518","404,807",,"140,003","297,390","459,738","690,537","155,607","344,421","532,213","747,797","190,719","396,493","618,210","910,602",,,,,,,,,,,,,,,,,
Personnel expenses,,,,,,,,,,,,,,,,"1,543,922","414,274",,,,,,,,,,,,,,,,
Other operating expenses,"132,456","267,518","404,807",,"140,003","297,390","459,738","690,537","155,607","344,421","532,213","747,797","190,719","396,493","618,210","910,602","870,185","55,096",,,,,,,,,,,,,,,
Operating Profit,"733,728","1,515,386","2,345,683","3,134,248","718,039","1,777,175",2*,"4,206,490",1*,2*,,"5,435,810",1*,"2,945,903",,"5,600,750",,,,,,,,,,,,,,,,,
Other Comprehensive Income,,,,,,,,,,,,,,,,"758,681",,34648,,,,,,,,,,,,,,,
Total Comprehensive Income,,,,,,,,,,,,,,,,,,"2,024,712",,,,,,,,,,,,,,,
Non-controlling interest,,,,,,,,,,,,,,,,"10,645,599",,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
