Particulars, Q2 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q2 2074, Q3 2074, Q4 2074, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q2 2075.PDF
Interest income,,"1,615,967","2,251,469","557,249","1,129,900","1,740,570","2,441,571","603,838","1,175,406","1,788,145","583,183","1,167,345","1,779,860","2,410,762","545,070","1,148,213","1,742,797","2,405,354","607,161","1,271,620","1,897,429","2,692,489","674,901","1,441,067","2,334,466","1,416,602","2,932,188","4,686,942","4,429,156",,,"2,638,781,580","2,573,502,549","2,710,886,991","2,685,956,378","3,327,685,069",,"1,409,759,771","1,291,610,557","4,148,084,416","4,954,961,350",,"5,935,386,698","6,884,176,645","10,311,551,082","2,247,788"
Interest expense,,"1,159,497","1,566,552","390,412","795,060","1,193,633","1,622,492","392,036","743,917","1,094,530","425,549","815,550","1,192,733","1,575,312","365,292","714,103","1,072,107","1,507,365","429,247","806,914","1,146,949","1,517,056","412,377","886,024","1,520,680","1,059,856","2,110,517","3,345,250","2,910,970",,,"1,714,743,951","1,663,982,564","1,775,951,286","1,803,499,357","2,010,173,303",,"2,007,253,008","2,458,175,205","2,803,666,306","3,143,574,215","3,732,388,715","3,951,477,921","4,599,377,586","7,055,107,490","1,430,097"
Net interest income,,"456,470","684,917","166,836","334,840","546,937","819,079","211,802","431,489","693,616","157,634","351,795","587,127","835,450","179,779","434,110","670,690","897,989","177,914","464,706","750,480","1,175,433","262,524","555,043","813,786","356,747","821,671","1,341,692","1,518,186",,,"924,037,629","909,519,986","934,935,705","882,457,021","1,317,511,766",,"1,409,759,771","1,291,610,557","1,344,418,111","1,811,387,135","1,967,743,121","1,983,908,777","2,284,799,059","3,256,443,592","817,691"
Fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,095,823","159,061,860","98,311,380","95,853,811","151,066,843",,"201,585,933","261,561,899",,,,"305,986,941","264,794,447","594,119,961",
Fee and commission expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,202,684","9,339,902","7,773,037","7,618,824","5,699,989",,"11,734,724","18,732,905",,,,"40,240,595","53,585,012","82,572,987",
Net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166,893,139","149,721,958","90,538,343","88,234,987","145,366,854",,"189,851,209","242,828,994",,,,"265,746,346","211,209,435","511,546,974",
Net trading income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",*",",*","73,724,796","63,642,689","97,758,485","120,197,720","94,159,446",",*","97,296,447","106,372,632",,,,"55,383,768","86,598,693","101,982,505",
Other operating income,,"40,291","53,312","8,638","23,213","33,512","48,139","11,974","23,393","32,890","10,525","22,602","42,099","56,647","10,223","22,300","32,777","47,403","15,272","33,244","49,586","62,706","16,997","33,916","54,752","19,564","36,747","59,795","142,060",,,"28,387,085","29,583,758","28,393,157","37,712,266","62,282,155",,"152,159,323","271,247,060","124,013,423","48,267,381","251,037,436","215,010,687","67,419,160","28,417,247","56,813"
Total operating income,"157,964",,"874,983","214,501","435,107","691,189","1,022,326","272,287","543,859","864,043","236,097","517,541","840,130","1,165,977","251,990","573,440","896,563","1,195,288","263,213","624,970","991,018","1,513,879","357,407","743,016","1,091,790","472,482","1,076,971","1,734,402","1,872,700",,,"1,193,042,648","1,152,468,391","1,151,625,690","1,053,177,461","1,619,320,221",,,"1,912,059,243","1,725,002,708","2,161,690,587","2,509,658,369","2,520,049,578","2,650,026,347","3,898,390,317","995,011"
Net operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,123,485,852","1,091,045,699","1,100,834,694","812,696,410","1,605,845,073",,"1,299,405,881","1,779,286,691",,,,"2,590,716,492","1,144,701,663","1,372,834,755",
