Assets, Q1 2067, Q2 2067, Q3 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,210,589","4,821,331","4,328,970","4,581,727","4,703,646","9,452,073","10,799,828","3,558,298","3,402,289","7,285,843","3,461,976","3,464,646","4,438,951","6,362,030","5,728,775","6,608,829","6,933,477"
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1*,,"5,990","10,090","10,090",,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,967,303","78,790,764","81,987,010","89,426,031","95,616,555","93,691,700","92,360,712","97,889,696","109,125,771","112,178,466","121,477,323","133,310,069","136,360,518","135,522,072","137,047,667","136,943,142","137,440,629"
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,184",679,1*,"1,969",1*,"86,655","3,890","5,190","100,570","111,825",1*,"81,421","277,947","142,693","676,085",1*,"152,981"
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"287,000","287,000",4*,4*,4*,4*,4*,4*,4*,4*,4*,4*,4*,4*,4*,4*,4*,4*,4*
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,241,890",,,,,,,,,,,,,,,,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,069","31,641","28,810","56,351","53,972","50,800","39,815","90,478","98,009","82,854","78,995","76,903","73,029","86,478","79,998","74,603","66,568","59,597","60,134"
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,734,,,,,,,,,,,,,,7*,7*
Other assets,"139,366","276,486",454,"340,851","270,078","291,812","497,700","312,003","613,382","970,852","336,552","486,573","443,612","765,688","535,330","1,673,023","1,197,216","844,851","839,702","828,602","1,228,839","821,189","1,336,053","1,278,903","1,214,643","1,834,450","1,336,053","1,213,460","1,398,036","1,274,255","1,727,991",,,,,,,,,,,,,,,,,
Total Assets,,,,,"22,149,701","22,149",,,1.33%,1.19%,1.31%,1.38%,0.07%,"32,430,323",,,"71,371,181",0.94%,,,1.28%,1.21%,"70,903,814",0.95%,"63,608,810",,,,1.43%,"81,983,722","84,735,501",,,,,,,,,,,,,,,,,
Liabilities,1.1,"767,298",,4.1,"22,149,701","618,224","714,875","30,176,073","777,881",,"28,305,829","34,713,739","30,904,877",,"666,379","45,801,710","71,371,181","844,739","41,884,033","47,541,496","47,199,037","50,104,539","70,903,814","59,514,285","63,608,810","68,055,656","70,903,814","73,091,867","76,989,802",,,,,,,,,,,,,,,,,,,
