Particulars, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest income,"1,081,114","2,308,101",3.0,"5,060,439","1,130,223","2,650,233",4*,"6,349,743",1.0,"3,309,407","7,562,262","2,036,715","4,248,797",6.0,"9,260,586","2,277,807",5.0,,,,,,,,,,,,,,,,,
Interest expense,"484,625","921,489",1.0,"1,743,980","431,033","839,870",1*,"1,658,478",3.0,"763,093","1,728,360","642,689","1,308,468",2.0,"2,841,665",,1.0,,,,,,,,,,,,,,,,,
Net interest income,"596,489","1,386,612",2.0,"3,316,459","699,190","1,810,362",2*,"4,691,265",1.0,"2,546,314","5,833,902","1,394,025","2,940,329",4.0,"6,418,921",1*,3.0,,,,,,,,,,,,,,,,,
Fee and commission income,,,,,,,,,,,,,,,"763,905","520,724",5.0,,,,,,,,,,,,,,,,,
Fee and commission expense,,,,,,,,,,,,,,,"76,759",,4.0,,,,,,,,,,,,,,,,,
Net fee and commission income,,,,,,,,,,,,,,,"687,146",5*,5.0,,,,,,,,,,,,,,,,,
Net trading income,,,,,,,,,,,,,,,,,,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Other operating income,"78,897","158,389",2.0,"361,556","79,175","156,873","250,473","403,943",1.0,"216,315","414,637","94,168","192,708",2.0,"679,378","133,886",2.0,,,,,,,,,,,,,,,,,
Total operating income,"741,848","1,596,063",2.0,"3,920,602","861,101","2,144,629",3*,"5,384,254",1.0,"2,995,669","6,746,156","1,742,441","3,561,829",5.0,"7,785,445",2*,3.0,,,,,,,,,,,,,,,,,
Impairment charge/(reversal) for loans and other losses,,,,,,,,,,,,,,,"19,390","32,189",1.0,,,,,,,,,,,,,,,,,
Net operating income,,,,,,,,,,,,,,,"7,804,835",1*,3.0,,,,,,,,,,,,,,,,,
Operating expense,"164,746","300,382",4.0,"585,132","166,999","282,560","429,619","633,670",1.0,"297,415","659,808","171,906","330,937",5.0,"681,824",,,,,,,,,,,,,,,,,,,
Personnel expenses,,,,,,,,,,,,,,,8*,5*,,,,,,,,,,,,,,,,,,
Other operating expenses,"164,746","300,382",4.0,"585,132","166,999","282,560","429,619","633,670",1.0,"297,415","659,808","171,906","330,937",5.0,"681,824",,,,,,,,,,,,,,,,,,,
Operating Profit,"132,166","343,659",3.0,"898,249","221,335","818,944",1*,"2,568,331",6.0,"1,572,863","3,730,145","958,174","2,010,693",3.0,"4,563,422",,,,,,,,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,"643,136,397",,,,,,,,,,,,,,,,
Condensed Statement of Comprehensive Income,,,,,,,,,,,,,,,,,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Profit for the period,,,,,,,,,,,,,,,,,,"643,136,397",,,,,,,,,,,,,,,,
Other Comprehensive Income,,,,,,,,,,,,,,,,,,"1,379,349,357",,,,,,,,,,,,,",*",,,
Total Comprehensive Income,,,,,,,,,,,,,,,,,,"643,136,397",,,"260,949,524","260,949,524",,,,,,,,,"43,615,645",,,
Earnings per share,,,,,,,,,,,,,,,,39.92,33.87,,,23.72,27.572277.5.5772,27.13,22.66,19.51,21.37,23.87,,,19.67,20.30,22.67,16.77,15.93,16.17
Diluted earnings per share,,,,,,,,,,,,,,,,,,,,23.72,27.572277.5.5772,27.13,22.66,19.51,21.37,23.87,,,19.67,20.30,22.67,16.77,15.93,16.17
Profit for the period,,,,,,,,,,,,,,,,,,"643,136,397",,,,,,,,,,,,,,,,
