Particulars, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest received,,,,,,,,,,,,,,,,,,7*,"10,367,809,210",,"5,649,073,844","7,590,526,587","11,284,314,100.01",,"8,794,321,878",1*,"2,781,621,439","3,642,200,831","4,136,417,395","16,081,948,162","4,284,656,938","9,278,485,399","16,662,707,823"
Fees and other income received,,,,,,,,,,,,,,,,,,7*,"1,038,164,818",,"410,219,590","573,132,151","788,512,513.77",,"639,479,555",9*,"282,337,632","225,538,699","214,724,156","936,928,257","228,247,927","434,432,807","689,332,505"
Receipts from other operating activities,,,,,,,,,,,,,,,,,,4*,"238,945,244",,"338,673,485","744,568,398","594,724,504.87",,"829,125,946",1*,"154,636,047","192,763,082","95,581,098","730,436,302","24,768,391","172,641,395","283,508,290"
Interest paid,,,,,,,,,,,,,,,,,,,"4,190,518,727",,"2,996,635,141","4,454,443,555","5,908,023,000.08",,"4,080,253,764",,"1,686,686,783","2,274,471,166","2,619,069,814","9,659,021,644","3,382,930,505","7,340,501,008","11,339,762,724"
Commission and fees paid,,,,,,,,,,,,,,,,,,,"93,159,271",,"46,036,623","67,864,799","43,956,718.66",,"46,829,113",,"9,637,516","11,453,300","22,382,284","84,153,980","8,050,706","32,576,285","60,539,619"
Cash payment to employees,,,,,,,,,,,,,,,,,,,"1,697,306,069",,"1,151,008,738","1,710,817,833","2,745,341,598.64",,"1,832,524,250",,"751,206,676","548,128,410","519,048,311","2,296,673,487","864,479,352","1,479,277,157","2,130,415,263"
Other expense paid,,,,,,,,,,,,,,,,,,,"534,057,044",,"292,128,504","421,417,532","683,737,600.12",,"612,187,870",,"332,578,325","454,463,075","441,348,263","1,439,547,468","228,134,193","471,983,062","699,098,075"
Operating cash flows before changes in operating assets and liabilities,,,,,,,,,,,,,,,,,,3*,,,,,,,,,,,,,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,"2,991,150,180","3,894,665,929",,"6,178,653,226","6,944,086,005","7,705,423,171.54",,"762,474,498","6,803,871,032","5,749,046,509","1,559,343,955","980,756,324","37,382,258","1,479,376,852","5,280,780,403","2,480,355,524"
Placement with bank and financial institutions,,,,,,,,,,,,,,,,,,"1,947,306,746","2,462,181,746",,"956,825,000","1,090,567,200","689,775,000.00",,"1,284,358,600","4,319,424,975","4,305,674,279","2,741,367,109","2,089,015,050","3,828,391,658","15,398,928","618,088,899","115,619,229"
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,588,543","45,561,045","45,353,065","26,479,831","47,683,222","4,891,911","7,249,181"
Loans and advances to customers,,,,,,,,,,,,,,,,,,,"17,762,220,599",,"6,038,045,636","9,256,968,864","12,166,605,561.59",,"24,626,069,481","31,232,390,305","12,333,694,935","27,435,231,858","32,939,489,298","35,915,276,534","3,877,602,910","1,875,553,059","3,476,428,217"
Other assets,"11,790,448","9,924,652","10,260,090","11,143,553","11,836,569","8,993,303",1.0,"10,907,471",1*,"13,915,643","6,460,712","13,342,387","6,449,462","9,754,898","12,912,279",1.0,2.0,,"2,394,789,815",,"3,640,169,087","323,532,722","2,922,158,776.31",,"2,106,193,655","11,232,601,423","6,925,387,070","9,239,702,655","7,529,939,614","8,422,836,619","157,000,458","1,111,768,207","1,180,750,780"
Due to bank and financial institutions,,,,,,,,,,,,,,,,,,"16,094,421","783,844,945",,"101,771,193","199,535,637","199,535,636.73",,"430,571,567","809,125,108","511,109,777","265,387,961","211,990,608","281,553,535","508,573,293","211,623,211","368,338,599"
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,"14,652,360","7,318,340",,"14,919,000","11,885,317","17,922,673.35",,"6,877,936,383","6,062,640,951","5,630,200,156","35,583,142","115,649,905","173,772,905","53,983,000","5,818,868,046","5,818,868,046"
Deposit from customers,,,,,,,,,,,,,,,,,,,"17,660,063,175",,"77,910,011","5,499,577,619","24,913,496,044.88",,"10,070,456,236","21,212,848,442","10,285,206,372","20,027,574,646","24,560,426,745","33,250,568,261","518,006,841","16,761,454,155","33,258,816,622"
Borrowings,,,,,,,,,,"300,031","12,495","16,162","30,772","3,410,668","144,025",4.0,4.0,"109,500,000","840,500,000",,"215,500,000","950,000,000","50,000,000.00",,"736,440,000",1*,,,"2,215,500,000","7,304,175,000","6,646,425,000","6,486,120,000","7,042,775,000"
Other liabilities,"8,483,302","6,515,672","10,336,487","4,506,401","4,499,742","6,222,837",1.0,"12,109,183","17,687,569","12,387,216","7,195,552","15,543,886","8,003,828","5,889,668","6,336,188",1.0,1.0,,"4,622,714,127.54",,"7,244,406,566.90","6,769,522,763.66","7,101,142,628.36",,"1,040,387,113","3,286,751,102","3,113,259,797","1,455,718,377","3,986,960,004","6,849,278,740","7,134,948,829","5,490,073,868","1,350,294,768"
Net cash flow from operating activities before tax paid,,,,,,,,,,,,,,,,,,,,,,,,"8,295,998,144","4,343,971,075",1*,"1,949,521,271","4,910,433,809","836,856,660",,,,
Income taxes paid,,,,,,,,,,,,,,,,,,,"1,440,000,000",,"750,000,000","750,000,000","1,400,000,000.00",,"850,000,000",,"204,189","300,488,760","805,350,723","1,310,455,777",,"400,000,000","900,000,000"
Net cash flow from operating activities,,,,,,,,,,,,,,,,,,,,"2,996,794,362",,,,"8,295,998,144","4,343,971,075",1*,"1,949,521,271","4,910,433,809","836,856,660",,,,
Purchase of investment securities,,,,,,,,,,,,,,,,,,,"550,744,475",,"267,938,449",,"15,864,168,262.92",,,,,,,,,,
Receipts from sale of investment securities,,,,,,,,,,,,,,,,,,"1,562,965,016",,,"2,211,391,705","1,617,452,156",,,"9,181,033,342","2,486,764,931","1,464,988,795","2,925,991,769","703,705,620","12,728,398,611","7,053,665,390","4,879,358,155",
Purchase of property and equipment,,,,,,,,,,,,,,,,,,,"288,300,806",,"126,066,185","126,867,056","179,532,005.28",,"177,185,138","231,922,247","98,745,838","157,732,705","183,540,753","444,866,985","76,658,609","122,730,575","172,103,954"
Receipt from the sale of property and equipment,,,,,,,,,,,,,,,,,,"484,908","2,870,177",,,,"2,815,725.61",,,,"175,871","372,971","640,545","5,273,759","322,770","322,770","322,770"
Purchase of intangible assets,,,,,,,,,,,,,,,,,,"10,962,115","17,217,892",,"5,617,134","5,418,206","13,457,028.48",,,,"553,700","24,292,167","25,187,127","2,469,050",,,"5,371,533"
Receipt from the sale of intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,"4,903,703",,,,,,"7,008,930,066","4,735,222,509",
Purchase of investment properties,,,,,,,,,,,,,,,,,,,,,,,,,,"7,922,529",,,,"2,617,364","53,456,412","56,751,058","73,793,174"
Receipt from the sale of investment properties,,,,,,,,,,,,,,,,,,"25,278,329","37,078,077",,"4,315,679","6,706,763","10,200,763.04",,,,"300,000","2,671,000","2,671,000","31,564,660","1,063,377","1,063,377","1,063,377"
Interest received,,,,,,,,,,,,,,,,,,7*,"10,367,809,210",,"5,649,073,844","7,590,526,587","11,284,314,100.01",,"8,794,321,878",1*,"2,781,621,439","3,642,200,831","4,136,417,395","16,081,948,162","4,284,656,938","9,278,485,399","16,662,707,823"
Net cash used in investing activities,,,,,,,,,,,,,,,,,,"1,410,077,517","812,815,356",,"1,825,660,301","1,518,646,566","16,011,049,209.85","3,677,783,108","8,996,530,550","2,263,241,759","1,691,805,653","2,747,010,869","511,632,810","13,127,745,020","14,555,919,917","10,688,912,995","7,748,192,772"
Dividends paid,,,,,,,,,,,,,,,,,,,,,"981,114,800","981,114,800","981,114,800.00","451,312,808","451,312,808","451,312,808",,"379,102,759","379,102,758","379,102,758",,"1,440,590,483","1,440,590,483"
Interest paid,,,,,,,,,,,,,,,,,,,"4,190,518,727",,"2,996,635,141","4,454,443,555","5,908,023,000.08",,"4,080,253,764",,"1,686,686,783","2,274,471,166","2,619,069,814","9,659,021,644","3,382,930,505","7,340,501,008","11,339,762,724"
Other receipt/payment,,,,,,,,,,,,,,,,,,,,,,,,"53,848,362",,,,,"4,874,455","26,361,787","578,036",,"2,683,345"
Net cash from financing activities,,,,,,,,,,,,,,,,,,"4,898,459,756","4,898,459,756",,"981,114,800","981,114,800","981,114,800.00","505,161,170","451,312,808",,"1,467,933","381,629,297","383,977,213","405,464,545","578,036","1,441,688,465","1,443,273,828"
