Particulars, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Total Capital and Liabilities ( 1.1 to 1.7),"83,443,256","79,521,488","82,740,974","86,386,830","86,359,835","91,365,061",1*,"108,368,920",1*,"106,284,193","112,705,481","121,082,821","113,023,503",1*,"121,158,048",1*,1*,,,,,,,,,,,,,,,,,
Reserve and Surplus,"2,598,953","2,329,754",,"2,591,791","2,147,425","1,543,601","949,041","384,716",1*,"2,263,504","3,510,758","4,759,372","5,047,550",5*,"6,803,794",,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,"10,349,148",,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,"144,025",,,"109,500,000","840,500,000",,"215,500,000","950,000,000","50,000,000.00",,,"736,440,000",,,,"2,215,500,000","7,304,175,000","6,646,425,000","6,486,120,000","7,042,775,000"
Deposits,,,,,,,,,,,,,,,"99,831,378",,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Domestic Currency,"70,574,758","69,001,603","68,418,885","77,768,651","77,307,962","79,938,261",8*,"89,169,122","85,922,741","84,554,157","93,633,398","92,378,051","91,548,314","90,402,287","99,525,782",,,,,,,,,,,,,,,,,,,
Foreign Currency,"249,949","269,664",2*,"238,568","234,554","282,562","277,266","240,896","301,031","279,806","310,616","342,688","350,376","410,988","305,596",,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,"24,062,263",,,,,,,,,,,,,,,,,,,
Other Liabilities,"8,483,302","6,515,672","10,336,487","4,506,401","4,499,742","6,222,837",1*,"12,109,183","17,687,569","12,387,216","7,195,552","15,543,886","8,003,828","5,889,668","6,336,188",1*,1*,,"4,622,714,127.54",,"7,244,406,566.90","6,769,522,763.66","7,101,142,628.36",,,"1,040,387,113",,,"1,455,718,377","3,986,960,004","6,849,278,740","7,134,948,829","5,490,073,868","1,350,294,768"
Total Assets ,,,,,,,,,,,,,,,"138,604,351",1*,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,"21,511,119",,,,"550,744,475",,"267,938,449",,"15,864,168,262.92",,,,",*",",*",,,,,,
Loans and Advances ,"42,137,910","45,001,497","49,584,194","53,374,544","53,095,999","55,131,915",5*,"63,527,264","66,031,270","70,815,546","74,372,887","73,695,712","78,710,279","79,705,932","79,632,495",,,,"17,762,220,599",,"793,261,741","9,256,968,864","12,166,605,561.59",,,"24,626,069,481",,,"27,435,231,858","32,939,489,298","35,915,276,534","3,877,602,910","1,875,553,059","3,476,428,217"
Real Estate Loan,"1,877,270",,1*,"1,547,828",,,,,,,,,,,"3,519,207",,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,"115,585","114,023",9*,"98,268","188,715","246,529","251,385","268,506","268,506",40,"247,106","163,738","162,837",1*,"183,203",,,,,,,,,,,,,,,,,,,
Business Complex & Residential Apartment Construction Loan,"512,349","534,807",5*,"402,309","509,278",,"523,226","415,774",,,"318,657","583,936","580,722",3*,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,"333,302","360,556",3*,"355,093","360,556","358,286","357,375","182,157","169,722","163,660","155,579","569,433","566,298",4*,"450,457",,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),"916,034","895,138",9*,"692,158","1,394,062","1,445,748",1*,"2,576,222","2,827,879","2,726,884","2,592,244","2,514,985","2,501,141",2*,"6,418,921",,,,,,,,,,,,,,,,,,,
Margin Type Loan,"1,236,414","1,313,298",1*,"1,664,734","1,631,466","1,674,673",1*,"1,645,731","1,640,275","1,677,249","1,708,480","1,684,792","1,947,163",1*,"1,784,480",,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,"19,727,837",,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,"9,752,609",,,6.66,6.66,6.66,6.66,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,"591,928",,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),"234,426","226,793",2*,"199,718","192,550","175,600","146,730","143,438","136,938","132,456","120,190","119,519","119,519","87,679","87,019",,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,"12,912,279",,,,"2,394,789,815",,"3,640,169,087","323,532,722","2,922,158,776.31",,,"2,106,193,655",6.66,6.66,"9,239,702,655","7,529,939,614","8,422,836,619","157,000,458","1,111,768,207","1,180,750,780"
-*,,,,,,,,,,,,,,,"10,349,148",,,2.71%,,,,,,3.02%,2.88%,2.29%,,,1.91%,2.06%,1.90%,2.36%,3.11%,4.16%
Interest Income,"1,081,114",,,,,,,,,,,,,,"9,260,586","2,277,807",,,,,,,,,,,,,,,,,,
Interest Expense,"484,625","921,489",1*,"1,743,980","431,033","839,870",1*,"1,658,478",,,"1,728,360","642,689","1,308,468",2*,"2,841,665",,1*,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),"596,489","1,386,612",2*,"3,316,459","699,190","1,810,362",2*,"4,691,265",1*,"2,546,314","5,833,902","1,394,025","2,940,329",4*,"6,418,921",1*,3*,,,,,,,,,,,,,,,,,
Other Operating Income,"78,897","158,389",2*,"361,556","79,175","156,873","250,473","403,943",1*,"216,315","414,637","94,168","192,708",2*,"679,378","133,886",2*,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,"26,319","26,319","108,478","14,989","30,319","47,914","19,893","34,592",1*,"49,499","121,512","48,084",7*,1*,"183,797",,,,,,,,,,,,,,,,,,,
Total Operating Income,"741,848","1,596,063",2*,"3,920,602","861,101","2,144,629",3*,"5,384,254",1*,"2,995,669","6,746,156","1,742,441","3,561,829",5*,"7,785,445",2*,3*,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,,,,,,"2,464,887",,,,,,,,,,,,,,,,,,,
