Particulars, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,170",,,,,,,,,,,,,,,,,"1,360,229,733"
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,005,528,385","1,007,854,834","2,893,971,781","4,097,379,630","6,298,911,914","8,716,147,441","7,661,229,130","7,526,777,770","6,997,089,241","10,497,986,812","6,582,415,110","5,022,031,817","6,017,180,258","8,860,332,435","6,792,203,135","8,468,177,597","8,254,293,835"
Placement with bank and financial institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,619,398,857","1,877,448,666","2,260,117,991","2,329,777,869","2,331,726,246","4,209,239,163","4,766,883,849","6,852,975,019","5,131,905,931","1,348,726,975","144,901,159","133,262,007","1,625,178,300","2,467,564,323"
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,890,966,881","5,423,119,658","6,567,797,530","80,915,442,917","111,004,604,808","110,454,295,534","113,447,296,157","119,274,468,073","128,852,641,475","135,376,649,719","143,777,724,063","154,394,296,403","154,667,379,651","148,166,954,677","148,280,402,550","150,313,341,425","152,107,408,462"
Other assets,"266,928.20","109,370.27.","278,088.71",,,"527,530.19","356,677.55","257,104.89","616,262.27","512,286.71","453,854.18","433,690.50","849,056.85",,"607,305.77","767,550.03","792,330.98","978,750.91","380,644.10","854,041.21","690,956.79","485,117.50","508,603.58","857,282.61","1,042,239.47","771,216.98","1,073,954.86","160,749.83","896,170","101,045,202","722,252,755","16,527,411","972,313,904","171,199,181","743,013,458","1,061,040,434","972,468,418","906,868,683","739,695,412","1,134,870,940","768,027,710","701,103,862","845,575,292","1,033,234,482","1,005,127,000","897,481,686"
Due to bank and financial institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,379,257,546","12,279,081,186","10,350,291,413","7,939,352,430","5,564,758,041","5,564,758,041","6,040,221,001","5,799,447,620","9,176,490,474","5,265,530,457","6,096,829,391","3,236,150,474","6,106,938,384","4,900,940,469"
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"398,068,607","540,816","912,079,784","300,992,622","188,344,243","121,197,355","73,680,066","1,676,472,000","2,390,683,833","2,360,808,929","2,389,668,929","4,324,197,799","10,722,190,870","4,556,140,870","4,823,780,870","404,980,000","57,560,000"
Borrowings,"1,395,320.00",,"141,920.00",,,"22,050.00","152,210.95","131,400.00","87,200.00","220,348.78","220,348.78",,7*,,,,,,,,"9,000.00",,,,,"1,946,440.76","2,016,433.06","760,834.11","1,269,890.14",,,,,,,,,,,,,,,,"1,302,500,000","1,310,000,000"
Other liabilities,"153,825.83","144,681.67.","614,140.75","378,405.30","313,033.63","525,582.82","322,619.83","204,000.64","358,329.32","236,420.58","64,704.52","681,700.91","457,928.54","458,918.04","505,088.81","645,116.07","511,345.60","958,188.83","513,458.88","405,382.79","391,735.37","470,396.24","354,091.25","1,825,260.86","2,064,405.41","788,057.79","799,224.77","710,527.79",1732292,"253,545,937","127,966,994","72,278,827","1,277,058,891","1,688,823,077","1,760,627,693","1,364,080,305","1,620,993,635","1,840,200,843","1,584,870,159","2,023,037,916","1,452,491,795","839,054,357","2,180,045,807","2,303,934,887","2,976,883,515","3,247,792,873"
Purchase of investment properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236,198,420",,,,,,,,,"109,033",,,,,,
Interest received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,170",,,,,,,,,,,,,,,,,"1,360,229,733"
Dividends paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.........................,.........................,.........................,.........................,.........................,.........................,.........................,....................,....................,....................,....................,....................,....................,....................
Net cash from financing activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,233,765",,
