Particulars, Q2 2066, Q3 2066, Q4 2066, Q3 2067, Q4 2067, Q1 2068, Q4 2068, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Total Capital and Liabilities ( 1.1 to 1.7),"6,293,859","7,258,958","6,693,962",1.7,"9,908,131","9,363,520",,"15,701,905","17,427,603","20,421,415","21,976,068","21,970,597","23,376,656","24,944,549",,"31,491,397","35,621,141","39,029,906","40,272,468","43,537,220","45,301,912","49,955,541","56,237,204",,"62,073,264","62,158,043","62,769,215",1.1101,6*,",924570","91,831,622","98,197,638",,,,,,,,,,,,,,,,,
Reserve and Surplus,"129,651","106,497","129,120","118,191",,,,,,,"418,530",,"400,798","527,254",,0402,,,"887,353",,"778,431","1,040,821",,,"1,416,291","1,767,908","646,029","1,437,106","1,893,252","2,274,572",,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,"370,000","370,000",,,"370,000","370,000","370,000","370,000","370,000","370,000",,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",*","9,750,000",",*",",*",",*",",*","2,654,000,000"
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Domestic Currency,,,"4,966,362",,,,,,,,"17,597,223",,"19,091,084","19,230,462",,,,,"31,784,223",,"37,112,305",,,,,"52,286,979","57,630,552","63,331,593","65,973,006","70,752,890",,,,,,,,,,,,,,,,,,,
Foreign Currency,,,"324,829",,,,,,,,"185,493",,"798,850","1,130,429",,,,,"2,261,094",,"1,983,953",,,,,"1,033,782",,,,"762,322",,,,,,,,,,,,,,,,,,,
Income Tax Liability,,"2,176","1,367",,,,,,,,,,,,,,,,,,"23,393",0*,,,"19,533","19,533",,"103,886","48,181",4541,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,"89,885",,,,,,,,"278,695",,"513,324","699,402",,,,,"1,102,373",,"625,485","595,459",,,"6,950,255","1,158,530","1,085,326","2,341,999","2,428,486","1,955,489",,"1,487,181",3*,"162,916,992","256,417,766","205,516,510","22,701,302","289,844,209","1,018,081,740",,,,,"37,847,638",,,,,"416,602,180"
Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,978,960",,,,,,,,,,,"126,163,349,562",,1.64,1.73,,,,,,,,
Cash & Bank Balance,331,"323,068","462,897","469,695",,,,,,,"1,685,501",,"1,887,145","1,537,648",,,,,"1,771,031",,"2,288,416","3,023,135",,,"9,116,200","4,245,523",,"6,556,152","5,688,481","5,624,878",,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,651,936",,,,,,"2,232,883,139","4,197,746,126","178,277,320","40,916,456","421,651,464","1,407,229,468","412,682,360",,,,,"259,757,789",,,,,"12,132,674,831"
Loans and Advances ,,"5,010,239","4,892,287",,,,,,,,"15,093,073",,"17,170,783","18,251,411",,,,,"28,229,003",,"33,290,739","36,469,545",,,"46,921,195","48,596,841","51,265,494","51,288,532","60,520,178","64,322,096",,63,"12,907,374,308","13,651,605,441","2,212,676,079","7,512,355,237","11,090,196,562","10,030,655,294","4,978,266,435",,,,",*","17,042,364,464",",*",",*",",*",",*","8,691,367,638"
Real Estate Loan,,,"952,686",,,,,,,,"904,658",,"834,595","848,483",,,,,"1,958,358",,"2,801,108","3,081,651",,,"4,829,224","4,925,231",,"5,862,273","5,856,611","5,585,712",,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,"911,199",,,,,,,,,,,,,,"294,105",,,,,,,"648,512",,,,"595,229","654,767",,,,,,,,,,,,,,,,,,,
Business Complex & Residential Apartment Construction Loan,,,,,,,,,,,1*,,,,,,,,"561,605",,"618,113","439,267","440,916","408,088","392,293",,,,,,"649,279",,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,,"35,346",,"65,870","64,828",,,"72,451",,"70,779","70,098","81,292","99,383","118,286",,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),,,,,,,,,,,5*,,,,,,,,"972,660",,"1,683,705","2,100,244",,"3,497,940","3,715,967",,,,"4,636,485","4,164,139",,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,"113,552",,,,,,,,"43,841",,"28,540","61,691",,,,,"381,614",,"347,621",,,,,,,"298,721","280,511","266,716",,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,"713,081",,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,015,022"
Other Assets,,,,,,,,,,,"515,560",,"665,141","1,273,886",,,,,,,,,,,,,"1,260,247",,,,,,"231,667,525","1,076,286,964","252,456,327","771,668,542","1,064,524,038","180,970,024","783,991,194",,,,,"1,289,994,509",,,,,"1,041,516,707"
-*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,619,619,619,619,051,,,,,",219",,,,,892
Interest Income,,,,,,,,,,,"1,678,790",,"971,462","1,469,490",,,,,"1,139,390",,"1,510,925",,,,"1,093,085",,,,,"2,094,257",,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",,,,,,,
Interest Expense,,,"270,266",,,,,,,,"1,023,257",,"608,677","890,369",,,,,"1,409,494",,"774,197",,,,,,"1,799,145",1173378,2.337.220,"3,609,931",,"1,541,760",,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,"93,787","155,646","127,384","238,300",,"286,589",,32,796.083,"655,532",3.132,"362,785","579,121","818,718","244,092",,,"1,139,390",32,"736,728","1,208,621",,,"1,093,085","1,699,851",,,,"2,094,257",,"982,618",,,,,,,,,,,,,,,,,
Other Operating Income,"10,642","19,214","22,669","17,151",,,,,,,"71,451",,"37,948","57,375",,,,,"131,655",38.868,"93,423","157,843",,,"161,426","214,332","214,332","126,344","275,630","390,422",,"121,889",,,,,,,,,,,",*",",*",",*",",*",,,
Foreign Exchange Gain/Loss,"3,647","4,707","5,816","1,074",,,"2,017",,,,"27,237",,"75,966","115,126","146,889",,,,"178,826",,"87,742","117,088",,,"94,311","141,341","194,264","68,193","133,381","208,116","282,481",,,,,,,,,,,,,,,,,,
Total Operating Income,"58,535","118,787","186,446","145,720",,,"321,528",,"956,700","321,528","777,889",7*,"493,756","780,634","1,091,503","342,046","720,852","1,099,078","1,503,363","420,563","955,252","1,542,756",,"692,048","1,416,623","2,159,192",,,,,,"1,337,217",,,,,,"1,120,362,708",,,,,,,,,,,
Staff Expenses,,,,,,,,,,,"99,776",,"70,994","101,447",,,,,"182,321",,"125,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,"15,125","31,095","51,804","38,770",,,"97,055",,,,"161,070",,"96,727","146,527","206,356",,,,"272,235",,"141,857","231,667",,,"196,532","308,571","308,571","112,626","235,126","373,304",,"151,639",,,,,,,,,,,,,,,,,
Operating Profit before provision,"34,306","70,275","105,931",,,254359,"166,721",,"227,079","362,622","517,043","140,896","326,035","532,660","750,766","231,171","496,253",764875,"1,048,807",,"688,301","1,126,485",,.714,"1,054,801",1592570,,,,"2,065,616",3.7,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,,,,,,,,,,,"98,664",,,,,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,541,180,922,"2,571",,"6,483","8,182",8182,,,,"7,377",,"4,368","8,733",,,"15,133","42,494",,,,,"25,612",,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,"10,651",,,,,,,20,,,"19,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,"28,264","59,321","94,869","68,233","149,72",243.595,"123,271",,"205,116","334,602","481,443","135,628","306,706","505,448","710,163",,"437,014","664,930","943,556",277.887,"641,182","1,053,510","1,640,948","425,755","976,241","1,522,049",,,,,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,,,,,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,"28,264","59,321","94,869","68,233","149,772","243,595","123,271",,,,"481,443",,"306,398","505,140","718,644","205,730","487,014","664,930","942,947",277.887,"641,182","1,053,510",,,"976,241","1,522,049",,,,,"741,608",,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,"2,570","5,393","8,624","6,203",,,,,,,"43,768",,"27,854","45,922",,,,,"85,722",,"58,289","95,774",,,"88,749",,,,,,,,,,,,,,,,,,,,,,,,
Capital Fund to RWA,,17.99%,18.89%,14.08%,,,24.57%,,,,15.00,,4*,13.21,,,,,11.19,,11.26,11.12,,,13.12,13.42,15.74,13.85,13.42,13.46,,,,,,,,12.97,,15.04,13.99,13.54,13.45,,13.51,13.75,13.03,13.39,
Non Performing Loan (NPL) to Total Loan,0.20%,0.12%,0.11%,0.06%,,,,,,,0.03,,0.10,0.05,,,,,0.07,,0.05,,,,,,0.01,0.14,0.03,0.17,,,,,,,,0.48,,0.58,0.21,0.16,0.11,,0.38,0.35,0.91,0.77,
Average Yield,,,,,,,,,,,11.09,,11.03,10.67,,,,,,,,,,,,,9.60,,,11.53,,,,,,,,10.09,,9.25,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,,,,,,,,,,,6.66,,5.16,4.71,4.75,5.84,,7.26,7.63,8.47,8.92,
Net Interest Spread,,,,,,,,,,,3.85,,4.12,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,83.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.,,,,,,,,,,,,,,,,,
Earning Per Share(Annualized),,,,,,,,,,,15.13,,17.48,19.41,,,,,23.69,,26.74,29.51,,,23.65,23.95,18.85,16.72,20.56,20.22,,25.88,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,17.19,,29.97,24.06,,,,,23.43,28.63,25.06,,,,22.80,,22.87,20.16,16.54,17.10,,,,,,,,,,,,,,,,,,,
