Particulars, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Total Capital and Liabilities ( 1.1 to 1.7),,,,"54,955,592","56,515,445","58,051,122","58,369,726","58,971,475","59,604,517","64,793,964",6*,"62,482,222","58,460,976","61,082,973","62,811,705","64,513,255","62,307,344","59,277,291","62,664,052","69,977,989","75,062,180","78,435,387","84,294,612","96,878,227","100,881,557","99,752,371","102,323,788","113,029,104","117,037,408",,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,"1,047,069","1,203,692","1,370,300","1,223,576","1,391,129","1,617,711",1*,"1,607,795",1*,"2,071,736","2,327,943","2,284,798","2,393,823","2,631,312","2,933,382","3,255,238","2,712,480","3,094,174","3,448,585","3,852,966","3,114,233","3,525,065","4,744,607",,,,,,,,,,,,,,,,,,
Debenture and Bond,"200,000","200,000","200,000","200,000","600,000","600,000","600,000","600,000","1,000,000","800,000",8*,"800,000",8*,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000",,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,584,121,730",,,,,,,,,,,,"3,853,806,893","155,765,284","143,343,492","4,140,493,563"
Domestic Currency,,,,"32,400,929","33,838,259","32,916,339","31,963,065","33,617,145","32,503,954","34,804,152",3*,"37,729,882","39,590,688","42,027,199","41,997,472","42,992,850","44,969,697","44,932,960","47,519,169","48,475,291","55,456,104","54,831,458","58,713,994","67,516,624","76,439,512","72,102,182","81,635,392",,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,"11,846,183",,"13,069,169","14,265,481",,,"6,434,406","9,884,505","7,960,679","10,281,859",,"9,987,508","8,932,718","9,463,911","2,389,929",,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,"72,812.18","51,179","51,179",,"57,168","57,168",,,5*,"50,486",,,"94,285","94,285",,,"73,829",7*,,,332,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,"918,032",,,,,,,,,,,,,,,,"1,136,041",,,,,"1,571,888",,"1,797,033","1,909,725",2*,"800,030,501",,,,,,"459,038,816","116,036,969","358,711,685","672,585,788","271,690,779","13,075,450","1,488,405,757","129,986,956","82,500,062","363,056,118"
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"295,846,172",,,,,,2*,2*,,4*,4*,5*,5*,,,
Loans and Advances ,,,,"22,831,194","25,025,655","26,142,094","27,976,206","28,096,357","28,550,425","28,788,147",3*,"32,325,616","33,592,705","35,279,583","37,211,127","38,941,956","39,749,865","39,979,173","39,854,032","41,818,188","46,204,589","46,995,416","52,378,948","59,772,328","61,715,242","63,025,023","74,502,222",,,"13,430,728,252","84,300,581,899","90,972,152,792",9.0,"89,615,499,851","86,943,284,423","1,190,046,548","6,253,384,992","7,576,095,379","8,294,666,303","11,880,319,279","11,753,894,732","8,995,031,204","6,951,191,751","15,879,161,199","15,464,075,352"
Real Estate Loan,,,,,,,,"1,071,629",,,,"1,291,954",1*,,"1,725,251","1,810,806",,"1,992,285","2,039,888","2,103,259","2,759,746","3,135,787","3,657,383","4,503,517","4,970,034","4,862,429","4,762,775",,,,,,,,,,,,,,,,,,
Business Complex & Residential Apartment Construction Loan,,,,"355,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),,,,"778,340",,,,,,,7*,,,,,,"1,607,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,"2,070","1,826","1,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"738,063,927",,,,,,"92,988,633","654,096,762","335,281,550","548,109,978","931,883,759","963,199,181","865,996,329","986,307,387","1,010,263,868","1,098,793,191"
-*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19%,0.23%,0.23%,0.17%,0.14%,0.14%,0.15%,0.36%,0.47%,0.97%
Profit and Loss Account,,,,,,31.03.2069,,,,31.03.2070,31.06.2070,30.09.2070,,,,30.09.2071,30.12.2071,,,,30.12.2072,31.03.2073,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,"4,034,770",,"8,990,620","2,630,642","5,362,495",,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,,,,,,,"776,328",,,,,"1,835,601","2,989,082","4,911,242","1,565,155","3,163,516",,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,"470,169","695,160","996,716","367,082","769,410","1,186,424","1,623,535","398,640","833,434","1,276,356","1,745,044","468,643","967,063","1,504,535","2,047,484","566,970","1,141,457","1,739,284","2,416,532","693,415","1,452,790","2,199,169","2,922,288","4,079,378","1,065,487","2,198,979",,,,,,,,,,,,,,,,
Other Operating Income,,"95,173","20,276","53,163","86,990","141,762","38,132","73,677","113,997","157,756","38,745","86,606",1*,"217,267",4*,"90,551","143,942","307,691","57,989","119,480","120,364","318,084","89,091","209,643","204,729","446,167","512,581","88,278","148,865",,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,"47,626","74,821","101,138","22,503","47,732","70,519","101,915","24,573","52,571",7*,"107,807",2*,"59,539","86,955","119,469","31,754","57,697","93,892","136,370","40,272","92,585","159,691","220,922","270,481",,,,,,,,,,,,,,,,,,
Total Operating Income,,,,"699,518","1,065,841","1,494,942","501,075","1,035,211","1,603,591","2,196,903","564,928","1,149,775","1,739,488","2,390,543","657,330","1,344,376","2,073,090","2,814,998","762,936","1,548,347","2,380,609","3,336,783","944,684","1,983,723","3,035,801","4,098,100","5,316,692","1,382,028",,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,"218,030","346,658","461,251","107,853","222,741","343,557","477,247",1*,"226,010",3*,"506,028","108,431","230,511","362,010","515,792","127,298","256,581","402,507","617,016","146,864","320,975","520,503","758,668","967,805","201,450","469,388",,,,,,,,,,,,,,,,
Operating Profit before provision,,,,"334,228","504,283","744,538","310,273","659,579","947,100","1,303,095","332,096","698,263","1,059,986","1,441,437","421,211","874,208","1,320,528","1,746,975","465,924","979,330","1,528,825","2,150,898","607,163","1,324,139","1,936,019","2,548,959","3,323,248",,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,53,356,"2,266",6*,"1,527","1,193",287,155,"2,506","3,616","8,728",1*,"2,179","6,076","10,709",497,970,"4,254","9,918",38,785,"4,886","5,608","11,388",,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,"6,050",,,1*,,,,,,,,4*,,,,"20,040",,,,,,,"19,000",,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,"502,441","748,284","254,778","600,237","863,534","1,220,955","350,110","721,356","1,060,265","1,443,139","402,614","838,777","1,302,609","1,713,207","477,916","983,690","1,493,329","2,112,072","556,881","1,192,375","1,783,465","2,413,695","3,126,168",,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,"29,243","45,676","68,026","23,162","54,567","78,503","110,996","31,828","65,578",9*,"131,194",3*,"76,252","118,419","155,746","43,447","89,426","135,757","191,993","50,597","108,389","161,732","217,537","283,084",,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,,,,,,,,,,,"1,107,713",,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,1.18%,0.84%,0.54%,0.49%,0.43%,0.48%,0.37%,0.35%,0.32%,0.35%,0.26%,0.23%,0.22%,0.18%,0.19%,0.18%,0.17%,0.14%,0.14%,0.13%,0.12%,0.12%,0.10%,0.20%,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85%,5.34%,5.27%,5.11%,5.54%,5.82%,6.12%,7.85%,7.95%,8.10%
Net Interest Spread,3.04%,,,3.57%,3.33%,2.58%,3.98%,4.20%,4.30%,4.43%,4.44%,4.37%,4.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,65.47%,68.72%,73.09%,80.05%,76.57%,79.89%,75.18%,74.67%,76.64%,76.40%,75.23%,78.17%,79.84%,77.97%,,74.82%,,,76.57%,79.51%,79.32%,,75.00%,,,77.77%,,,,,,,70.89%,76.98%,74.86%,95.08%,95.06%,95.35%,86.86%,84.57%,87.35%,81.37%
Earning Per Share(Annualized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2*,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.54,,,,,,,,,,,,,,,
Return on Equity(Annualized),,,,13.96%,,,19.99%,23.07%,21.55%,,22.86%,23.16%,22.64%,22.85%,22.02%,22.33%,,21.51%,21.29%,21.54%,21.47%,22.16%,20.36%,21.35%,20.41%,20.54%,16.65%,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49%,7.46%,7.37%,8.11%,8.95%,9.26%,9.61%,10.22%,10.75%,11.08%
