Particulars, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Total Capital and Liabilities ( 1.1 to 1.7),"15,259,251","17,564,464","18,060,979","18,503,217","20,966,456",2*,"22,772,378",2*,"24,742,444","25,027,186",2*,"24,522,385","26,077,989","26,709,689","29,579,199","29,150,454","30,819,121","31,385,889","33,670,547","34,785,114","36,928,824","38,003,649","41,022,909","42,035,545","44,912,070","48,068,357","50,655,110",5*,"55,467,234","60,474,607","91,176,838","81,884,441","86,881,198","87,640,869","74,421,344","100,514,119",1*,"119,471,262",1*,"127,876,645",,,,,,,,,,,,,,,,,
Paid Up Capital *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,375,119",,,,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,"225,932","277,366","331,759","395,248",4*,3*,"421,957",5*,"432,864","532,621",6*,"597,320",4*,,"700,386","719,557","813,746","844,340","1,054,516","1,155,814","930,663","1,049,024","1,480,114","1,118,871","1,302,547","1,524,141","1,732,962",1*,"1,811,431","2,112,387","3,406,452","3,620,428","2,515,712","2,935,986","3,230,142","4,271,892",3*,"4,471,086",,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,2*,2*,2*,2*,"227,770",2*,"227,770",2*,"227,770",5*,6*,"627,770","627,770","692,770","931,290","931,290","931,290","931,290","931,290","931,290","1,331,290","1,431,290","1,431,290",1*,"1,203,520","1,203,520","1,203,520","1,203,520","1,203,520","1,203,520",1*,"1,203,520",1*,"1,203,520",,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"963,600,000","949,600,000","975,200,000","1,022,800,000","1,022,800,000","1,022,800,000","6,179,450,000"
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01,414,042",,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Domestic Currency,,,,,1*,1*,1*,1*,"19,256,202",1*,"20,629,128",2*,"22,121,983",2*,2*,"24,559,445","25,984,232","26,521,234","27,665,641","28,450,732","30,561,447","31,609,347","34,582,265","35,691,707","37,932,678","40,808,546",4*,4*,"47,729,183","52,513,088","75,851,323","69,174,904","73,287,912","74,203,360",6*,"84,933,172","89,488,576","0,012,658",,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,1*,,,"1,118,605","943,026",9*,,"1,088,642",,1*,"727,927","711,756","702,263","727,182","707,634","848,025","861,437","831,743","771,275","980,091","1,025,863","1,271,051",8*,"866,264","823,691","488,162","823,452","1,011,859","503,900","842,988","386,565","356,202","401,384",,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Income Tax Liability,"47,051","69,094","4,904","32,114",3*,3*,"9,394",3*,"3,793","24,522",2*,"29,141","29,141",,"27,471","5,548","5,548",,"13,648","13,648",,,"37,997","42,855",4*,,,6*,"24,984","24,984",,"67,800","24,984",,,,,"12,089",,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,2*,4*,"260,880",3*,"427,612","704,447",3*,"575,393",4*,"488,240","610,823","734,330","911,081","779,695","871,561","1,588,062","1,633,165","1,623,512","1,239,532","1,360,527","1,267,275","1,130,588","653,946",1*,"1,150,827","1,077,684","2,945,744","2,968,201","2,955,649","2,901,285","1,120,443","2,098,624",2*,"2,798,820",3*,2*,"153,128,894","496,218,377",2*,"2,597,283,218","5,740,477,914","5,576,007,317","2,551,464,723","1,939,379,366","2,862,047,789","6,129,821,540","2,551,464,723","1,939,379,366","2,862,047,789","432,740,291","908,146,224",2*,"838,450,561"
Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119,471,262",,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,559",,,"10,299,963,991","19,354,480,439","349,159,329","2,030,162,225",,,"349,159,329",,,"16,524,508,512","180,642,582","298,424,714",,"17,758,908,704","205,616,034","219,577,869","146,522,281"
Loans and Advances ,"12,132,521","13,471,067",,,"16,426,877",1*,"16,653,852",1*,"17,596,273","17,980,301",1*,"18,096,619","19,117,508","19,774,361",2*,"20,876,580","21,571,502","22,210,921","23,110,604","23,483,922","24,720,103","25,318,985","27,330,868","29,019,105","31,999,682","34,973,562","36,296,594",3*,"40,300,618","44,664,858","66,063,478","58,937,945","62,659,288","66,260,371","55,305,183","75,695,473","79,880,802","84,760,515",,,"18,531,030,215","21,712,787,178","4,124,178,870","14,023,803,638",,"19,318,289,019",,"15,504,366,283","29,927,803,762","35,986,464,616","14,841,279,923","18,420,349,859","19,148,189,384","20,543,797,463","2,091,449,813","214,007,617","19,148,189,384"
Real Estate Loan,,,,,,,,,,"3,751,111",3*,"4,253,914","4,238,364",,,"3,922,024","3,830,746","3,760,985","3,646,283","3,710,647","3,523,266","3,329,802","3,449,851","3,295,320","3,116,726","3,354,982","3,419,347",3*,"4,132,779","4,533,188","6,867,515","5,771,561","6,233,321","6,770,198","5,525,613","7,224,480",7*,"7,726,619",,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,"350,905",4*,"799,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),,,,,,,,,"1,461,773","1,658,046",1*,"1,721,629","1,693,603","1,569,975","1,754,905","1,698,723","1,626,708","1,724,595","1,690,481","1,817,806","1,674,317","1,567,854","1,707,262","1,627,935","1,565,204","1,794,170","1,833,391",1*,"2,321,005","2,787,401",,,,,"3,565,442",,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,4*,,,,,,"361,509","336,968","300,060","257,163","204,131","283,802","262,407","295,382",,,,5*,"592,624","801,931",,"1,068,346","1,157,690","1,400,291","1,511,102","1,921,031",,"2,010,477",,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"707,823",,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,619,263",,,"552,262,975",,"2,510,054,995","1,986,436,534",,,,,,,"981,221,184","1,099,743,385","4,130,199,968","4,391,918,824",3*,"271,860,005","517,204,567"
-*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154,638",,,"221,982",,,,,,40,,,,"3,940","3,940",,"51,325",,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,225,956",,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,"2,690,294",,,,,,,"2,075,421",,"674,485",,,,,,,,,,,,"1,293,731","2,776,459",,,,,",729,446","3,087,270","6,105,560",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Interest Expense,,,,,,,,,"902,482",1*,"1,925,801",5*,"1,036,712",,2*,"467,947","883,106","1,298,961","1,742,839","447,647","877,947","1,285,895","1,708,866","431,011","869,788","1,325,959","1,859,407",5*,"989,847","1,450,399","3,973,959","666,508","1,463,138","2,600,591",2*,"2,960,489",4*,04,"1,828,242","3,787,072",,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),"220,708","331,959","451,691","129,203",2*,4*,"611,758",1*,"359,508","568,785",7*,"142,175",3*,"531,515",,"184,464","473,533","776,460","1,155,576","226,839","561,040","880,392","1,347,421","295,642","632,697","1,010,464","1,435,843",3*,"801,492","1,339,864","2,913,165","627,223","1,313,320","1,911,900","2,116,667","1,396,759","2,200,522","3,545,547","1,259,028","2,318,488",,,,,,,,,,,,,,,,,
Other Operating Income,2*,"4,408",6*,1*,3*,4*,5*,1*,"33,844",4*,"62,012",1*,"44,199",7*,"94,507","35,417","76,623","109,474","182,093","69,708","142,952","189,853","289,788","69,021","136,975","216,437","243,541",7*,"152,987","248,424","441,743","123,886","242,406","529,708","316,461","266,869","410,320","557,256","122,744","285,324",,,,,,,,,,,,,,,,,
