Assets, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q2 2073.PDF
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,423,429",,,"1,873,434,143","6,356,761,783","6,131,728,072","6,500,833,465","7,676,157,172","8,011,838,788","4,280,922,909","5,691,195,069","4,198,554,088","4,269,319,451",7*,6*,6*,9*,6*,8*,6*,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,190,018,352","3,241,044,764","3,879,004,890","4,036,673,988","3,873,697,315","7,806,295,521","5,393,340,380","5,093,943,720","3,390,500,682","2,980,810,427",3*,5*,3*,4*,6*,4*,5*,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"155,860,918","93,860,043","4,836,684","50,416,807","93,860,043","68,022,424","95,062,683","83,388,504","68,022,424","68,022,424",,"74,369,503","1,136,137","1,138,836","59,084,109",1*,1*,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2*,"86,859,603","96,340,439","97,641,621","77,333,197","68,213,842","74,992,986","50,129,022","55,554,785","31,105,270","84,291,163","76,781,189","88,481,894","64,780,191","63,555,002","36,886,843","33,548,685",
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,042,533,806","1,149,493,530","1,263,442,502","1,498,208,254","2,718,872,383","2,395,067,484","2,473,076,113","2,021,945,687","1,877,895,501","1,906,576,647",4*,4*,3*,2*,2*,2*,2*,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,252,229","79,115,835",8*,"42,352,727","55,612,972","209,674,884","51,474,046","170,211,549","370,744,620","275,259,304","130,076,361","361,095,340","428,056,692","394,132,721","393,278,801","496,393,796","526,294,480",
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,"157,142","157,142","157,142","157,142,000","157,142,000","157,142,000","157,142,000","157,142,000","157,142,000","157,142,000","261,308,369","261,308,369","261,308,369","261,308,369","261,308,369","261,308,369","261,308,369","261,308,369","261,308,369","261,308,369",
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,233,132","398,180,042","396,963,723","422,379,640","422,379,640","433,358,795","404,267,928","406,371,492","404,263,743","404,263,743","366,993,547","368,759,547","511,331,855","844,096,900","852,130,369","846,101,108","918,929,675",
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,"732,660",,,"841,139,597","922,005,163","988,510,582","1,037,830,478","1,059,978,158","1,067,232,963","1,053,703,529","1,045,196,976","1,039,947,776","1,029,036,716","864,915,640","846,947,562","835,234,570","821,775,932","814,582,326","803,160,968","790,483,223",
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,"76777,",,"73,084",,,,,,,,,,,,,,,,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,146,995","53,146,995","358,692","358,692","358,692","13,007,230",,"4,752,513","4,752,512","4,752,512","4,130,168","4,130,167","4,130,167","4,130,167","13,324,174",,,
Other assets,"501,286","331,656",2*,"336,749",3*,"272,442","327,977","406,866","580,989","529,880","598,179","441,268",4*,"474,470","560,369","583,228","507,701","507,701","1,003,522","770,563","888,260","1,351,775","1,598,092","964,393","1,128,139","1,345,929","73,145,016",,,"104,053,512","287,760,703","317,756,459","448,657,641","1,124,170,879","1,080,624,910","739,444,296","901,854,781","522,829,581","753,296,751","784,981,285","609,960,960","746,241,272",1*,1*,1*,1*,"500,693"
Total Assets,"18,101,339","19,096,803","20,240,433",2*,2*,"24,898,029","24,973,322",2*,"29,215,595","28,670,798","29,516,192","29,860,475",3*,"34,113,877","34,314,145","37,591,864","39,687,767","42,298,037","46,712,510","58,971,251",,"65,945,012","73,145,837","76,431,039","76,074,691","79,326,209","84,038,174","93,748,512","92,387,405","91,682,188,481","94,764,894,941","98,485,884,928","103,559,254,892","110,316,575,438","116,858,904,234",1*,1*,1*,1*,1*,1*,1*,1*,1*,1*,1*,"59,543,533"
Liabilities,"18,101,339","19,096,803","20,240,433",2*,2*,"24,898,029","24,973,322",2*,"29,215,595","28,670,798","29,516,192","29,860,475",3*,"34,113,877","34,314,145","37,591,864","39,687,767","42,298,037","42,298,037","46,712,510","261,304,","68,234,362","73,145,837","76,431,039","76,074,691","79,326,209","83,943,038",,,,,,,,,,,,,,,,,,,,"62,456,352"
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,318,711,371","3,809,335,211","3,093,227,530","2,971,331,730","3,207,594,126","5,191,810,353","7,916,890,778","7,368,511,752","7,136,960,583","6,286,477,186",4*,3*,3*,3*,7*,3*,3*,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,200,186,739","839,808,639","2,572,281,518","478,959,376","1,207,381,053","743,466,092","1,400,719","484,373,466","3,063,357,460","2,994,873,386",2*,"11,306,454,851",5*,7*,5*,2*,"257,532,082",
