Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080,Bank
reserves,,,,,,,,,,,,,,131007.0,249569.0,139962.0,342645.0,184864.0,204305.0,232505.0,355093.0,246972.0,280890.0,408502.0,567149.0,381673.0,514346.0,581941.0,839154.0,488078.0,657606.0,835618.0,1215990.0,817429.0,1093131.0,1401365.0,1729807.0,1650601.0,1907454.0,2172379.0,2531540.0,1744249.0,1991275.0,2362881.0,2768758.0,3327248.0,3358622.0,2829624.193,2778423.499,2955050.293,2884858.402,3496269.366,3402172.411,3912038.156,3446630.432,4100947.658,4429391.918,5240719.731,4731224.631,4847090.511,4860668.005,5271075.902,5492861.646,5831246.311,,,,,Citizen Bank
debenture and bond,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,499053.0,498914.0,,,,,,,,,,,,,,,,,,,,,,Citizen Bank
borrowings,,,,,,,,,,,,,,1661151.0,1733662.0,1090000.0,805000.0,160000.0,324400.0,131440.0,88250.0,41825.0,87650.0,561175.0,336175.0,823200.0,1319000.0,390000.0,457245.0,407064.0,763537.0,354848.0,902000.0,2460237.0,548357.0,2890935.0,1119046.0,1626319.0,1634462.0,807283.0,1530510.0,3351624.0,2300105.0,3822805.0,3245041.0,3314630.0,4289701.0,2799.466,2799.481,,,,,,,,,,45500.0,45500.0,45500.0,67500.0,91000.0,23500.0,,,,,Citizen Bank
deposits,,,,,,,,,,,,,,12393371.0,12523137.0,13866182.0,13478331.0,15173604.0,15588452.0,15289515.0,17354534.0,17598821.0,19635955.0,21420728.0,22724618.0,23276388.0,24185687.0,25044217.0,27963455.0,29609038.0,30918050.0,34799653.0,35782131.0,36947710.0,40034665.0,44373501.0,47392945.0,50318041.0,52579499.0,55539002.0,52702876.0,54616078.0,58216344.0,60176047.0,61391104.0,65299116.0,64962038.0,65805743.89,70355483.18,72100087.03,75165777.08,77438853.15,88193854.89,97540613.29,104852998.7,126877773.4,140362079.3,143942651.4,140783075.9,144576604.4,152522540.9,154310836.3,159004939.7,160163739.8,,,,,Citizen Bank
income tax liability,,,,,,,,,,,,,,16813.0,,,,,,,6828.0,6523.0,,,,44480.0,101340.0,130310.0,130310.0,47290.0,119945.0,196752.0,,61339.0,,861.0,4009.0,136411.0,7641.0,,,,,37245.0,95.0,,,,,133511.693,36.436,175415.183,2347.112,74370.764,63766.511,133073.284,223252.316,163198.617,183482.667,130742.796,48672.08,,,,,,,,Citizen Bank
other liabilities,,,,,,,,,,,,,,763036.0,613806.0,902411.0,431466.0,770474.0,842590.0,1043009.0,447753.0,732987.0,670656.0,662723.0,768571.0,2697935.0,733271.0,1062759.0,1074874.0,1022418.0,1193146.0,1605881.0,1243760.0,2124734.0,1593954.0,1991486.0,1619780.0,3279214.0,2935274.0,2041316.0,3021955.0,3070828.0,4377609.0,2711636.0,2697012.0,2980885.0,2750366.0,1581664.612,1478644.78,1624250.724,1441894.47,1711156.45,1505385.951,1799118.698,2528730.136,2007744.358,2117790.024,2832125.35,2175410.993,2348990.974,3491516.795,2448898.812,2849997.847,2793291.507,,,,,Citizen Bank
total assets,,,,,,,,,,,,,,16172328.0,17013656.0,17920838.0,17057443.0,18390782.0,19061587.0,18798308.0,20354298.0,20772445.0,22776991.0,25154968.0,26498354.0,29325516.0,29455484.0,29811067.0,32936568.0,34453428.0,36531823.0,40672291.0,42198243.0,45976683.0,46835342.0,54257336.0,56053088.0,63082112.0,65130852.0,66967548.0,67257779.0,71372658.0,75470544.0,77691023.0,78688346.0,81500550.0,84230706.0,86941110.97,90031604.94,94926325.35,97540314.6,104194623.7,110438338.0,118851351.2,128165426.5,154498475.9,167991453.3,174757848.7,176064599.4,184034069.9,194496996.5,192175143.3,192844814.1,190446577.3,,,,,Citizen Bank
loan and advancements,,,,,,,,,,,,,,11831565.0,12376193.0,12795118.0,12514232.0,12102652.0,12616380.0,13526517.0,14415393.0,15597219.0,16894930.0,18064409.0,17940835.0,19335380.0,20417312.0,21770482.0,23173657.0,24972046.0,26556077.0,28740520.0,29200383.0,31881904.0,33556523.0,37843384.0,40567277.0,43730750.0,46782081.0,47794093.0,48071445.0,50057645.0,53316112.0,55817335.0,57952196.0,59883631.0,60474435.0,62690174.39,64491139.84,69048088.64,70716177.12,76449425.23,80703919.73,84385193.42,90047701.38,112687600.5,121818044.6,131567610.4,131081682.0,135711463.0,134854928.3,138708508.8,141661298.2,141926951.1,,,,,Citizen Bank
interest income,,,,,,,,,,,,,,423026.0,847948.0,1297654.0,1795233.0,491713.0,945820.0,1422175.0,1980320.0,511520.0,1011219.0,1589808.0,2211709.0,589361.0,1202136.0,1800746.0,2455649.0,649026.0,1302293.0,1991541.0,2767425.0,768195.0,1612493.0,2483878.0,3445748.0,988730.0,2041677.0,3355428.0,4917683.0,1606127.0,3244446.0,4964048.0,6938793.0,2163324.0,4296971.0,2037238.936,2330836.033,2354356.815,2327462.991,2466354.888,2341816.317,2581210.461,2482048.297,2617797.821,3119680.94,3536625.95,3636515.694,4085619.535,4841422.439,5097497.392,5180657.468,5251608.54,,,,,Citizen Bank
interest expense,,,,,,,,,,,,,,288221.0,568952.0,876666.0,1236322.0,361342.0,730804.0,1061334.0,1405860.0,277724.0,534163.0,833344.0,1176910.0,361432.0,695125.0,1025138.0,1382761.0,348401.0,686778.0,1047087.0,1498682.0,460482.0,896380.0,1322567.0,1823706.0,552373.0,1185927.0,2098901.0,5002270.0,1123297.0,2268496.0,3492912.0,4845287.0,1415909.0,2819843.0,1419081.985,1597174.965,1640883.772,1591970.747,1649668.357,1703874.117,1737241.196,1700524.292,1689109.463,2047991.48,2330150.507,2440859.93,2793416.689,3394652.867,3635914.753,3775667.659,3686652.97,,,,,Citizen Bank
net interest income,,,,,,,,,,,,,,134806.0,278996.0,420988.0,558910.0,130371.0,215016.0,360841.0,574460.0,233796.0,477056.0,756464.0,1034799.0,227929.0,507011.0,775608.0,1072888.0,300625.0,615515.0,944454.0,1268743.0,307713.0,716114.0,1161311.0,1622042.0,436357.0,855749.0,1256527.0,1751407.0,482830.0,913900.0,1471136.0,2093506.0,747415.0,1477128.0,618156.951,733661.069,713473.043,735492.244,816686.531,637942.2,843969.265,781524.005,928688.358,1071689.46,1206475.443,1195655.765,1292202.846,1446769.571,1461582.639,1404989.809,1564955.569,,,,,Citizen Bank
net fee and commission income,,,,,,,,,,,,,,22755.0,43971.0,62728.0,32533.0,12580.0,39213.0,61733.0,40361.0,20571.0,33140.0,45730.0,53464.0,19545.0,32434.0,46192.0,54742.0,25837.0,41378.0,45300.0,63015.0,15820.0,37105.0,67121.0,97670.0,25715.0,57431.0,92990.0,157316.0,31878.0,68709.0,107596.0,169537.0,141419.0,253116.0,128839.132,151235.884,153074.137,151234.689,124317.857,120759.55,177610.973,180618.475,222369.382,205139.666,305419.493,200401.731,213151.848,183562.718,234771.208,201680.487,225994.866,,,,,Citizen Bank
total operating income,,,,,,,,,,,,,,164923.0,338536.0,506670.0,669847.0,159607.0,271741.0,449991.0,709840.0,298627.0,585376.0,913345.0,1250895.0,303283.0,667254.0,1004992.0,1409528.0,386659.0,789157.0,1192528.0,2235244.0,416739.0,928554.0,1519447.0,2154987.0,608554.0,1202631.0,1753746.0,2431223.0,700279.0,1418927.0,2112892.0,2989240.0,1032040.0,1885646.0,805802.06,1025324.651,951308.748,941846.54,1079662.63,862232.562,1199351.279,1131315.264,1329143.27,1391315.783,1731384.252,1500594.151,1533297.696,1650360.133,1653943.893,1731764.225,1815760.994,,,,,Citizen Bank
staff expenses,,,,,,,,,,,,,,20837.0,40397.0,58308.0,81689.0,28825.0,51303.0,77035.0,108814.0,39753.0,69215.0,101127.0,144227.0,42299.0,78999.0,118313.0,165209.0,53994.0,108154.0,164323.0,247877.0,70279.0,145059.0,223433.0,297663.0,107561.0,213739.0,327297.0,411296.0,114353.0,251409.0,364311.0,517684.0,250704.0,483712.0,202241.297,314182.677,251031.244,267444.785,276847.144,143841.04,292465.861,275890.653,336839.63,275829.155,413898.36,446470.016,469611.972,481576.023,478912.913,457301.267,486594.623,,,,,Citizen Bank
operating profit,,,,,,,,,,,,,,92908.0,167429.0,267556.0,305638.0,81991.0,34259.0,69683.0,262575.0,102411.0,118645.0,315487.0,581105.0,132030.0,309123.0,399176.0,538499.0,165883.0,345145.0,567410.0,813254.0,114434.0,370470.0,762375.0,1144348.0,348342.0,674468.0,879780.0,1256638.0,425117.0,823656.0,1159695.0,1694740.0,646260.0,1100680.0,439564.948,657836.847,494615.026,482268.607,581059.153,51933.12,744277.32,466019.206,830919.337,208154.426,930965.322,781981.085,489645.529,873900.013,677296.89,533468.741,588345.82,,,,,Citizen Bank
