Particulars, Q1 2068, Q2 2068, Q3 2068, Q1 2070, Q4 2070, Q2 2071, Q3 2071, Q1 2072, Q2 2072, Q4 2072, Q1 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q2 2073.PDF
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,"43,105,055","41,280,455","66,527,488","75,682,182","86,438,067","97,510,838","88,093,203","89,901,790","98,716,405","104,648,608","107,827,487","118,838,276",,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,",","1,110,021","2,431,693","2,463,784","4,196,960","4,070,986","4,437,572","4,769,307","5,341,999","5,341,999","8,848,972",,,,1.4,1.4,1.4,1.4,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000",,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,"2,344,056","6,795,532",,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,,,"85,045,772","88,773,299",,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,"66,370,966","66,522,985",,"68,751,763",,,"82,627,665",,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,"2,405,433","2,480,462","3,464,276","2,427,017","4,134,349","2,879,370","3,249,387",,,"2,417,095",,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,"784,143","1,043,139","995,902",,"13,211,936","1,868,688","1,928,181","2,981,196","2,981,196","3,278,549","4,519,412",,,"3,082,705",,"3,595,581","3,388,690","2,980,577",,,,,"4,148,274","4,741,729",",","5,718,204",,,
Total Assets ,,,,,,,,,,,,,,,,,,"108,276,187","118,838,276",,,"172,142,811",,"180,019,938","183,277,942","192,100,723",,,,,"249,842,300","252,293,762","261,346,541","265,093,498",,,
Investments,,,,,,,,,,,,,,,,,,"9,156,541","10,520,253",,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,"27,652,154","49,083,045","53,851,974","59,979,361","61,620,503","62,716,197","64,430,302","72,550,081","75,750,859","77,584,254","87,130,580",,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,"1,532,327","3,354,156",,"4,126,121","4,134,084","4,252,085","3,297,677","3,450,969","3,359,926","3,717,309",,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,"821,042","871,726",,,,4,,,"974,665",,,,,,,,,,,,,,,,,,,,,,
Business Complex & Residential Apartment Construction Loan,,,,,,,,,,,,,,,"213,043",,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),,,,,,,,,"601,155","1,972,612",,,,"2,536,401","2,100,708",,,"9,123,885",,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,"204,386","639,530","815,449","1,108,266","1,295,592","1,198,548","847,802","672,081","654,902","417,471",,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,,,,"14,268,626",,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,"25,666,261",,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,,,,"1,616,924",,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,"20,465","36,601","59,775",,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,"1,052,065",,,"7,587,212","5,595,630",,,"1,569,262",,"1,578,128","1,498,852","1,717,821",,,,,"3,018,047","3,032,437",",","4,765,917",,,
-,,,,,,,,,,,,,,,,,,"248,552",,4.33%,4.26%,4.12%,5.03%,4.88%,4.05%,4.38%,4.02%,3.37%,3.09%,3.02%,2.64%,3.54%,87.75%,86.94%,87.25%,87.08%,
Profit and Loss Account,,,,,,,,,,,,,,,,,,"1,158,626",,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,"247,251","1,439,189",,,"1,439,189","2,788,216","2,050,562","1,501,292","2,264,671","9,123,885","5,481,040",,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,"1,344,340",,"1,372,525",,,"6,000,116","3,365,508",,,"2,075,836",,"2,355,137","2,404,390","2,191,480",,,,,"3,021,594","3,470,879","4,023,750","4,373,563",,,
Net Interest Income ( 3.1-3.2),,,,,,,,3.13.2,"247,251","1,439,189","2,106,548",,"1,439,189","2,788,216","678,036","1,501,292","2,264,671","3,123,769","2,115,532",,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,"33,067","165,523","225,825","146,222","236,332","288,030","91,832","197,301","358,427","785,458","567,649",,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,"32,660","125,853","160,269","110,263","160,434","208,514","72,462","146,284","216,774","306,532",,,,,,,,,,,,,,,,,,,"77,446"
Total Operating Income,,,"280,563",,,,,,,"1,879,766","1,879,766",,"2,483,942","3,425,349","997,125","2,125,006","3,212,241","4,342,465","2,915,983",,,"1,733,301",,"2,052,702","1,594,818","1,979,131",,,,,"2,053,095","2,413,263","2,539,551","2,894,594",,,
Staff Expenses,,,,,,,,,,,,"323,656","476,303",,"227,686",,,"933,316",,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,"192,659",,,,"288,112","64,415","324,234","480,266","305,789","485,941","712,032","169,674","368,724","572,344","791,969","438,931",,,"182,749",,"272,708","271,122","213,657",,,,,"270,608","282,944","412,343",,,,
Operating Profit before provision,,,,,,,,,"821,840","678,389","1,166,981",,,,"599,765","1,319,723","1,977,755",,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,"362,547",,"85,988",,"497,022",,,"326,593","826,593","655,116","1,814,498","1,170,849","1,847,366","1,718,781","714,767","1,570,483","1,570,483",,,,,,,,,,,,,,,,,,,,
Extra Ordinary Income/Expenses,,,,,,,,,,,,,,,"33,189","36,212",,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,"376,932",368.937,,,"497,022","229,500","440,346","826,593",,"655,116","1,818,076","697,383","1,101,695",,"747,956","1,606,694","2,167,508",,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,8,,,,,"21,006","115,564","173,237","107,055","175,592","230,692","67,996","146,063","206,266","267,970",,,,,,,,,,,,,,,,,,,
