Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2074.JPG, Q2 2075.JPG, Q3 2074.JPG, Q3 2075.JPG
Capital Fund to RWA,,,,,,,,,,,,,,10.49%,15.98%,16.42%,15.31%,,16.47%,16.33%,15.58%,,,,,,,,,,,,13.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.67%,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43%,2.42%,1.83%,2.77%,1.91%,1.87%,1.72%,,2.89%,2.99%,3.98%,,,,,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.23%,,
Cost of Funds,,,,,,,,,,,,,,8.80%,9.78%,10.38%,9.60%,,9.40%,8.62%,7.74%,,,,,,,,,,,,5.00%,,,,,,6.0,,,,,,,,,,,,,,,6.79%,6.38%,5.71%,5.85%,6.08%,7.05%,7.82%,,8.92%,9.22%,8.88%,,,,,,8.74%,,
Credit to Deposit Ratio,,,,,,,,,,,,,,89.67%,87.39%,,82.38%,,71.70%,,,,,,,,,,,,,,74.74%,,,,,,,,,,,,,,,,,,,,,73.50%,72.91%,78.13%,77.42%,87.39%,89.69%,90.69%,,86.86%,86.94%,86.86%,,,,,,79.62%,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81%,8.25%,7.44%,7.55%,8.11%,9.08%,9.81%,,11.14%,11.39%,11.14%,,,,,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,17.68%,10.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
