Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Capital Fund to RWA,,,,,,,,,,,,,,,,,,11.01%,10.63%,,,11.10%,,11.21%,12.03%,,11.50%,13.04%,,,13.06%,12.83%,,12.86%,,,,,11.87%,12.28%,12.12%,10.97%,,11.82%,11.93%,,,,,,,,,,,,,,,,,,,,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,816.42%,,,232.97%,89.57%,93.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.92%,223.61%,162.47%,21.38%,206.16%,,,,,,,,,,,,,,,,,,,,
Cost of Funds,,,,,,,,,,,7.58%,,,8.67%,8.68%,8.80%,,9.17%,9.14%,,,6.82%,,6.74%,6.64%,,5.05%,4.68%,,,4.20%,4.17%,,3.72%,3.06%,,,3.19%,4.05%,5.37%,7.09%,7.23%,,8.22%,1.60%,7.32%,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.35%,77.64%,,,,,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,9.64%,9.98%,,8.46%,8.21%,,,7.60%,7.46%,,,,,,,7.14%,8.56%,10.40%,10.54%,,,7.04%,,10.09%,,,,,,,,,,,,,,,,,,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96%,5.77%,,,,,,,,,,,4.14%,,3.36%,3.25%,,2.98%,4.86%,,,4.63%,,,,,,,,,,,,,,,,,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,21.85%,15.63%,12.22%,,12.93%,10.36%,,,9.08%,,16.60%,16.50%,,22.07%,13.79%,,,13.56%,14.54%,,16.23%,,,,,18.88%,19.03%,16.88%,11.86%,,15.18%,16.00%,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,.126.91,,,,,,,,,,,,,,,,,,,,161.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
