Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,"19,440,258","20,760,100","20,896,346","21,337,370","22,126,392","21,777,703","21,290,317","20,225,778","19,688,418","20,537,469","21,093,115","25,132,517",,,"28,601,973","30,867,958","32,936,307","35,359,425","38,650,386","41,287,852","42,375,788","45,257,097","47,311,687","49,333,182","51,757,678","52,528,504",,"60,042,834","66,643,907","67,583,586","68,735,591","69,591,181","72,057,311","78,935,609",,"85,389,009","94,135,270","98,855,476",,,,,,,,,,,,,,,,,,,,,
Paid Up Capital *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,"238,455","325,025",,"348,974","155,725","159,178","156,692","146,426","178,977","156,296","161,926","168,196",,,"323,298","317,327","384,730","638,099","639,284","768,595","649,750","999,920","1,271,399","1,072,894","1,241,059","1,441,269","2,133,673","1,511,453","920,723","2,423,893","1,758,407","2,516,724","1,228,127","1,449,914",,"2,188,718",,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,080,188",,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,,,,,,,,,,,,"637,802",,,,,,,,,,,,,,,",",",",",",",",",",,,,
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,474,720",,,,,,,,",",,,,,,,..............................................,..............................................,..............................................,..............................................,..............................................,,,,
Domestic Currency,,,,,,,,,,,,,,"18,614,795","17,669,150",,,,,"17,900,581","21,289,312",,,"24,332,745","26,752,773","28,536,067","30,470,226",,,,,"39,846,571","42,563,890","43,031,700",42,"46,736,193","50,544,903","57,411,737","57,229,942","57,214,493","57,214,540","58,905,355","64,876,006",,"72,101,885",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,,,,,,"255,968",,,"408,190","385,102",,,,,,,,"1,641,748","1,669,325","1,676,880","1,702,454","1,746,974","725,313","1,010,278","833,613","1,414,537","1,395,943","922,368",,"372,834",,,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",,,,
Income Tax Liability,,,,,,,,,,"9,408","6,864",,,,,,,"0,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"85,690,415",,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,"789,354",,"822,916","966,096","1,196,329","1,152,422","789,488","836,493","973,538","1,125,707","937,136",,,"890,666","872,944","1,141,831","1,125,754",,"908,370",,,"1,734,997","1,102,878","2,673,910","2,740,581","2,757,835","1,140,673","1,365,888","1,911,226","1,696,400","1,685,977","2,319,941","1,932,323",,"2,032,076","3,471,326",,"794,682,432","7,392,223,351","106,966,244",,,,,,,,,,,,,,,,,,
