Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q2 2075.JPG, Q3 2071.JPG, Q3 2075.JPG, Q4 2070.JPG
Capital Fund to RWA,,,,,,,,,,,,,,,,16.01%,,14.04%,,14.04%,14.85%,13.16%,12.70%,12.91%,13.82%,73.16%,12.15%,,12.40%,12.24%,,12.31%,12.35%,12.35%,12.48%,12.19%,11.73%,11.36%,13.57%,12.82%,13.36%,12.90%,12.76%,12.51%,12.5496,,,12.13%,12.78%,12.75%,13.23%,12.98%,13.40%,14.08%,14.24%,14.07%,15.10%,14.56%,12.97%,13.20%,13.33%,13.11%,12.49%,12.46%,,,,,"12,909",12.11%,12.68%,12.27%
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66%,,,1.58%,0.92%,1.14%,1.45%,0.97%,1.54%,1.37%,1.08%,0.86%,1.45%,0.62%,0.78%,0.94%,1.40%,1.80%,2.81%,,,,,,,,3,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,314.96%,252,178.01%,170.97%,149.33%,303.85%,.57%,85.82%,82.79%,109.66%,99.21%,101.28%,,,98.77%,,87.65%,131.68%,144.01%,161.88%,138.11%,159.42%,144.24%,135.07%,137.57%,206.99%,128.32%,128.34%,158.249,,,,132.43%,175.36%,159.92%,136.70%,170.75%,140.42%,169.38%,197.64%,218.65%,157.05%,338.55%,259.05%,219.74%,158.39%,137.64%,115.01%,112.80%,,,,,,102.84%,,
Cost of Funds,,,,,,,,,,,,,,,,9.55%,97%,10.56%,10.10%,9.75%,9.61%,7.59%,,6.92%,6.99%,6.87%,6.31%,,5.89%,,,4.62%,4.68%,4.76%,,4.23%,4.33%,4.23%,4.48%,,8.15%,8.22%,8.16%,8.53%,8.04%,,,8.29%,7.90%,7.67%,7.65%,8.03%,7.14%,6.26%,6.05%,5.50%,5.74%,6.62%,7.29%,7.89%,8.31%,8.90%,9.25%,,,,,,,468%,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,87.05%,,78.37%,78.30%,79.37%,72.51%,79.80%,78.75%,77.95%,69.10%,76.31%,79.19%,,84,76.39%,,75.63%,95%,73.28%,7439%,74.04%,71.3%,75.12%,76.30%,72.67%,76.80%,75.10%,77.50%,,,,,78.43%,77.00%,77.86%,77.86%,76.55%,74.54%,80.03%,81.37%,82.31%,79.60%,90.25%,94.83%,99.62%,87.20%,88.47%,88.89%,89.13%,,,,,",",75.96%,78.55%,19%
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,10.01%,10.08%,9.66%,9.26%,,8.91%,7.85%,,7.61%,7.62%,5%,7.20%,6.93%,6.97%,6.93%,7.30%,7.96%,10.6490,10.95%,10.76%,11.10%,10.47%,,,10.20%,10.03%,9.67%,9.45%,9.85%,8.62%,8.12%,7.85%,7.14%,7.21%,8.27%,8.98%,9.68%,9.99%,10.91%,11.34%,,,,,,,7.69%,,9.05%
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71%,4.32%,5.18%,4.33%,4.64%,4.22%,4.40%,4.27%,4.38%,4.09%,3.08%,3.46%,4.10%,4.37%,4.31%,4.33%,4.19%,,,,,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,,,16.55%,,9.11%,5.58%,,12.74%,12.83%,12.12%,18.59%,16.96%,15.81%,19.97%,,18.62%,17.18%,,18.70%,19.94%,19.59%,20.55%,20.18%,23.04%,17.98%,17.52%,17.96%,19.96%,14.21%,14.35%,16.10%,,,,,,,,,,,,,,15.68%,13.14%,13.64%,13.36%,12.29%,11.90%,,,,,,,18.81%,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
