Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,677,933",,"3,408,812,864",4,"3,261,200,792","2,972,241,116","2,896,001,816","1,",3,4,"6,613,036,438","4,823,295,538","10,866,227,082","5,344,087,807","6,257,999,694","4,374,490,791","5,431,059,014",4,4,,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,652,466,052",2,"7,250,030,043","6,446,411,855","5,992,504,940","2,544,488,673",8,6,"6,689,140,082","6,053,731,274","3,751,719,330","6,117,294,855","6,857,768,309","13,516,139,617","6,476,275,743",5,7,,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,208,596",8,"1,117,311,046","2,651,952,496","3,094,436,880","2,068,384,842",2,1,"1,037,533,537","1,797,708,397","1,843,857,416","289,048,449","273,688,355","401,162,744","384,758,944",3,5,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120,264,062","85,066,888",3,"66,965,952","85,066,888",,6,4,"40,221,461","16,016,111","16,016,111","83,486,823","16,016,111","16,016,111","34,589,056",,,,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"615,765,258",5,5,"568,023,179","555,905,777","40,877,100",5,6,"346,438,553","304,965,929","367,525,394","566,653,374","801,434,146","609,344,862","621,428,183",7,6,,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,890,774,722",2,"2,467,293,752","2,872,990,417","2,866,465,769","2,655,929,866","2,657,123,865",3,"3,366,958,500","4,094,023,666","5,324,101,613","5,539,745,828","5,109,187,168","5,167,865,708","4,906,404,800",4,4,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,135,778,216",8,"83,521,375,429","88,712,927,665","92,119,838,300","10,030,655,294","95,626,154,623",1,"114,064,749,501","118,988,706,699","127,866,700,931","135,893,748,077","137,245,125,185","137,161,694,973","144,693,601,348",1,1,,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,848,614,982",1,"13,820,911,052","13,682,840,931","14,062,360,071","1,407,229,468","14,641,292,412",1,"14,910,473,781","21,051,168,797","20,128,018,570","20,732,368,553","22,370,587,722","27,767,152,579","28,332,644,612",3,3,,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,741,277","5,741,277","5,741,277","5,741,277",,,,,,2,1,,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250,000,000",,"250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","450,000,000","450,000,000","450,000,000",,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,932,294","72,932,294","72,932,294",7,1,,,,
