Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19%,0.23%,0.23%,0.17%,0.14%,0.14%,0.15%,0.36%,0.47%,0.97%,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,135.44%,170.39%,223.55%,273.78%,312.25%,290.11%,373.31%,385.21%,385.49%,361.61%,476.42%,517.27%,549.21%,651.41%,657.59%,651.00%,702.00%,814.45%,829.87%,928.00%,988.00%,1003.00%,1132.98%,,,,628.00%,,,,,,,,,,,,,,,,,,,,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.20%,5.91%,,,,,,,,5.85%,5.34%,5.27%,5.11%,5.54%,5.82%,6.12%,7.85%,7.95%,8.10%,,,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,65.47%,68.72%,73.09%,80.05%,76.57%,79.89%,75.18%,74.67%,76.64%,76.40%,75.23%,78.17%,79.84%,77.97%,,74.82%,,,76.57%,79.51%,79.32%,,75.00%,,,,,,77.77%,,,,,,,,70.89%,76.98%,74.86%,95.08%,95.06%,95.35%,86.86%,84.57%,87.35%,81.37%,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,8.76%,9.31%,9.86%,9.66%,8.31%,8.02%,8.78%,8.17%,6.89%,7.28%,7.71%,6.47%,5.97%,5.55%,5.98%,6.08%,6.48%,8.21%,8.98%,,,,10.12%,10.43%,9.82%,,,,,,,,7.49%,7.46%,7.37%,8.11%,8.95%,9.26%,9.61%,10.22%,10.75%,11.08%,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05%,3.33%,3.18%,3.09%,3.13%,4.06%,4.36%,4.01%,4.40%,4.17%,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,,,,,,13.96%,14.37%,14.43%,19.99%,23.07%,21.55%,22.13%,22.86%,23.16%,22.64%,22.85%,22.02%,22.33%,22.68%,21.51%,21.29%,21.54%,21.47%,22.16%,20.36%,21.35%,20.41%,20.54%,,,,16.65%,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
