Particulars, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,,,,"423,440,330","123,666,730","129,349,410",,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,090,265,961"
Deposits,,,,,,,,,,,,,,,,,,,,,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",,",*"
Income Tax Liability,,,,,,,,,,,,,,,,,,,"195,788",,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,,,,,1*,6*,4*,5*,"13,235,177","268,695,210","297,034,799","31,323,443","224,639,170","257,850,712","297,034,799",8*,2*,4.23,"244,966,744"
Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"215,888,088,020",
Investments,,,,,,,,,,,,,,,,,,,,,,"4,238,478,900","6,899,473,564","7,545,556,588","16,517,379,603","10,452,140,457","14,798,391,401","19,919,858,491","19,925,921,833","10,452,140,456.73","10,452,140,456.73","19,919,858,490.73","39,451,661,120","320,068,004",4.10,"3,170,376,650"
Loans and Advances ,,,,,,,,,,,,,,,,,,,,,,"4,799,057,129",,"12,063,002,461","9,098,214,395","2,498,765,114","7,541,832,717","12,063,002,461","24,721,947,222","2,498,765,114","24,496,613,342","19,981,224,417","21,538,844,846","4,921,263,358",,"7,202,193,392"
Income Generating Commercial Complex Loan,"122,767","68,090","60,741","47,995","47,001","44,999","40,826","38,684","38,684","576,042","595,707","536,417","627,915","624,355","630,343",,,"612,696",,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,,,,,,,,",*",",*",",*",",*",",*",",*",",*",",*",,",*",",*",",*",",*",,",*"
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,504,458"
Other Assets,,,,,,,,,,,,,,,,,,,,,,"398,298,149","932,387,108",2*,"22,401,676","398,298,149","932,387,108","257,128,996","558,299,267","568,342,209","202,029,144","699,128","1,261,672,749","408,151,650",4.16,"2,966,545,188"
-*,,,,,,,,,,,,,,,,,,,,,,,,,,,19,496,,96,951,496,",496",596,,4.56
Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,651,742,308",
Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,802,747,963",
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,,,,,,,"2,910,584",,,,,,,,,,,,,,,,"1,848,994,345",
Other Operating Income,,,,,,,,,,,,,,,,,,,,,"456,629",,,,,,,,,,,,,,1*,
Total Operating Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,170,458,040",
Other Operating Expenses,,,,,,,,,,,,,,,,,,,"645,415",,"418,966",,,,,,,,,,,,,,2*,
Provision for possible losses,,258,,297,,2*,"895,300","895,300",,,,,,,"915,257",,,"272,224",,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,"15,033","1,786",,,208,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,258,,297,,2*,"895,300","895,300",,,,,,,"915,257",,,"272,224",,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,,,,,,,,,,",802",,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,,,,,"2,452,882",,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92
Credit to Deposit Ratio ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.50
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.06
