Assets, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q2 2074, Q3 2074, Q4 2074, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q2 2075.PDF
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,174,429,835","3,580,514,349","2,052,973,732","4,236,160,520","3,841,434,829","5,914,624,916","4,195,574,505","6,197,835,818","4,489,076,329","8,486,453,288","5,966,846,120","5,473,992,720","7,322,470,670","11,012,266,600","11,238,914,339",
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"776,437,164","384,382,797","354,500,180","602,645,759","2,073,145,784","852,447,642","2,435,559,555","221,480,796","3,836,558,583","4,840,700,494","3,161,477,121","1,945,942,959","76,599,320","2,763,052,550","174,803,840",
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178,676,139","143,288,455",,,,,,,,,,,,"26,575,469",,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,598,801,776","73,120,310,169","77,248,479,883","80,925,265,576","89,705,014,570","111,092,705,896","110,325,268,111","114,738,986,815","129,041,585,789","137,998,572,212","155,933,556,065","153,369,812,601","155,820,723,891","275,761,355,553","275,855,911,801",
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,609,853","16,114,389","63,985,694","50,518,788","63,985,694","328,364,358","76,267,491","9,241,383","22,162,135","317,426,017","297,084,102","345,164,953","102,375,010","399,637,528","935,341,633",
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","220,000,000","220,000,000","220,000,000","220,000,000","220,000,000","420,000,000","420,000,000","600,000,000","600,000,000","600,000,000",
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,804,087","77,930,975","75,449,758","83,195,758","140,674,090","8,648,401","9,891,409","9,891,409","9,891,409",,,,,,
Other assets,"459,111","476,870","393,321","521,015","734,417","478,384","298,432","410,356","319,864","282,415","345,400","339,566","320,371","330,187","328,428","576,513","566,487","358,923","385,654","447,664","410,780","780,127","1,027,841","592,770","2,043,009","1,738,820","1,568,041","914,507",,,,,,,,,,,,,,,,"943,702"
Total Assets,"20,317,119","20,601,262","21,454,176","23,084,539","24,178,104","25,615,166","26,417,638","27,403,974","27,937,617","29,676,201","31,338,482","31,916,218","31,932,433","34,068,956","34,375,221","35,789,691","38,186,723","39,297,809","39,601,255","39,933,760","43,041,775","46,112,797","46,932,977","45,714,495","66,013,600","68,389,870","74,476,420","88,867,223",,,,,,,,,,,,,,,,"87,305,831"
Liabilities,,"20,601,262","21,454,176","23,084,539","24,178,104","25,615,166","26,417,638","27,403,974","27,937,617","29,676,201","31,338,482","31,916,218","31,932,433","34,068,956","34,375,221","35,789,691","38,186,723","39,297,809","39,601,255","39,933,760","43,041,775","46,112,797","46,932,977","45,714,495","66,013,600","68,389,870","74,476,420",,,,,,,,,,,,,,,,,
