Particulars, Q2 2071, Q3 2071, Q2 2072, Q3 2072, Q1 2073, Q2 2073, Q3 2073, Q1 2074, Q2 2074, Q4 2074, Q1 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest income,"609,496",1*,,,,,,,"1,856,244",,"8,411,243",,,,,,,,,,,,,,,,,
Interest expense,"362,373","668,044",,,,,,"2,950,338","1,341,974",,"5,419,739",,,,,,,,,,,,,,,,,
Net interest income,"247,122",6*,1.542.473,344844.0,,,,"1,968,427","514,270",,"2,991,504",,,,,,,,,,,,,,,,,
Other operating income,"36,401",9*,189821,,,,,"315,531","107,547",,"491,353",,,,,,,,,,,,,,,,,
Total operating income,"329,726",8*,456.737,,1582841.0,660.848,"1,820,226",,"770,060",2.623.211,"3,983,349",,,,,,,,,,,,,,,,,
Operating expense,"118,742","238,234",534990,,,,,,"156,396",,"892,074",,,,,,,,,,,,,,,,,
Other operating expenses,"118,742","238,234",534990,,,673750.0,,,"156,396",,"892,074",,,,,,,,,,,,,,,,,
Operating Profit,"88,764",3*,,,,,,,"349,594",1.314.635,"1,945,587",,,,,,,,,,,882.52,"1,868.12","2,560.64","3,846.25","1,019","1,634",
Deferred Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,"297,724"
Profit for the period,,,,,,,,,,,,"959,077,880","959,078","1,789,100","1,789,100","1,789,100","1,789,100","1,221,686","1,211,548","1,211,548","1,211,548","2,312,602","1,975,639","1,975,639","1,975,639","2,566,658","1,788,332","1,788,332"
Profit for the period,,,,,,,,,,,,"959,077,880","959,078","1,789,100","1,789,100","1,789,100","1,789,100","1,221,686","1,211,548","1,211,548","1,211,548","2,312,602","1,975,639","1,975,639","1,975,639","2,566,658","1,788,332","1,788,332"
Other Comprehensive Income,,,,,,,,,,,,,,,,,,,"77,653","77,653","77,653","99,405","233,907","233,907","233,907","232,999","284,748","284,748"
Total Comprehensive Income,,,,,,,,,,,,"1,444,220,209","2,044,217","541,600","984,790","1,418,283",,"77,653","77,653","77,653","77,653","99,405","233,907","233,907","233,907","232,999","284,748","284,748"
Profit for the period,,,,,,,,,,,,"959,077,880","959,078","1,789,100","1,789,100","1,789,100","1,789,100","1,221,686","1,211,548","1,211,548","1,211,548","2,312,602","1,975,639","1,975,639","1,975,639","2,566,658","1,788,332","1,788,332"
