Particulars, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest income,5*,"882,520",1*,4*,8.0,1.0,2*,6*,"1,261,990",1*,"2,690,294",6*,"1,379,169",2*,2*,"652,411","1,356,639","2,075,421","2,898,415","674,485","1,438,987","2,166,286","3,056,287","726,653","1,502,485","2,336,423","3,295,250",8.0,"1,791,339","2,790,263","6,887,123","1,293,731","2,776,459","4,512,491",4*,"4,357,249",6*,",729,446","3,087,270","6,105,560",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*"
Interest expense,3*,"560,561",8*,2*,5.0,9.0,1*,4*,"902,482",1*,"1,925,801",5*,"1,036,712",1*,2*,"467,947","883,106","1,298,961","1,742,839","447,647","877,947","1,285,895","1,708,866","431,011","869,788","1,325,959","1,859,407",5.0,"989,847","1,450,399","3,973,959","666,508","1,463,138","2,600,591",2*,"2,960,489",4*,04,"1,828,242","3,787,072",,,,,,,,,,,,,,,,,
Net interest income,"220,708","331,959","451,691","129,203",2.0,4.0,"611,758",1*,"359,508","568,785",7*,"142,175",3*,"531,515",,"184,464","473,533","776,460","1,155,576","226,839","561,040","880,392","1,347,421","295,642","632,697","1,010,464","1,435,843",3.0,"801,492","1,339,864","2,913,165","627,223","1,313,320","1,911,900","2,116,667","1,396,759","2,200,522","3,545,547","1,259,028","2,318,488",,,,,,,,,,,,,,,,,
Fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,638","497,866",,,,,,,,,,,,,,,,,
Fee and commission expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,110","79,143",,,,,,,,,,,,,,,,,
Net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206,528","418,723",,,,,,,,,,,,,,,,,
Other operating income,2*,"4,408",6*,1*,3.0,4.0,5*,1*,"33,844",4*,"62,012",1*,"44,199",7*,"94,507","35,417","76,623","109,474","182,093","69,708","142,952","189,853","289,788","69,021","136,975","216,437","243,541",7.0,"152,987","248,424","441,743","123,886","242,406","529,708","316,461","266,869","410,320","557,256","122,744","285,324",,,,,,,,,,,,,,,,,
Total operating income,"280,700","423,366","569,267","168,132",3.0,4.0,"717,490",2*,"429,531","676,384",9*,"205,685",4*,"742,615","1,175,666","286,325","684,959","1,098,572","1,607,380","392,674","862,853","1,294,550","1,928,891","438,008","920,153","1,462,485","2,000,433",5.0,"1,140,639","1,849,986","3,703,467",,,"2,684,034","2,774,130","1,948,510","3,069,720","4,864,378",,,,,,,,,,,,,,,,,,,
Impairment charge/(reversal) for loans and other losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"302,726","334,169",,,,,,,,,,,,,,,,,
Net operating income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,225,956","1,285,574","2,688,367",,,,,,,,,,,,,,,,,
Operating expense,"46,204","76,198","113,429","31,707",6.0,1.0,"174,955",5*,"113,771","180,669",2*,"63,944",1*,"223,897","336,340","85,617","179,205","282,040","376,881","98,713","201,193","311,072","436,309","108,129",,"335,838","459,807",1.0,"225,433","346,992","637,453","133,058","289,424","450,397","489,677","337,800","531,146",,"179,373","395,589",,,,,,,,,,,,,,,,,
Personnel expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"345,209","732,326",,,,,,,,,,,,,,,,,
Other operating expenses,"46,204","76,198","113,429","31,707",6.0,1.0,"174,955",5*,"113,771","180,669",2*,"63,944",1*,"223,897","336,340","85,617","179,205","282,040","376,881","98,713","201,193","311,072","436,309","108,129",,"335,838","459,807",1.0,"225,433","346,992","637,453","133,058","289,424","450,397","489,677","337,800","531,146",,"179,373","395,589",,,,,,,,,,,,,,,,,
Operating Profit,"201,866","297,172","376,417","116,875",2.0,3.0,"438,854",1*,"248,643","391,842",5*,"104,534",2*,"395,807",6*,"157,228","413,290","666,939","792,567","237,210","542,438","798,065","1,250,136","259,562","478,175","830,444","1,212,495",3.0,"606,912","973,915","2,452,014","567,120","1,181,193","1,812,765","1,642,446","1,245,722","1,963,147","3,254,645",,,,,,,,,,,,,,,,,,,
Non-operating income,,,5*,,,,1*,"10,859",,1*,"1,433",1*,,5*,913,80,36,404,944,944,751,"9,454","7,477","25,064","28,889","26,330",3*,1.0,"70,913","134,269","197,444","163,703","176,641","189,302",1*,"132,142","204,182","53,786",,,,,,,,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,688,396",,,2075,2076,2076,2076,2076,2077,2077,2077,2077,2078,2078,2078,2078,2*,2079,2079,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,688,396",,,2075,2076,2076,2076,2076,2077,2077,2077,2077,2078,2078,2078,2078,2*,2079,2079,
Other Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",152",,,",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",",*",1*,",*",",*",",*"
Total Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,064,917",,,,,,,,,,,,,,,,1*,,,
Non-controlling interest,,,,,,,,,,,,,,,,"47,734","47,392","46,343","1,095","46,991","49,180","48,486","2,325","52,840","55,009","56,749","9,519",5.0,"54,259","56,821","147,044","58,817","71,539","137,943","14,990","118,079","138,478","50,293",,,,,,,,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,688,396",,,2075,2076,2076,2076,2076,2077,2077,2077,2077,2078,2078,2078,2078,2*,2079,2079,
