Particulars, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,802,001,604","12,276,037,549",3*,"6,850,159,899","9,211,437,675",1*,"3,186,788,979","6,949,428,953",1*,1*,"3,821,340,420","8,177,841,582","9,932,493,584",1*,"6,290,545,507","11,696,787,721",1*
Fees and other income received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"780,806,329",1*,"276,536,732",6*,"892,128,143","1,147,824,042","287,156,451","648,897,066","1,103,725,668","1,488,894,650","506,509,345","881,876,140","1,267,166,091","1,712,869,943",4*,8*,"1,311,184,994"
Dividend received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221,982","182,867",,"397,886",8*,"1,128,873","3,940","3,940","124,907","128,782","3,940","3,940","474,442,369","128,782",,,
Receipts from other operating activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"434,916,689","517,525,660","141,786,029",2*,"456,463,254","595,749,438","134,640,050","484,811,074","1,049,880,520","1,723,945,489","148,251,985","281,119,807","461,262,463","559,010,044",1*,1*,"289,541,374"
Interest paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,066,471,278","2,275,045,000","4,530,447,200",,,,,,,,,,"13,462,311,457","4,430,000,060","8,816,557,171","13,354,655,916"
Commission and fees paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,257,372",,"45,791,498","104,645,708","158,348,928","195,650,690","56,051,573","120,273,041","200,582,698","233,076,131","81,005,981","166,812,028","257,733,420","333,551,669",,"177,450,892","262,071,606"
Cash payment to employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"937,554,117","1,284,020,150",,"811,188,943","937,034,281",,"415,105,091","854,464,739",,,"530,729,740","854,464,739",,,"566,098,652","1,147,379,689",
Other expense paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"523,941,551",,,"489,903,739","730,183,363","974,147,014","198,762,067","409,417,568","656,071,906","949,413,684","257,488,773","545,739,679","840,866,600","949,934,218","294,237,461","593,622,155","904,117,199"
Operating cash flows before changes in operating assets and liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2*,"3,586,055,718","770,804,053","1,831,279,853","1,449,581,159","2,827,654,665","675,250,781","2,267,844,216","4,093,272,611","5,539,476,299","997,479,883","1,809,536,217","1,327,747,140","2,718,116,674","1,451,174,808","1,990,155,602","2,939,914,396"
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"291,667,641","417,335,873","111,520,378",6*,"369,680,668","6,822,260,873","111,520,378","936,535,756","3,551,775,767","1,767,303,130","2,455,837,581","597,308,410","1,630,175,689","2,010,193,457","822,646,296","4,158,790,788","1,630,175,689"
Placement with bank and financial institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,043,805,000","935,757,261",3*,"949,975,611","33,913,701","485,203,929","330,025,144","949,975,611","33,953,964","222,909,176","2,277,519,476","2,958,342,584","2,988,395,110",2*,"838,902,048","973,580,561"
