Particulars, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q1 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"535,679,288"
Dividend received,,,,,,,,,,,,,,,,,,,,,,,,,,,3*,"1,064,523",,,,,,,,,,,,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,"1,843,037,192","1,792,010,781","637,960,168","795,629,266","632,652,593","4,565,250,799","2,412,955,141","2,712,351,801","4,415,794,839","4,825,485,094","541,891,539","4,825,485,094","818,084,760","4,825,485,094",,,"389,750,524"
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,2*,"52,325,337","9,480,836","10,782,018","9,526,406","18,645,761","6,753,924",1*,1*,3*,"53,171,821","45,661,847","57,362,552","33,660,849",1*,"28,208,959","31,547,117"
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,"9,881,603,695","9,814,720,387","3,650,627,405","6,865,011,072","11,194,585,281","12,353,053,315","4,024,363,303","5,858,199,105","12,339,022,728","12,339,022,728","13,472,060,413","20,294,668,526","21,574,610,846","20,145,687,547","201,446,722","138,873,953","648,553,481"
Other assets,,"331,656",,,,,,,,,,,,"474,470",,"583,228",,,,,,,,,,6*,4*,"55,256,116","121,225,188","746,321,619","770,798,075",1*,"132,345,050","330,068,655",9*,"9,245,172","91,405,650","28,358,704","300,433,688","698,293,259","501,232,851","269,701,877"
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,"1,673,619,360","313,241,260","1,732,472,879","360,849,263","367,572,414","96,342,546","742,065,374","259,092,627","2,319,891,368","2,251,407,294","95,532,107","8,310,477,065","2,873,921,335","4,296,485,625","4,296,485,625","4,296,485,625","4,296,485,625"
Borrowings,,"82,200",,,,,,,,,,,,"1,300,000",,6*,,,,,,,,,,,,,,"1,213,500,000","1,202,500,000","30,000,000","32,500,000","1,500,000","10,000,000","11,500,000","5,500,000","26,000,000","2,462,580,000","115,830,000","68,640,000","2,462,580,000"
Other liabilities,"377,175","367,443",3.0,"270,675",5.0,"408,665","339,496","395,924","601,467","576,807","574,539","352,906",5.0,"386,181",1.0,"534,356","554,172","821,902","764,972","1,628,877","2,353,982","5,974,289","5,974,289","2,189,759","2,346,040","770,523",6*,"124,382,492","258,278,419","349,457,740","782,785,666","3,469,318","2,068,562","401,210,226","878,918,419","419,140,880","699,883,394","629,496,976","121,040,461","488,026,256","625,635,659","965,739,273"
Receipts from sale of investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,622,261","28,622,261","28,622,261","28,622,261","120,179,148","120,179,148","120,179,148","120,179,148",,2*,2*
Purchase of investment properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,278,211","11,278,211","11,278,211","11,278,211",,,
Interest received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"535,679,288"
Dividend received,,,,,,,,,,,,,,,,,,,,,,,,,,,3*,"1,064,523",,,,,,,,,,,,,,
Receipt from issue of shares,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,361,612,215",,,,,,,,,,,,,,,
Dividends paid,,,,,,,,,,,,,,,,,,,,,,,,,,"982,042,217","977,543,923","977,543,923",,,,"482,991,259",,,,"4,000,000",,,,"37,207,806","2,500,000","2,500,000"
Net cash from financing activities,,,,,,,,,,,,,,,,,,,,,,,,,,"982,042,217",,"18,457,553",,,,"2,506,091,975",,,,"4,000,000",,,,"37,279,666","86,879","86,879"
