Particulars,Q2 2078
loan and advances to b/fis,4380414092.0
loans and advances to customers,30106374357.0
current tax liabilities,0.0
deferred tax liabilities,0.0
non operating income,14644000.0
non operating expense,7411406.0
reserves,1596502.23
borrowings,
deposits,38609249.966
other liabilities,653672.619
total assets,47336700.525
interest income,941245.801
interest expense,541218.04
net interest income,400027.761
net fee and commission income,64000.584
total operating income,563367257.0
staff expenses,191387143.0
operating profit,463211967.0
profit for the period,329311193.0
capital fund to rwa,13.67
non performing loan to total loan,3.32
total loan loss provision to npl,108.26
cost of fund,5.44
base rate,7.28
net interest spread,4.53
credit to deposit ratio,79.67
return on total assets,
market share price,
loan and advancements,34486788.449
debenture and bond,
income tax liability,0.0
non operating income expense,7232594.0
return on equity,
debt ratio,
interest income to assets ratio,1.99
interest income margin,0.85
return on investment,0.7
commission to operating income,11.36
staff expense to income ratio,33.97
net profit margin,58.45
income tax portion of operating profit,
loan to deposit ratio,89.32
