Particulars,Q3 2076,Q4 2076
loan and advances to b/fis,1093622.896,951536.583
loans and advances to customers,29186641.329,29742218.014
current tax liabilities,0.0,1546.645
deferred tax liabilities,53589.116,53589.116
non operating income,0.0,20.5
non operating expense,0.0,0.0
reserves,1408156.68,1662070.997
borrowings,486975.0,512610.0
deposits,35072692.862,35439655.113
other liabilities,441901.58,478301.625
total assets,42881649.893,43281796.218
interest income,1118702.736,1153036.098
interest expense,721712.037,754133.131
net interest income,396990.699,398902.967
total operating income,468784.138,448657.576
staff expenses,126573.566,113240.491
operating profit,276712.833,136792.425
profit for the period,193698.983,95740.348
capital fund to rwa,12.54,11.77
non performing loan to total loan,2.76,3.78
total loan loss provision to npl,93.3,77.41
cost of fund,8.44,8.31
base rate,11.23,11.04
net interest spread,5.33,5.37
credit to deposit ratio,74.79,74.37
debenture and bond,,
return on equity,,
market share price,,
net fee and commission income,,45518.289
loan and advancements,30280264.225,30693754.597
return on total assets,,
non operating income expense,0.0,20.5
income tax liability,53589.116,53589.116
debt ratio,1.14,1.18
interest income to assets ratio,2.61,2.66
interest income margin,0.93,0.92
return on investment,0.45,0.22
commission to operating income,,10.15
staff expense to income ratio,27.0,25.24
net profit margin,41.32,21.34
income tax portion of operating profit,27.67,55.97
loan to deposit ratio,86.34,86.61
