,Q1 2068,Q1 2069,Q1 2070,Q1 2071,Q1 2072,Q1 2073,Q2 2067,Q2 2068,Q2 2069,Q2 2070,Q2 2071,Q2 2072,Q2 2073,Q3 2069,Q3 2070,Q3 2071,Q3 2072,Q3 2073,Q3 2074,Q4 2067,Q4 2068,Q4 2069,Q4 2070,Q4 2071,Q4 2072,Q4 2073,Q4 2074
reserves,-0.814519 -0.119224,-0.780393 0.179248,,-0.704586 -0.462906,-0.779858 -0.874579,-0.646059 -0.612923,-0.883853 0.011236,-0.803145 0.483267,-0.775088 0.223144,-0.719783 -0.086375,-0.865359 -0.895403,-0.756694 -0.734072,-0.615743 -0.659554,-0.754467 0.264673,-0.715690 -0.246019,-0.825578 -0.792439,-0.712438 -0.728912,-0.577822 -0.778392,-0.324609 -0.524150,-0.840014 0.103092,-0.831083 0.152406,-0.765462 0.056052,-0.680780 -0.252383,-0.806956 -0.844019,-0.748994 -0.662939,-0.711478 -1.061414,-0.265473 -0.642718
debenture and bond,-0.518987 0.576486,-0.518987 -1.138169,,,,,-0.518987 1.405329,-0.518987 1.405329,-0.518987 -0.840705,,,,,-0.518987 -0.359442,,,,,,-0.518987 1.405329,-0.518987 -0.342942,-0.518987 -1.091412,,,,,
borrowings,-0.228475 0.446769,-0.489818 -1.165748,,-0.411458 -0.540782,-0.361205 -0.183939,,-0.296260 -0.356017,-0.284437 1.982072,,,-0.443106 -0.964569,,-0.418535 -0.895229,,,-0.428029 -0.666357,-0.352434 -0.655290,-0.050501 -0.096817,-0.362889 -0.894551,-0.193367 -0.426896,-0.481229 -0.712415,,-0.377152 -0.017482,-0.490993 -0.502980,-0.375195 -0.848751,-0.062735 0.047500,0.093127 -0.071637
deposits,-1.094682 -0.346502,-1.015778 -0.333250,,-0.927493 -0.866639,-0.835258 -0.985809,-0.763777 -1.497933,-1.097868 -0.319328,-1.078576 -0.267810,-1.006978 -0.295173,-0.953994 -0.480141,-0.894943 -0.847847,-0.814477 -0.705802,-0.725793 -1.499582,-0.993077 -0.324621,-0.930280 -0.557145,-0.891089 -0.957096,-0.817748 -1.159932,-0.732273 -1.654219,-0.452346 -1.245699,-1.100202 -0.373169,-1.036606 -0.199811,-0.985182 -0.391345,-0.929928 -0.688728,-0.869945 -1.022177,-0.813164 -1.292530,-0.746651 -1.746987,-0.386671 -1.119347
income tax liability,-0.476521 -2.912393,-0.476521 -0.970724,-0.476521 -1.379297,-0.476521 -1.222708,-0.476521 -0.987135,-0.476521 -0.937386,-0.476521 -1.387407,-0.472651 -0.915968,-0.476521 -1.059169,-0.476521 -1.386983,-0.476521 -1.799013,-0.476521 -2.271191,-0.476521 -2.784054,-0.476521 -2.328660,-0.476521 -1.197059,-0.476521 -1.290859,-0.476521 -0.898531,-0.476521 -0.859756,-0.476521 -1.059709,-0.476521 -1.466547,-0.476521 -2.657449,-0.476521 -3.203494,-0.476521 -1.225598,-0.476521 -1.095748,-0.476521 -0.860286,-0.476521 -1.045722,-0.476521 -1.005495
other liabilities,-0.757724 -0.625851,-0.648174 -0.097443,,-0.539822 -0.090326,-0.549386 -0.576557,-0.578748 -0.572456,-0.657331 -0.315948,-0.776110 -1.337036,-0.588616 0.079492,-0.564102 -0.564650,-0.500588 -0.492173,-0.540121 -0.752417,-0.483942 -0.617369,-0.581244 -0.008541,-0.526751 -0.199679,-0.532770 -0.489324,-0.541386 -0.484119,-0.441121 -0.778423,-0.366668 -0.606650,-0.738892 -0.832383,-0.635094 0.163104,-0.561979 0.033051,-0.491392 -0.208735,-0.490611 -0.473185,-0.549526 -0.591617,-0.529912 -0.790580,-0.221807 -0.608993
total assets,-1.061886 -0.323743,-1.001250 -0.321756,,-0.924851 -0.849584,-0.849214 -0.977560,-0.790499 -1.496780,-1.066976 -0.304543,-1.051571 -0.237063,-0.991545 -0.282124,-0.952137 -0.549072,-0.899013 -0.860259,-0.835777 -1.039975,-0.753359 -1.451622,-0.979616 -0.312762,-0.932034 -0.416845,-0.895309 -0.930698,-0.832107 -1.211394,-0.743440 -1.643797,-0.483948 -1.291261,-1.065322 -0.377735,-1.018629 -0.181622,-0.973163 -0.388803,-0.925047 -0.685744,-0.878203 -1.018620,-0.828086 -1.174218,-0.758176 -1.717714,-0.410339 -1.147247
loan and advancements,-1.024582 -0.236062,-0.971980 -0.161364,-1.264824 -3.121641,-0.891208 -0.775850,-0.821396 -0.995030,-0.771582 -1.558531,-1.021480 -0.155640,-1.009789 -0.043327,-0.953341 -0.178707,-0.923058 -0.488372,-0.874211 -0.858436,-0.814891 -1.031582,-0.733912 -1.645958,-0.950722 -0.269853,-0.912469 -0.607416,-0.850572 -0.947370,-0.814261 -1.219908,-0.713456 -1.250009,-0.430654 -1.295193,-1.017253 -0.258126,-0.989255 -0.093451,-0.941118 -0.316304,-0.899025 -0.684396,-0.827475 -0.950518,-0.794769 -1.414579,-0.699920 -1.788323,-0.333600 -1.081161
interest income,-0.089599 0.315631,-0.077484 0.150327,-0.233081 -2.997748,-0.079448 -0.742333,-0.079792 -0.823716,-0.061494 -1.467497,-0.201495 -0.264772,-0.197569 0.126929,-0.194600 0.095688,-0.195916 -0.514108,-0.198345 -1.088592,-0.194388 -1.014407,-0.190071 -1.472710,-0.158175 -0.100019,-0.158688 -0.500237,-0.159908 -0.788961,-0.152043 -1.353131,-0.141245 -1.499443,-0.046218 -1.399820,-0.130099 0.373250,-0.122158 0.261352,-0.119126 -0.145892,-0.119654 -0.481244,-0.122016 -0.797138,-0.112162 -1.375006,-0.084310 -1.533564,0.065609 -0.275417
interest expense,-0.057288 -0.138299,-0.053695 -0.241580,-0.157918 -3.573842,-0.056725 -0.480431,-0.061090 -0.700064,-0.060468 -0.931653,-0.132388 0.295879,-0.132839 -0.264917,-0.132735 -0.147091,-0.130582 -0.293850,-0.134453 -0.730161,-0.130345 -0.400872,-0.131428 -1.342234,-0.110131 -0.158844,-0.105530 -0.421223,-0.112047 -0.686836,-0.106085 -0.686253,-0.101003 -1.244063,-0.022346 -0.804965,-0.083436 -0.037642,-0.081243 -0.223434,-0.087609 -0.192718,-0.081301 -0.424991,-0.089050 -0.730975,-0.084242 -0.837858,-0.060235 -1.269153,0.056969 -0.265086
