Particulars,Bank,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
reserves,Citizen Bank,,,,,,,,,,,,,,-0.081833 -0.743282 -1.154108,-0.080328 -0.570063 -1.085384,-0.081720 -0.794597 -1.148917,-0.079147 -0.675824 -1.031432,-0.081150 -0.673144 -1.122890,-0.080903 -0.582778 -1.111621,-0.080545 -0.583893 -1.095275,-0.078988 -0.582393 -1.024217,-0.080361 -0.721892 -1.086889,-0.079930 -0.659916 -1.067229,-0.078310 -0.587930 -0.993258,-0.076296 -0.622684 -0.901299,-0.078651 -0.899877 -1.008810,-0.076967 -0.809750 -0.931906,-0.076109 -0.901059 -0.892725,-0.072843 -0.751443 -0.743632,-0.077300 -0.964613 -0.947132,-0.075148 -0.840243 -0.848866,-0.072888 -0.806832 -0.745682,-0.068059 -0.636225 -0.525200,-0.073119 -0.849126 -0.756225,-0.069619 -0.767120 -0.596415,-0.065706 -0.480146 -0.417748,-0.061537 -0.467506 -0.227367,-0.062542 -0.587428 -0.273278,-0.059281 -0.636954 -0.124394,-0.055918 -0.557288 0.029169,-0.051359 -0.556060 0.237356,-0.061353 -0.925863 -0.218996,-0.058217 -0.773535 -0.075807,-0.053500 -0.806917 0.139593,-0.048347 -0.571153 0.374859,-0.041257 -0.732102 0.698586,-0.040859 -0.716300 0.716772,-0.047575 -0.427976 0.410140,-0.048225 -0.533850 0.380462,-0.045982 -0.253731 0.482843,-0.046873 -0.695692 0.442156,-0.039112 -0.765242 0.796559,-0.040306 -0.747138 0.742016,-0.033833 -0.690941 1.037559,-0.039742 -0.790559 0.767786,-0.031435 -0.641805 1.147060,-0.027266 -0.613554 1.337442,-0.016966 -0.475747 1.807726,-0.023434 -0.639630 1.512399,-0.021963 -0.630847 1.579560,-0.021791 -0.703127 1.587430,-0.016581 -0.729147 1.825322,-0.013765 -0.836766 1.953880,-0.009469 -0.850265 2.150024,,,,
debenture and bond,Citizen Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.354115 -0.856962 0.323608,-0.354115 -0.856962 0.323608,-0.354115 -0.802047 0.323608,-0.354115 -0.779270 0.323608,-0.354115 -0.828338 0.323608,-0.354115 -0.761928 0.323608,-0.354115 -0.841828 0.323608,-0.354115 -0.841828 0.323608,-0.354115 -0.615604 0.323608,-0.354115 -0.484950 0.323608,-0.354115 -0.615604 0.323608,-0.354115 -0.472827 0.323608,-0.354115 -0.616587 0.323608,-0.354115 -0.616587 0.323608,-0.354115 -0.616587 0.323608,-0.354115 -0.616587 0.323608,-0.354115 -0.582656 0.323608,-0.354115 -0.556461 0.323608,-0.354115 -0.559583 0.323608,-0.355677 -0.448531 -2.841956,-0.355906 -0.494847 -3.306595,,,,,,,,,,,,,,,,,,,,,
borrowings,Citizen Bank,,,,,,,,,,,,,,0.170294 2.292538 0.486425,0.199203 1.403574 0.547981,-0.057412 0.477804 0.001561,-0.171035 0.857545 -0.240383,-0.428183 0.026323 -0.787939,-0.362640 0.516523 -0.648376,-0.439569 -0.091062 -0.812184,-0.456788 1.217867 -0.848849,-0.475297 -0.509396 -0.888260,-0.457027 -0.455872 -0.849358,-0.268243 0.473895 -0.447372,-0.357946 -0.250170 -0.638379,-0.163779 1.325997 -0.224932,0.033886 2.291207 0.195965,-0.336487 0.283038 -0.592686,-0.309678 0.324479 -0.535600,-0.329684 -0.554388 -0.578200,-0.187566 0.474379 -0.275581,-0.350501 0.119995 -0.622528,-0.132363 0.920801 -0.158037,0.488873 -0.282284 1.164788,-0.273353 -0.453350 -0.458253,0.660583 1.506561 1.530418,-0.045832 -0.235251 0.026219,0.156407 -0.012845 0.456855,0.159654 0.165140 0.463768,-0.170125 -0.164375 -0.238444,0.118210 0.532388 0.375521,0.844250 1.014626 1.921509,0.425032 0.737140 1.028848,1.032100 2.106197 2.321506,0.801758 2.428193 1.831028,0.829501 0.812637 1.890103,1.218242 0.451183 2.717865,-0.490856 -1.129741 -0.921390,-0.490856 -1.208972 -0.921390,,,,,,,,,,-0.473832 -0.843187 -0.885141,-0.473832 -1.078906 -0.885141,-0.473832 -1.205400 -0.885141,-0.465061 -0.811226 -0.866464,-0.455692 -0.801369 -0.846515,-0.482603 -1.118186 -0.903817,,,,
deposits,Citizen Bank,,,,,,,,,,,,,,-0.062078 -0.748393 -1.080385,-0.062030 -0.750149 -1.077542,-0.061542 -0.647152 -1.048120,-0.061683 -0.671509 -1.056616,-0.061067 -0.518307 -1.019477,-0.060916 -0.559424 -1.010389,-0.061025 -0.640145 -1.016938,-0.060274 -0.710089 -0.971699,-0.060185 -0.714460 -0.966347,-0.059445 -0.650607 -0.921719,-0.058796 -0.612112 -0.882619,-0.058322 -0.749496 -0.854054,-0.058121 -0.696149 -0.841966,-0.057791 -0.797233 -0.822046,-0.057478 -0.862071 -0.803237,-0.056417 -0.837962 -0.739284,-0.055819 -0.849716 -0.703234,-0.055343 -0.895024 -0.674557,-0.053932 -0.797276 -0.589521,-0.053575 -0.856783 -0.567997,-0.053151 -0.604955 -0.542462,-0.052029 -0.854005 -0.474835,-0.050451 -0.797559 -0.379782,-0.049354 -0.994132 -0.313634,-0.048290 -0.962190 -0.249553,-0.047468 -0.978176 -0.200010,-0.046392 -0.887957 -0.135175,-0.047423 -1.251175 -0.197307,-0.046728 -1.221979 -0.155394,-0.045419 -1.219887 -0.076521,-0.044706 -1.194134 -0.033589,-0.044265 -0.769293 -0.006970,-0.042844 -1.182283 0.078644,-0.042966 -1.252301 0.071260,-0.042660 -1.314940 0.089743,-0.041006 -1.190601 0.189417,-0.040371 -0.252096 0.227636,-0.039257 -1.200610 0.294798,-0.038431 -1.332865 0.344595,-0.034521 -1.260007 0.580210,-0.031123 -1.035321 0.784973,-0.028464 -0.867450 0.945169,-0.020457 -0.536537 1.427675,-0.015555 -0.429388 1.723082,-0.014253 -0.475462 1.801523,-0.015402 -0.651583 1.732305,-0.014023 -0.616960 1.815411,-0.011134 -0.580301 1.989487,-0.010484 -0.528315 2.028664,-0.008777 -0.633442 2.131499,-0.008356 -0.739381 2.156886,,,,
income tax liability,Citizen Bank,,,,,,,,,,,,,,-0.116817 -0.185703 -0.953197,,,,,,,-0.118781 -0.830193 -1.099044,-0.118841 -0.910364 -1.103499,,,,-0.111373 -0.398638 -0.549077,-0.100186 0.423302 0.281453,-0.094487 0.747836 0.704605,-0.094487 -0.230479 0.704605,-0.110821 -0.634164 -0.508033,-0.096526 0.438973 0.553208,-0.081414 0.597629 1.675095,,-0.108056 -0.507554 -0.302825,,-0.119955 -0.854874 -1.186201,-0.119336 -0.920651 -1.140220,-0.093286 -0.015456 0.793720,-0.118621 -0.801712 -1.087169,,,,,-0.112797 -0.847668 -0.654756,-0.120106 -0.779657 -1.197390,,,,,-0.093857 -0.292149 0.751371,-0.120118 -0.560915 -1.198245,-0.085612 -0.543095 1.363438,-0.119663 -0.686237 -1.164494,-0.105492 -0.509335 -0.112475,-0.107579 -0.496943 -0.267367,-0.093943 -0.474173 0.744967,-0.076200 -0.505021 2.062174,-0.088016 -0.500881 1.184995,-0.084025 -0.512231 1.481276,-0.094401 -0.547140 0.710927,-0.110549 -0.522271 -0.487845,,,,,,,
other liabilities,Citizen Bank,,,,,,,,,,,,,,-0.104561 -0.147700 -1.146286,-0.108740 -0.445229 -1.306946,-0.100658 0.550334 -0.996235,-0.113847 -0.225515 -1.503253,-0.104353 0.396602 -1.138278,-0.102333 0.496649 -1.060638,-0.096720 0.767394 -0.844868,-0.113390 -0.660160 -1.485718,-0.105402 -0.307541 -1.178636,-0.107148 -0.448495 -1.245742,-0.107370 -0.443190 -1.254282,-0.104406 -0.230811 -1.140327,-0.050374 1.694812 0.936817,-0.105394 -0.871518 -1.178331,-0.096167 -0.514180 -0.823605,-0.095828 -0.188669 -0.810563,-0.097297 -0.639868 -0.867036,-0.092516 -0.484071 -0.683231,-0.080957 -0.374602 -0.238883,-0.091098 -0.522886 -0.628741,-0.066427 0.038392 0.319712,-0.081291 -0.403709 -0.251723,-0.070158 -0.436592 0.176258,-0.080568 -0.394711 -0.223919,-0.034095 -0.209849 1.562619,-0.043727 -0.375987 1.192335,-0.068763 -0.568156 0.229904,-0.041300 -0.211475 1.285656,-0.039931 -0.346401 1.338272,-0.003335 0.077727 2.745146,-0.049990 -0.447884 0.951568,-0.050400 -0.438228 0.935824,-0.042450 -0.433945 1.241440,-0.048906 -0.548913 0.993264,-0.081635 -0.588219 -0.264954,-0.084520 -0.568158 -0.375865,-0.080443 -0.255191 -0.219106,-0.085549 -0.440580 -0.415430,-0.078009 -0.500819 -0.125544,-0.083771 -0.605170 -0.347075,-0.075545 -0.868176 -0.030844,-0.055113 -0.396674 0.754652,-0.069703 -0.568862 0.193761,-0.066621 -0.480545 0.312236,-0.046616 -0.580591 1.081286,-0.065007 -0.605329 0.374270,-0.060146 -0.579658 0.561146,-0.028150 -0.565094 1.791184,-0.057348 -1.231425 0.668706,-0.046116 -0.605470 1.100527,-0.047704 -0.823995 1.039478,,,,
total assets,Citizen Bank,,,,,,,,,,,,,,-0.059036 -0.670769 -1.069573,-0.058819 -0.650608 -1.054689,-0.058584 -0.603955 -1.038641,-0.058807 -0.637408 -1.053915,-0.058463 -0.493935 -1.030327,-0.058289 -0.516583 -1.018461,-0.058357 -0.596200 -1.023118,-0.057955 -0.720301 -0.995592,-0.057847 -0.712094 -0.988195,-0.057329 -0.678064 -0.952733,-0.056714 -0.608913 -0.910666,-0.056367 -0.747655 -0.886901,-0.055636 -0.575446 -0.836887,-0.055602 -0.522087 -0.834588,-0.055510 -0.818423 -0.828297,-0.054702 -0.784824 -0.773006,-0.054310 -0.841079 -0.746172,-0.053773 -0.822796 -0.709404,-0.052702 -0.766289 -0.636157,-0.052308 -0.794742 -0.609162,-0.051331 -0.719454 -0.542320,-0.051109 -0.880808 -0.527130,-0.049190 -0.648734 -0.395831,-0.048726 -0.941625 -0.364064,-0.046909 -0.762735 -0.239717,-0.046379 -0.866648 -0.203474,-0.045905 -0.840385 -0.170982,-0.045829 -1.069848 -0.165848,-0.044766 -1.038002 -0.093053,-0.043706 -1.013519 -0.020560,-0.043132 -1.025570 0.018721,-0.042874 -1.237327 0.036365,-0.042147 -1.183328 0.086114,-0.041442 -1.141605 0.134411,-0.040741 -1.128175 0.182360,-0.039942 -1.257126 0.237032,-0.038677 -0.251848 0.323622,-0.038001 -1.181650 0.369865,-0.036280 -1.283385 0.487582,-0.034666 -1.264290 0.598037,-0.032491 -1.138688 0.746867,-0.030083 -1.025362 0.911637,-0.023276 -0.739630 1.377481,-0.019787 -0.664472 1.616178,-0.018038 -0.644979 1.735879,-0.017700 -0.744957 1.758996,-0.015640 -0.672483 1.899979,-0.012935 -0.612532 2.085073,-0.013535 -0.655665 2.043999,-0.013362 -0.727578 2.055845,-0.013982 -0.857629 2.013420,,,,
loan and advancements,Citizen Bank,,,,,,,,,,,,,,-0.058290 -0.671071 -1.048298,-0.058097 -0.610802 -1.035168,-0.057949 -0.641795 -1.025069,-0.058048 -0.583849 -1.031840,-0.058194 -0.599235 -1.041762,-0.058012 -0.643967 -1.029378,-0.057691 -0.583950 -1.007437,-0.057377 -0.672063 -0.986008,-0.056959 -0.690889 -0.957518,-0.056501 -0.577609 -0.926233,-0.056088 -0.557508 -0.898040,-0.056131 -0.753701 -0.901019,-0.055639 -0.690287 -0.867400,-0.055256 -0.728280 -0.841318,-0.054778 -0.740836 -0.808696,-0.054282 -0.737809 -0.774870,-0.053647 -0.763699 -0.731515,-0.053088 -0.844451 -0.693328,-0.052316 -0.784942 -0.640667,-0.052153 -0.821367 -0.629581,-0.051206 -0.683766 -0.564937,-0.050614 -0.749886 -0.524566,-0.049100 -0.734901 -0.421221,-0.048138 -0.929410 -0.355555,-0.047020 -0.857980 -0.279292,-0.045942 -0.519213 -0.205732,-0.045584 -0.917767 -0.181335,-0.045486 -1.112560 -0.174649,-0.044785 -1.170071 -0.126767,-0.043634 -1.154784 -0.048214,-0.042750 -1.138546 0.012084,-0.041996 -1.165690 0.063550,-0.041313 -1.265796 0.110112,-0.041105 -1.304842 0.124354,-0.040322 -1.353800 0.177770,-0.039686 -1.361644 0.221187,-0.038076 -0.251801 0.331043,-0.037486 -1.173357 0.371256,-0.035461 -1.221499 0.509470,-0.033958 -1.153885 0.612034,-0.032657 -1.069025 0.700780,-0.030657 -0.991720 0.837288,-0.022658 -0.688825 1.383077,-0.019433 -0.589212 1.603188,-0.015988 -0.604330 1.838225,-0.016160 -0.792276 1.826510,-0.014524 -0.698654 1.938122,-0.014827 -0.721433 1.917473,-0.013465 -0.677968 2.010373,-0.012422 -0.695256 2.081557,-0.012328 -0.776594 2.087961,,,,
interest income,Citizen Bank,,,,,,,,,,,,,,-0.069143 -0.632637 -1.388544,-0.064621 -0.523341 -1.101492,-0.059835 -0.262463 -0.797697,-0.054540 -0.518387 -0.461563,-0.068412 -0.343058 -1.342143,-0.063579 -0.446195 -1.035375,-0.058510 -0.440790 -0.713578,-0.052570 -0.552171 -0.336529,-0.068201 -0.360423 -1.328763,-0.062883 -0.599329 -0.991196,-0.056726 -0.565482 -0.600336,-0.050107 -0.483567 -0.180216,-0.067373 -0.478491 -1.276178,-0.060851 -0.428514 -0.862224,-0.054481 -0.451697 -0.457838,-0.047511 -0.685930 -0.015425,-0.066738 -0.693721 -1.235872,-0.059786 -0.496632 -0.794564,-0.052450 -0.485961 -0.328949,-0.044193 -0.505663 0.195192,-0.065470 -0.534110 -1.155368,-0.056484 -0.699044 -0.585011,-0.047211 -0.609733 0.003645,-0.036974 -0.769881 0.653427,-0.063123 -0.489453 -1.006388,-0.051917 -0.602413 -0.295080,-0.037936 -0.576344 0.592412,-0.021310 -0.874780 1.647778,-0.056552 -0.625929 -0.589311,-0.039117 -1.052787 0.517439,-0.020816 -0.272808 1.679100,0.000199 -0.362355 3.013120,-0.050622 -0.280423 -0.212902,-0.027916 -0.565750 1.228462,-0.051964 -1.253038 -0.298078,-0.048840 -1.206329 -0.099741,-0.048589 -0.251447 -0.083852,-0.048875 -1.148018 -0.102020,-0.047397 -0.780421 -0.008193,-0.048723 -1.038792 -0.092324,-0.046175 -0.812123 0.069397,-0.047230 -0.654773 0.002409,-0.045786 -0.545660 0.094113,-0.040445 -0.307299 0.433155,-0.036007 -0.195848 0.714819,-0.034944 -0.354316 0.782298,-0.030165 -0.522427 1.085686,-0.022121 -0.540625 1.596261,-0.019396 -0.525467 1.769250,-0.018511 -0.531317 1.825428,-0.017756 -0.703842 1.873359,,,,
interest expense,Citizen Bank,,,,,,,,,,,,,,-0.068997 -0.780263 -1.206417,-0.064482 -0.799963 -0.959103,-0.059534 -0.854125 -0.688019,-0.053750 -0.498836 -0.371176,-0.067821 -0.469358 -1.142000,-0.061880 -0.316796 -0.816518,-0.056564 -0.525059 -0.525333,-0.051023 -0.607459 -0.221819,-0.069166 -1.044508 -1.215664,-0.065042 -1.051203 -0.989751,-0.060231 -0.981966 -0.726184,-0.054705 -1.040287 -0.423515,-0.067820 -0.917911 -1.141921,-0.062453 -1.008048 -0.847950,-0.057146 -1.003507 -0.557221,-0.051395 -0.991680 -0.242168,-0.068029 -0.896956 -1.153401,-0.062588 -0.818023 -0.855303,-0.056793 -0.813302 -0.537884,-0.049530 -0.721176 -0.140046,-0.066227 -0.141647 -1.054661,-0.059217 -0.351816 -0.670652,-0.052363 -0.176725 -0.295197,-0.044303 -0.239572 0.146288,-0.064749 0.069532 -0.973709,-0.054560 0.065734 -0.415572,-0.039878 0.095179 0.388724,0.006815 2.159429 2.946483,-0.055567 -0.676165 -0.470746,-0.037150 -0.562246 0.538131,-0.017459 -0.263696 1.616795,0.004290 -0.234443 2.808187,-0.050862 -0.063561 -0.212966,-0.028283 -0.244548 1.023847,-0.050811 -0.740815 -0.210171,-0.047947 -0.701914 -0.053278,-0.047244 -0.250838 -0.014772,-0.048030 -0.818260 -0.057862,-0.047102 -0.792873 -0.007033,-0.046231 -0.820946 0.040720,-0.045694 -0.598008 0.070115,-0.046284 -0.369270 0.037769,-0.046468 -0.329219 0.027713,-0.040696 -0.027742 0.343875,-0.036159 -0.024336 0.592446,-0.034378 -0.421310 0.689977,-0.028708 -0.440173 1.000566,-0.019039 -0.308260 1.530233,-0.015159 -0.331255 1.742776,-0.012912 -0.373290 1.865893,-0.014343 -0.650735 1.787474,,,,
